census_tract,activity_year,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansTotal,amtLoansTotal
101,2016,10,68,"$941,000 ",3,"$540,000 ",3,"$979,000 ",41,"$996,000 ",74,"$2,460,000 "
102,2016,9,42,"$481,000 ",1,"$135,000 ",1,"$602,000 ",28,"$1,052,000 ",44,"$1,218,000 "
103,2016,13,31,"$515,000 ",2,"$424,000 ",1,"$430,000 ",18,"$683,000 ",34,"$1,369,000 "
104,2016,13,120,"$1,671,000 ",3,"$516,000 ",4,"$1,934,000 ",54,"$1,556,000 ",127,"$4,121,000 "
105,2016,13,26,"$322,000 ",0,$0 ,0,$0 ,15,"$216,000 ",26,"$322,000 "
201,2016,10,30,"$634,000 ",2,"$446,000 ",0,$0 ,18,"$628,000 ",32,"$1,080,000 "
202,2016,7,39,"$409,000 ",0,$0 ,0,$0 ,27,"$304,000 ",39,"$409,000 "
203,2016,12,189,"$2,693,000 ",7,"$1,155,000 ",9,"$5,194,000 ",111,"$4,065,000 ",205,"$9,042,000 "
301,2016,3,44,"$552,000 ",2,"$440,000 ",1,"$1,000,000 ",27,"$1,342,000 ",47,"$1,992,000 "
302,2016,6,105,"$2,046,000 ",4,"$590,000 ",7,"$4,005,000 ",44,"$1,462,000 ",116,"$6,641,000 "
401,2016,9,505,"$7,787,000 ",27,"$5,070,000 ",47,"$26,678,000 ",245,"$9,883,000 ",579,"$39,535,000 "
402,2016,5,36,"$401,000 ",1,"$106,000 ",0,$0 ,13,"$93,000 ",37,"$507,000 "
601,2016,6,8,"$83,000 ",0,$0 ,0,$0 ,5,"$52,000 ",8,"$83,000 "
602,2016,5,33,"$279,000 ",0,$0 ,0,$0 ,20,"$225,000 ",33,"$279,000 "
603,2016,7,18,"$363,000 ",0,$0 ,0,$0 ,11,"$287,000 ",18,"$363,000 "
604,2016,8,12,"$94,000 ",1,"$212,000 ",0,$0 ,8,"$274,000 ",13,"$306,000 "
701,2016,5,8,"$48,000 ",0,$0 ,0,$0 ,3,"$20,000 ",8,"$48,000 "
702,2016,5,12,"$56,000 ",0,$0 ,0,$0 ,8,"$42,000 ",12,"$56,000 "
703,2016,3,27,"$257,000 ",0,$0 ,0,$0 ,14,"$163,000 ",27,"$257,000 "
704,2016,3,20,"$196,000 ",0,$0 ,0,$0 ,9,"$45,000 ",20,"$196,000 "
801.01,2016,8,20,"$137,000 ",0,$0 ,0,$0 ,10,"$61,000 ",20,"$137,000 "
801.02,2016,4,20,"$258,000 ",0,$0 ,0,$0 ,9,"$81,000 ",20,"$258,000 "
802,2016,5,17,"$128,000 ",1,"$159,000 ",0,$0 ,11,"$231,000 ",18,"$287,000 "
803.01,2016,5,2,"$5,000 ",0,$0 ,0,$0 ,1,"$2,000 ",2,"$5,000 "
803.02,2016,4,12,"$158,000 ",0,$0 ,0,$0 ,4,"$31,000 ",12,"$158,000 "
