census_tract,activity_year,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansTotal,amtLoansTotal
1011.00,2017,middle,15,110,0,0,0,0,13,109,15,$110
1012.00,2017,middle,16,184,0,0,0,0,10,139,16,$184
1013.00,2017,middle,55,374,0,0,0,0,35,268,55,$374
1014.00,2017,moderate,21,149,3,418,0,0,14,115,24,$567
1015.00,2017,moderate,42,737,2,275,3,2567,13,473,47,"$3,579"
1018.00,2017,moderate,55,656,7,1298,10,6600,27,2346,72,"$8,554"
1021.00,2017,middle,27,390,0,0,0,0,17,307,27,$390
1022.00,2017,upper,95,979,2,333,2,1155,68,2066,99,"$2,467"
1023.00,2017,moderate,18,404,0,0,0,0,10,155,18,$404
1024.00,2017,moderate,27,266,3,492,1,372,16,451,31,"$1,130"
1025.00,2017,middle,32,442,3,406,1,372,20,411,36,"$1,220"
1031.00,2017,upper,54,1119,8,1372,4,1798,38,2789,66,"$4,289"
1034.00,2017,upper,46,668,3,592,2,661,31,655,51,"$1,921"
1036.00,2017,middle,57,903,4,748,6,3510,20,572,67,"$5,161"
1037.00,2017,middle,68,1147,2,408,5,2317,41,1487,75,"$3,872"
1038.00,2017,middle,62,682,2,384,0,0,36,484,64,"$1,066"
1042.00,2017,middle,43,307,1,150,1,975,33,241,45,"$1,432"
1045.00,2017,middle,111,1498,4,730,13,7685,44,2492,128,"$9,913"
1051.98,2017,upper,51,532,2,289,2,1202,26,606,55,"$2,023"
1052.00,2017,middle,51,594,0,0,3,1495,34,1448,54,"$2,089"
1053.00,2017,moderate,24,377,1,143,0,0,14,262,25,$520
1054.00,2017,low,12,146,0,0,1,321,8,51,13,$467
1055.00,2017,low,27,131,0,0,0,0,18,111,27,$131
1061.00,2017,low,22,268,0,0,1,1000,15,216,23,"$1,268"
1062.00,2017,low,11,96,0,0,0,0,6,66,11,$96
1063.00,2017,low,9,167,1,213,4,1819,4,687,14,"$2,199"
1064.00,2017,low,29,328,1,240,1,500,13,130,31,"$1,068"
1065.00,2017,low,18,297,0,0,0,0,10,52,18,$297
1066.00,2017,low,17,286,1,224,1,529,6,377,19,"$1,039"
1067.00,2017,low,11,37,0,0,0,0,8,32,11,$37
1072.00,2017,low,2,63,0,0,0,0,1,3,2,$63
1073.00,2017,low,24,149,1,231,0,0,12,34,25,$380
1074.00,2017,low,17,115,0,0,0,0,15,111,17,$115
1075.00,2017,moderate,3,60,0,0,1,500,1,6,4,$560
1076.00,2017,moderate,6,30,0,0,0,0,4,25,6,$30
1081.00,2017,moderate,11,40,0,0,0,0,5,24,11,$40
1082.00,2017,moderate,22,135,1,206,0,0,14,259,23,$341
1083.00,2017,moderate,15,91,0,0,0,0,8,52,15,$91
1096.00,2017,moderate,37,796,3,563,3,1888,17,349,43,"$3,247"
1097.00,2017,low,39,504,1,250,4,1812,11,98,44,"$2,566"
1101.00,2017,low,12,87,0,0,0,0,9,71,12,$87
1102.00,2017,low,4,12,0,0,0,0,3,9,4,$12
1103.00,2017,low,8,213,0,0,1,650,1,50,9,$863
1104.00,2017,low,18,154,1,200,0,0,13,68,19,$354
1105.00,2017,moderate,17,142,0,0,0,0,11,134,17,$142
1111.00,2017,low,20,195,2,410,1,515,6,59,23,"$1,120"
1112.00,2017,low,14,132,0,0,0,0,9,70,14,$132
1113.00,2017,low,9,87,1,200,1,917,4,933,11,"$1,204"
1114.00,2017,low,7,124,0,0,1,300,5,52,8,$424
1115.00,2017,low,15,244,0,0,0,0,12,169,15,$244
1121.00,2017,upper,117,1331,4,595,5,2680,68,1841,126,"$4,606"
1122.00,2017,moderate,22,151,0,0,0,0,8,70,22,$151
1123.00,2017,low,13,257,0,0,0,0,7,74,13,$257
1124.00,2017,upper,155,2554,5,876,6,2774,83,2890,166,"$6,204"
1135.00,2017,middle,110,1899,10,1529,15,8240,52,3019,135,"$11,668"
1141.01,2017,moderate,49,459,2,425,2,1043,39,683,53,"$1,927"
1141.02,2017,upper,64,846,3,637,2,1275,32,725,69,"$2,758"
1142.00,2017,middle,73,1098,5,925,3,1084,46,1033,81,"$3,107"
1143.00,2017,upper,77,959,3,519,1,500,54,1113,81,"$1,978"
1151.00,2017,moderate,48,509,3,527,5,2337,32,1793,56,"$3,373"
1152.00,2017,low,84,1880,15,2527,6,3325,33,1863,105,"$7,732"
1153.00,2017,moderate,39,338,2,349,6,3209,25,611,47,"$3,896"
1154.00,2017,moderate,39,441,4,785,2,1500,21,1502,45,"$2,726"
1155.00,2017,low,47,517,1,128,0,0,27,333,48,$645
1156.00,2017,low,43,361,1,155,8,3490,18,251,52,"$4,006"
1157.00,2017,low,22,185,1,172,0,0,13,116,23,$357
1161.00,2017,moderate,31,418,2,306,1,300,25,563,34,"$1,024"
1162.00,2017,middle,88,1120,2,299,1,500,57,1299,91,"$1,919"
1163.01,2017,middle,61,666,2,363,0,0,41,728,63,"$1,029"
1163.02,2017,low,30,493,1,225,1,510,17,1034,32,"$1,228"
1164.00,2017,low,37,283,3,502,1,268,27,844,41,"$1,053"
1165.00,2017,moderate,59,586,2,373,5,2204,35,1074,66,"$3,163"
1171.00,2017,moderate,57,799,3,467,6,2705,24,631,66,"$3,971"
1172.00,2017,middle,77,865,1,150,1,920,49,582,79,"$1,935"
1174.00,2017,middle,47,491,0,0,3,1285,28,742,50,"$1,776"
1181.00,2017,moderate,94,1607,5,1030,7,4452,32,451,106,"$7,089"
1184.00,2017,unknown,31,550,10,1753,7,4383,11,794,48,"$6,686"
1186.00,2017,moderate,119,1847,8,1403,11,5402,66,2999,138,"$8,652"
1191.01,2017,middle,79,1231,2,350,3,1652,56,1994,84,"$3,233"
1191.02,2017,upper,97,1144,5,695,4,2892,64,2114,106,"$4,731"
1192.00,2017,upper,65,640,1,200,1,400,47,480,67,"$1,240"
1193.00,2017,low,56,599,2,350,2,1050,26,229,60,"$1,999"
1202.00,2017,low,8,25,0,0,1,600,3,17,9,$625
1211.00,2017,low,68,1548,13,2438,13,6992,41,3344,94,"$10,978"
1212.00,2017,low,11,155,0,0,0,0,4,126,11,$155
1231.00,2017,middle,79,963,6,899,3,1007,50,1422,88,"$2,869"
1232.00,2017,upper,50,559,8,1557,3,1545,37,769,61,"$3,661"
1233.00,2017,middle,65,1074,2,382,3,1088,41,989,70,"$2,544"
1241.00,2017,low,53,848,0,0,1,300,31,256,54,"$1,148"
1242.00,2017,low,47,402,0,0,0,0,22,193,47,$402
1243.00,2017,middle,89,957,2,275,2,1088,59,1992,93,"$2,320"
1246.00,2017,low,13,190,2,310,5,2527,4,25,20,"$3,027"
1255.00,2017,upper,144,1752,6,1030,11,5716,82,2621,161,"$8,498"
1256.00,2017,moderate,361,6597,23,4148,38,21344,151,6433,422,"$32,089"
1257.00,2017,low,20,384,1,250,2,1450,10,160,23,"$2,084"
1266.00,2017,low,77,1563,7,1295,10,4445,28,1387,94,"$7,303"
1267.00,2017,low,21,446,4,782,2,1200,10,123,27,"$2,428"
1268.00,2017,middle,90,1129,3,496,6,2401,57,1160,99,"$4,026"
1269.00,2017,low,59,1436,5,824,9,5966,27,1653,73,"$8,226"
1270.00,2017,low,86,1613,9,1470,11,6327,15,525,106,"$9,410"
1271.00,2017,low,11,77,2,340,0,0,8,204,13,$417
1272.00,2017,middle,111,1492,10,1464,8,4205,54,1126,129,"$7,161"
1273.00,2017,middle,46,653,3,547,2,1406,25,1159,51,"$2,606"
1274.00,2017,unknown,119,1535,8,1390,13,7735,69,3809,140,"$10,660"
1275.00,2017,low,92,1349,4,780,8,4261,35,2249,104,"$6,390"
1276.00,2017,middle,116,2078,10,1926,23,13552,65,3713,149,"$17,556"
1011.00,2016,middle,15,225,0,0,1,275,10,153,16,$500
1012.00,2016,middle,22,356,0,0,0,0,14,310,22,$356
1013.00,2016,middle,58,374,1,122,0,0,35,356,59,$496
1014.00,2016,moderate,23,124,2,277,0,0,16,377,25,$401
1015.00,2016,low,36,681,5,761,3,2292,13,558,44,"$3,734"
1018.00,2016,low,59,876,3,610,7,4400,24,1182,69,"$5,886"
1021.00,2016,moderate,26,169,0,0,0,0,15,143,26,$169
1022.00,2016,upper,110,1057,0,0,0,0,52,571,110,"$1,057"
1023.00,2016,middle,16,302,0,0,0,0,8,163,16,$302
1024.00,2016,moderate,30,557,2,272,0,0,18,611,32,$829
1025.00,2016,middle,28,257,4,762,0,0,18,657,32,"$1,019"
1031.00,2016,upper,59,1328,3,594,8,3270,38,3078,70,"$5,192"
1034.00,2016,upper,36,837,3,555,1,725,25,712,40,"$2,117"
1036.00,2016,middle,59,976,3,518,7,4536,23,498,69,"$6,030"
1037.00,2016,middle,68,712,1,186,0,0,39,359,69,$898
1038.00,2016,middle,57,667,1,175,0,0,34,542,58,$842
1042.00,2016,middle,45,488,1,150,0,0,26,322,46,$638
1045.00,2016,moderate,106,2185,11,1922,15,8673,48,4274,132,"$12,780"
1051.98,2016,upper,74,911,2,326,5,2958,34,1148,81,"$4,195"
1052.00,2016,upper,54,640,1,240,1,300,24,440,56,"$1,180"
1053.00,2016,low,21,280,0,0,0,0,14,95,21,$280
1054.00,2016,low,13,77,1,104,1,400,4,11,15,$581
1055.00,2016,middle,27,158,0,0,0,0,19,115,27,$158
1061.00,2016,moderate,9,168,2,217,0,0,6,54,11,$385
1062.00,2016,low,9,147,0,0,0,0,5,29,9,$147
1063.00,2016,low,8,74,0,0,3,1768,2,20,11,"$1,842"
1064.00,2016,low,25,298,0,0,2,1100,10,148,27,"$1,398"
1065.00,2016,low,16,87,1,245,1,1000,10,279,18,"$1,332"
1066.00,2016,low,10,106,0,0,2,774,4,806,12,$880
1067.00,2016,low,13,57,0,0,0,0,5,9,13,$57
1072.00,2016,low,2,7,1,184,0,0,1,6,3,$191
1073.00,2016,moderate,27,359,0,0,0,0,9,168,27,$359
1074.00,2016,moderate,3,18,0,0,0,0,3,18,3,$18
1075.00,2016,low,11,69,0,0,1,500,8,55,12,$569
1076.00,2016,low,7,37,0,0,1,500,6,34,8,$537
1081.00,2016,moderate,12,58,1,147,0,0,3,153,13,$205
1082.00,2016,middle,16,226,0,0,0,0,10,53,16,$226
1083.00,2016,moderate,10,36,0,0,0,0,5,18,10,$36
1096.00,2016,moderate,54,1225,7,834,4,2585,29,1222,65,"$4,644"
1097.00,2016,low,42,551,2,481,5,1816,15,64,49,"$2,848"
1101.00,2016,low,9,169,0,0,0,0,7,162,9,$169
1102.00,2016,low,6,29,0,0,1,794,3,813,7,$823
1103.00,2016,low,9,256,2,326,1,650,3,56,12,"$1,232"
1104.00,2016,moderate,15,127,2,414,0,0,12,323,17,$541
