Name,OBJECTID,COLOR_2,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other,geodataEGI,Pop_dens,Pop_chng,HH_chng,AveHHsize
Abell,1,2,889.0,606.0,213.0,3.0,33.0,1,4.0,29.0,30.0,424.0,465.0,55.0,43.0,5.0,10.0,118.0,254.0,149.0,186.0,69.0,159.0,105.0,41.0,12.0,4.0,42.0,19.0,515.0,440.0,248.0,192.0,75.0,49.0,4.0,22.0,0.07298534,12180.5280869,-107.0,-45.0,2.02045011
Allendale,2,2,3554.0,18.0,3497.0,8.0,6.0,0,5.0,20.0,21.0,1536.0,2018.0,179.0,315.0,136.0,181.0,317.0,383.0,315.0,1039.0,689.0,874.0,253.0,62.0,111.0,34.0,510.0,193.0,1608.0,1433.0,818.0,615.0,175.0,99.0,20.0,56.0,0.40628891,8747.46982184,-150.0,-11.0,2.47244
Arcadia,3,2,1235.0,623.0,537.0,4.0,12.0,0,10.0,49.0,31.0,592.0,643.0,101.0,85.0,40.0,55.0,116.0,188.0,164.0,380.0,106.0,305.0,194.0,79.0,23.0,9.0,88.0,40.0,510.0,462.0,356.0,106.0,48.0,14.0,9.0,25.0,0.22606039,5463.14180959,-17.0,-8.0,2.67316007
Arlington,4,5,2598.0,33.0,2496.0,3.0,9.0,0,10.0,47.0,17.0,1219.0,1379.0,148.0,237.0,92.0,114.0,231.0,297.0,305.0,775.0,399.0,585.0,215.0,63.0,76.0,28.0,294.0,130.0,1312.0,1079.0,485.0,594.0,233.0,64.0,24.0,145.0,0.18060179,14385.2387423,-437.0,-126.0,2.38369011
Armistead Gardens,5,2,3458.0,2698.0,108.0,51.0,14.0,8,413.0,166.0,841.0,1621.0,1837.0,266.0,330.0,113.0,125.0,272.0,496.0,438.0,929.0,489.0,877.0,431.0,164.0,115.0,47.0,331.0,160.0,1543.0,1459.0,981.0,478.0,84.0,26.0,17.0,41.0,0.47279197,7313.99894072,547.0,176.0,2.37012004
Ashburton,6,3,2520.0,33.0,2431.0,6.0,4.0,0,15.0,31.0,39.0,1082.0,1438.0,106.0,178.0,79.0,103.0,192.0,214.0,250.0,791.0,607.0,625.0,326.0,99.0,65.0,21.0,234.0,78.0,1202.0,1097.0,787.0,310.0,105.0,18.0,14.0,73.0,0.35243146,7150.32636247,8.0,-16.0,2.29444003
Baltimore Highlands,7,4,2703.0,1023.0,700.0,63.0,75.0,11,693.0,138.0,1117.0,1485.0,1218.0,253.0,203.0,85.0,95.0,358.0,569.0,413.0,500.0,227.0,514.0,194.0,90.0,108.0,35.0,212.0,119.0,1148.0,876.0,302.0,574.0,272.0,98.0,45.0,129.0,0.15151165,17840.2120197,387.0,-79.0,3.08561992
Patterson Park Neighborhood,8,2,5820.0,2904.0,1682.0,108.0,143.0,2,774.0,207.0,1624.0,2957.0,2863.0,506.0,443.0,150.0,149.0,665.0,1732.0,851.0,1017.0,307.0,1152.0,625.0,250.0,157.0,65.0,370.0,195.0,2569.0,2095.0,1185.0,910.0,474.0,187.0,75.0,212.0,0.1689267,34452.8113236,-135.0,28.0,2.76897001
Barclay,9,1,2181.0,302.0,1764.0,10.0,23.0,0,35.0,47.0,78.0,1149.0,1032.0,127.0,129.0,42.0,57.0,255.0,368.0,280.0,740.0,183.0,379.0,119.0,24.0,52.0,10.0,208.0,97.0,1490.0,955.0,223.0,732.0,535.0,127.0,33.0,375.0,0.14055223,15517.3631535,-537.0,-132.0,2.1329801
Barre Circle,10,3,450.0,228.0,154.0,6.0,34.0,0,12.0,16.0,14.0,224.0,226.0,14.0,19.0,7.0,10.0,82.0,165.0,62.0,65.0,26.0,69.0,49.0,14.0,7.0,5.0,13.0,5.0,245.0,209.0,98.0,111.0,36.0,11.0,3.0,22.0,0.02394857,18790.2626146,117.0,64.0,2.15311002
Beechfield,11,4,3708.0,363.0,3216.0,7.0,29.0,0,20.0,73.0,87.0,1638.0,2070.0,256.0,372.0,174.0,161.0,384.0,573.0,484.0,1051.0,253.0,970.0,404.0,161.0,95.0,46.0,471.0,266.0,1554.0,1440.0,888.0,552.0,114.0,74.0,13.0,27.0,0.40295492,9202.02177984,-50.0,30.0,2.54653
Belair-Parkside,12,4,444.0,108.0,299.0,1.0,7.0,0,1.0,28.0,10.0,197.0,247.0,24.0,51.0,18.0,33.0,33.0,68.0,54.0,119.0,44.0,106.0,55.0,19.0,5.0,3.0,46.0,23.0,183.0,157.0,121.0,36.0,26.0,5.0,8.0,13.0,0.03221343,13783.0674115,-58.0,-7.0,2.8280301
