respondentID,institution_name
1,"WELLS FARGO BANK, N.A. (CA)"
8,"JPMorgan Chase Bank NA (OH)"
24,"US BANK NA (WI)"
209,"FIRST NATIONAL BANK OF OMAHA (NE)"
249,"FIRST NATIONAL BANK OF PA (PA)"
1316,"PNC BANK N.A. (PA)"
1461,"CITIBANK, N.A. (NY)"
8846,"Old National Bank ((IN))"
11063,"First Citzens Bank & Trust Co (NC)"
11578,"BURKE & HERBERT BK & TR CO (VA)"
12517,"First Bank Financial Centre (WI)"
13044,"Bank of America, N.A. (CA)"
13688,"Capital One, N.A. (VA)"
14583,"BMO Harris Bank, N.A. (IL)"
15576,"STEARNS BANK N A (MN)"
16820,"THE BANK OF GLEN BURNIE (MD)"
18408,"BANGOR SAVING BANK (ME)"
23160,"Chase Bank USA, NA (DE)"
23216,"Barrington Bank and Trust (IL)"
23248,"TEXAS CAPITAL BANK (TX)"
23253,"TCF National Bank (SD)"
23267,"REPUBLIC BANK & TRUST (KY)"
23880,"ACCESS NATIONAL BANK (VA)"
24045,"Pacific Western Bank (CA)"
24096,"TD Bank N.A. (DE)"
24170,"HANMI BANK (CA)"
24522,"HSBC BANK, NA (VA)"
24571,"Citizens Bank, NA (RI)"
24828,"Capital One Bank (USA), N.A. (VA)"
24891,"Fulton Bank, N.A. (PA)"
24914,"Raymond James Bank, N.A. (FL)"
25028,"BankUnited (FL)"
26610,"BANK OF HOPE (CA)"
27244,"The Columbia Bank (MD)"
27471,"American Express Centurion Bk (UT)"
27599,"Old Line Bank (MD)"
28178,"Northwest Bank (PA)"
30903,"COMMUNITY BANK OF THE CHESAPEA (MD)"
31286,"1ST MARINER BANK (MD)"
33539,"PREFERRED BANK (CA)"
34697,"WEX BANK (UT)"
35444,"THE BANKCORP BANK (DE)"
35583,"Pinnacle Bank (TN)"
57073,"Signature Bank (NY)"
57570,"COMENITY CAPITAL BANK (UT)"
57696,"WASHINGTONFIRST BANK (VA)"
57776,"HOWARD BANK (MD)"
57870,"STATE BANK & TRUST (GA)"
58457,"TriState Capital Bank (PA)"
59017,"FIRST REPUBLIC BANK (CA)"
60143,"COMERICA BANK (MI)"
90290,"UNIBANK (MA)"
365325,"UNITED BANK VA (VA)"
501105,"M&T BANK (NY)"
506922,"Sandy Spring Bank (MD)"
637451,"PLAINSCAPITAL BANK (TX)"
675332,"SUNTRUST BANKS, INC (GA)"
705902,"MetaBank (IA)"
707938,"WSFS Bank (DE)"
708146,"Mutual of Omaha Bank (NE)"
714640,"State Farm Bank (IL)"
715044,"Synchrony Bank (UT)"
715115,"EVERBANK (FL)"
715648,"American Express, FSB (UT)"
715685,"John Deere Financial, f.s.b. (WI)"
716456,"Bofi Federal Bank (CA)"
802866,"Silicon Valley Bank (CA)"
1010930,"UNITED BANK INC (WV)"
1161029,"XENITH BANK (VA)"
1917301,"Lake Forest Bank and Trust (IL)"
2354985,"Customers Bank (PA)"
2652092,"EAGLEBANK (MD)"
3514,"Bank of the West (CA)"
20504,"AMERIS BANK (GA)"
24466,"Beverly Bank and Trust (IL)"
24646,"Old Plank Trail Community Bank (IL)"
28489,"Banner Bank (WA)"
57053,"Signature Bank (NY)"
428547,"St Charles Bank and Trust (IL)"
480808,"SAVINGS INSTITUTE BANK & TRUST (CT)"
2044811,"Wheaton Bank and Trust (IL)"
2119773,"Hinsdale Bank & Trut Company (IL)"
2239288,"Wintrust Bank (IL)"
2339795,"Libertyville Bank and Trust Co (IL)"
2693264,"Town Bank (WI)"
2938198,"Northbrook Bank & Trust Co (IL)"
3076248,"STIFFEL BANK & TRUST (MO)"
3284070,"ALLY BANK (UT)"
