,COUNTYFP,NAME,year,city_name,msa,loan_type,action_taken_type,income_group_code,income_group,cra_level,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoans,amtLoans,avgSmallLoan,nWorkingLoans,amtWorkingLoans,total_jobs,sb_jobs,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,nLoans1_per_totaljob,amtLoans1_per_totaljob,nLoans100k_per_totaljob,amtLoans100k_per_totaljob,nLoans250k_per_totaljob,amtLoans250k_per_totaljob,nLoansToSmallest_per_totaljob,amtLoansToSmallest_per_totaljob,nLoans_per_totaljob,amtLoans_per_totaljob,nWorkingLoans_per_totaljob,amtWorkingLoans_per_totaljob,nLoans1_per_sbjob,amtLoans1_per_sbjob,nLoans100k_per_sbjob,amtLoans100k_per_sbjob,nLoans250k_per_sbjob,amtLoans250k_per_sbjob,nLoansToSmallest_per_sbjob,amtLoansToSmallest_per_sbjob,nLoans_per_sbjob,amtLoans_per_sbjob,nWorkingLoans_per_sbjob,amtWorkingLoans_per_sbjob,pop_total,pop_white,pop_black,total_households,white_householders,black_householders,female_householders,total_housing_units,occupied_housing_units,vacant_housing_units,educated,unemployed_16plus,poverty_past_12_months,mfi,travel_time_to_work,owner_occ_housing_units,median_home_value,median_year_built,pop_25plus,labor_force_16plus,poverty_status_known,pop_total_err,pop_white_err,pop_black_err,total_households_err,white_householders_err,black_householders_err,female_householders_err,total_housing_units_err,occupied_housing_units_err,vacant_housing_units_err,educated_serr,unemployed_16plus_err,poverty_past_12_months_err,mfi_err,travel_time_to_work_err,owner_occ_housing_units_err,median_home_value_err,pop_25plus_err,labor_force_16plus_err,poverty_status_known_err,pct_white,pct_black,pct_white_householders,pct_black_householders,pct_female_householders,peducated,pct_unemployed,pct_poverty,pct_vacant,pct_white_serr,pct_black_serr,pct_white_householders_serr,pct_black_householders_serr,pct_female_householders_serr,peducated_serr,pct_unemployed_serr,pct_poverty_serr,pct_vacant_serr,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,avgSmallLoan_adj,amtLoans_adj,amtWorkingLoans_adj,amtLoans1_per_totaljob_adj,amtLoans100k_per_totaljob_adj,amtLoans250k_per_totaljob_adj,amtLoansToSmallest_per_totaljob_adj,amtLoans_per_totaljob_adj,amtWorkingLoans_per_totaljob_adj,amtLoans1_per_sbjob_adj,amtLoans100k_per_sbjob_adj,amtLoans250k_per_sbjob_adj,amtLoansToSmallest_per_sbjob_adj,amtLoans_per_sbjob_adj,amtWorkingLoans_per_sbjob_adj,mfi_adj,median_home_value_adj,mfi_err_adj,median_home_value_err_adj,STATEFP,TRACTCE,GEOID_data,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,split_county_indicator,population_classification,CSA2010
0,510,101.0,2010,Baltimore,12580.0,4.0,1.0,10.0,90% to 100% of MFI,middle,41.0,629000.0,4.0,671000.0,3.0,1913000.0,20.0,1804000.0,48.0,3213000.0,15341.463414634147,48.0,3213000.0,12640.0,0.0,12640.0,4304.0,6448.0,1888.0,3824.0,5608.0,3208.0,0.0,0.0,0.0,960.0,224.0,64.0,624.0,0.0,40.0,224.0,176.0,928.0,0.0,80.0,432.0,3272.0,424.0,4232.0,952.0,8.0,8768.0,3248.0,48.0,432.0,32.0,112.0,11944.0,696.0,1336.0,2128.0,2448.0,2424.0,5424.0,7216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032436708860759493,49.7626582278481,0.00031645569620253165,53.085443037974684,0.00023734177215189873,151.34493670886076,0.0015822784810126582,142.72151898734177,0.0037974683544303796,254.19303797468353,0.0037974683544303796,254.19303797468353,,,,,,,,,,,,,3028,2857,115,1378,1276,55,83,1603,1378,225,,,286.0,80000.0,51150,981,285400.0,1939,,,2946.0,3028,2857,115,1378,55,1276,83,1603,1378,225,,,286.0,80000.0,51150,981,285400.0,,,2946.0,0.9435270805812418,0.03797886393659181,0.9259796806966618,0.03991291727140784,0.0602322206095791,,,0.09708078750848609,0.140361821584529,0.8111542819600511,0.032650592378510986,0.5634282514958265,0.5634282514958265,0.5634282514958265,,,0.08346076981176995,0.0,704918.4454312514,751987.7215967721,2143893.4596343148,2021737.4810142727,17193.132815396377,3600799.626662338,3600799.626662338,55.76886435373824,59.492699493415515,169.6118243381578,159.94758552328105,284.87338818531157,284.87338818531157,,,,,,,89655.76412480144,319846.93851522915,89655.76412480144,319846.93851522915,24,010100,24510010100,Census Tract 101,G5020,S,393197,148387,+39.2787586,-076.5742651,N,L,Canton
1,510,101.0,2011,Baltimore,12580.0,4.0,1.0,10.0,90% to 100% of MFI,middle,54.0,531000.0,2.0,360000.0,0.0,0.0,43.0,774000.0,56.0,891000.0,9833.333333333334,2.0,360000.0,13904.0,289.0,13904.0,4584.0,7080.0,2240.0,3824.0,6256.0,3824.0,0.0,0.0,0.0,1304.0,400.0,80.0,520.0,0.0,0.0,312.0,264.0,688.0,0.0,96.0,472.0,3784.0,264.0,4768.0,912.0,40.0,9848.0,3504.0,32.0,352.0,16.0,152.0,12856.0,1048.0,1576.0,2968.0,2656.0,2120.0,5776.0,8128.0,54.0,123.0,23.0,113.0,606.0,289.0,271.0,294.0,1.0,64.0,0.0038837744533947068,38.190448791714616,0.00014384349827387802,25.891829689298042,0.0,0.0,0.0030926352128883773,55.66743383199079,0.004027617951668585,64.08227848101266,0.00014384349827387802,25.891829689298042,0.18685121107266436,1837.370242214533,0.006920415224913495,1245.674740484429,0.0,0.0,0.14878892733564014,2678.2006920415224,0.19377162629757785,3083.044982698962,0.006920415224913495,1245.674740484429,2810,2598,164,1372,1276,58,75,1590,1372,218,,91.0,322.0,113281.0,46535,950,267900.0,1939,,2013.0,2655.0,2810,2598,164,1372,58,1276,75,1590,1372,218,,91.0,322.0,113281.0,46535,950,267900.0,,2013.0,2655.0,0.9245551601423487,0.058362989323843414,0.9300291545189504,0.04227405247813411,0.05466472303206997,,0.04520615996025832,0.12128060263653484,0.1371069182389937,0.0,0.0,0.5659510229078416,0.5659510229078416,0.5659510229078416,,0.0,0.0,0.0,595090.1343783695,403450.9385616065,0.0,867419.517907454,11020.187673673512,998541.0729399761,403450.9385616065,42.799923358628426,29.016897192290454,0.0,62.38632896342448,71.81682055091889,29.016897192290454,2059.1354130739433,1396.0240088636904,0.0,3001.4516190569343,3455.159421937634,1396.0240088636904,126953.6826977704,300234.74011292885,126953.6826977704,300234.74011292885,24,010100,24510010100,Census Tract 101,G5020,S,393197,148387,+39.2787586,-076.5742651,N,L,Canton
2,510,101.0,2012,Baltimore,12580.0,4.0,1.0,10.0,90% to 100% of MFI,middle,49.0,584000.0,1.0,129000.0,3.0,1468000.0,28.0,775000.0,53.0,2181000.0,11918.367346938776,53.0,2181000.0,13880.0,313.0,13880.0,3784.0,7616.0,2480.0,3616.0,6264.0,4000.0,0.0,0.0,0.0,744.0,128.0,128.0,816.0,0.0,32.0,272.0,240.0,1256.0,0.0,200.0,408.0,3936.0,288.0,4560.0,840.0,32.0,9720.0,3424.0,48.0,472.0,16.0,200.0,13000.0,880.0,1584.0,2952.0,3144.0,2416.0,6040.0,7840.0,57.0,78.0,79.0,108.0,603.0,313.0,259.0,283.0,1.0,69.0,0.0035302593659942362,42.07492795389049,7.204610951008646e-05,9.293948126801153,0.00021613832853025936,105.76368876080691,0.0020172910662824206,55.835734870317005,0.0038184438040345823,157.13256484149855,0.0038184438040345823,157.13256484149855,0.15654952076677317,1865.814696485623,0.003194888178913738,412.1405750798722,0.009584664536741214,4690.095846645368,0.08945686900958466,2476.038338658147,0.16932907348242812,6968.051118210863,0.16932907348242812,6968.051118210863,2958,2786,142,1372,1300,51,99,1572,1372,200,1405.0,102.0,249.0,114583.0,58925,973,259600.0,1939,2481.0,2118.0,2801.0,2958,2786,142,1372,51,1300,99,1572,1372,200,592.753797397093,102.0,249.0,114583.0,58925,973,259600.0,2481.0,2118.0,2801.0,0.9418526031102096,0.048005409060175794,0.9475218658892128,0.03717201166180758,0.07215743440233237,0.566303909713825,0.04815864022662889,0.08889682256337023,0.1272264631043257,0.0,0.0,0.576444212074756,0.576444212074756,0.576444212074756,0.3736409715368761,0.0,0.07642498001276155,0.0,654487.0781110505,144569.91965124232,1645183.2716901065,868540.214959014,13356.879145123481,2444240.2694523996,2444240.2694523996,47.153247702525256,10.415700263057806,118.52905415634773,62.57494344085116,176.0980021219308,176.0980021219308,2091.0130291087876,461.88472732026304,5256.17658686935,2774.8888656837507,7809.074343298401,7809.074343298401,128412.83025890155,290932.9545849807,128412.83025890155,290932.9545849807,24,010100,24510010100,Census Tract 101,G5020,S,393197,148387,+39.2787586,-076.5742651,N,L,Canton
3,510,101.0,2013,Baltimore,12580.0,4.0,1.0,10.0,90% to 100% of MFI,middle,55.0,651000.0,1.0,200000.0,1.0,325000.0,28.0,272000.0,57.0,1176000.0,11836.363636363636,57.0,1176000.0,15696.0,410.0,15696.0,4616.0,8680.0,2400.0,3864.0,7064.0,4768.0,0.0,0.0,0.0,936.0,144.0,32.0,952.0,0.0,200.0,416.0,320.0,1448.0,0.0,248.0,600.0,4192.0,304.0,5256.0,648.0,0.0,11424.0,3576.0,16.0,464.0,0.0,216.0,14600.0,1096.0,1720.0,3176.0,3576.0,2608.0,6744.0,8952.0,76.0,106.0,116.0,175.0,580.0,410.0,286.0,285.0,1.0,71.0,0.00350407747196738,41.47553516819572,6.371049949031601e-05,12.7420998980632,6.371049949031601e-05,20.7059123343527,0.001783893985728848,17.329255861365954,0.0036314984709480123,74.92354740061162,0.0036314984709480123,74.92354740061162,0.13414634146341464,1587.8048780487804,0.0024390243902439024,487.8048780487805,0.0024390243902439024,792.6829268292682,0.06829268292682927,663.4146341463414,0.13902439024390245,2868.2926829268295,0.13902439024390245,2868.2926829268295,3184,3006,135,1423,1368,45,19,1570,1423,147,1702.0,153.0,385.0,113563.0,59995,901,257600.0,1939,2648.0,2375.0,3028.0,3184,3006,135,1423,45,1368,19,1570,1423,147,729.4721377061509,153.0,385.0,113563.0,59995,901,257600.0,2648.0,2375.0,3028.0,0.9440954773869347,0.04239949748743719,0.9613492621222769,0.03162333099086437,0.013352073085031623,0.6427492447129909,0.06442105263157895,0.12714663143989433,0.09363057324840764,0.0,0.03645103002099553,0.5847229435093961,0.5847229435093961,0.5847229435093961,0.4251044532874404,0.0,0.10930850491936286,0.0,729573.7805655717,224139.41031200363,364226.5417570059,304829.5980243249,13264.97782846494,1317939.7326345812,1317939.7326345812,46.48150997487078,14.280033786442635,23.205054902969284,19.420845949561986,83.9665986642827,83.9665986642827,1779.4482452818822,546.6814885658625,888.3574189195265,743.486824449573,3214.4871527672717,3214.4871527672717,127269.71926631033,288691.56048186065,127269.71926631033,288691.56048186065,24,010100,24510010100,Census Tract 101,G5020,S,393198,148387,+39.2786343,-076.5745793,N,L,Canton
4,510,101.0,2014,Baltimore,12580.0,4.0,1.0,10.0,90% to 100% of MFI,middle,62.0,798000.0,3.0,405000.0,2.0,1225000.0,34.0,768000.0,67.0,2428000.0,12870.967741935483,67.0,2428000.0,14744.0,366.0,14744.0,3976.0,8336.0,2432.0,3872.0,6704.0,4168.0,0.0,0.0,0.0,128.0,288.0,16.0,680.0,0.0,328.0,384.0,296.0,1120.0,0.0,656.0,624.0,4192.0,216.0,5056.0,736.0,24.0,10240.0,3728.0,16.0,568.0,16.0,176.0,13816.0,928.0,1640.0,2984.0,3432.0,2712.0,6256.0,8488.0,47.0,112.0,34.0,190.0,605.0,366.0,191.0,352.0,3.0,76.0,0.004205100379815518,54.123711340206185,0.00020347259902333151,27.468800868149756,0.00013564839934888768,83.0846446011937,0.0023060227889310906,52.08898534997287,0.004544221378187737,164.67715680954964,0.004544221378187737,164.67715680954964,0.16939890710382513,2180.3278688524592,0.00819672131147541,1106.5573770491803,0.00546448087431694,3346.9945355191257,0.09289617486338798,2098.3606557377047,0.1830601092896175,6633.879781420765,0.1830601092896175,6633.879781420765,3091,2829,146,1417,1325,49,16,1587,1417,170,1662.0,96.0,369.0,105385.0,63105,839,260500.0,1939,2605.0,2277.0,2934.0,3091,2829,146,1417,49,1325,16,1587,1417,170,703.6200405632632,96.0,369.0,105385.0,63105,839,260500.0,2605.0,2277.0,2934.0,0.9152377871239081,0.04723390488515044,0.9350741002117149,0.03458009880028229,0.011291460832745237,0.6380038387715931,0.04216073781291173,0.12576687116564417,0.10712035286704474,0.0,0.040607190816061116,0.568822667080911,0.568822667080911,0.568822667080911,0.4211695135035085,0.0,0.0,0.0,894316.2471448944,453882.30588180735,1372853.8881610222,860695.3355980939,14424.4555991112,2721052.441187724,2721052.441187724,60.65628371845459,30.7842041428247,93.11271623446976,58.37597230046757,184.55320409574904,184.55320409574904,2443.487014057089,1240.1155898410036,3750.9669075437764,2351.626599994792,7434.569511441869,7434.569511441869,118104.6587786525,291941.5819313847,118104.6587786525,291941.5819313847,24,010100,24510010100,Census Tract 101,G5020,S,393198,148387,+39.2786343,-076.5745793,N,L,Canton
5,510,101.0,2015,Baltimore,12580.0,4.0,1.0,10.0,90% to 100% of MFI,middle,67.0,907000.0,0.0,0.0,4.0,2266000.0,33.0,1203000.0,71.0,3173000.0,13537.313432835821,71.0,3173000.0,14968.0,382.0,14968.0,3664.0,8624.0,2680.0,3944.0,6600.0,4424.0,0.0,0.0,0.0,80.0,0.0,0.0,848.0,0.0,608.0,368.0,416.0,1352.0,0.0,248.0,672.0,4144.0,24.0,5520.0,688.0,0.0,10560.0,3912.0,48.0,320.0,0.0,128.0,14288.0,680.0,1672.0,3264.0,3328.0,3040.0,6360.0,8608.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,0.004476215927311598,60.595938001068944,0.0,0.0,0.0002672367717797969,151.38963121325494,0.0022047033671833242,80.37145911277392,0.004743452699091395,211.9855692143239,0.004743452699091395,211.9855692143239,0.17539267015706805,2374.3455497382197,0.0,0.0,0.010471204188481676,5931.937172774869,0.08638743455497382,3149.214659685864,0.18586387434554974,8306.28272251309,0.18586387434554974,8306.28272251309,3039,2756,119,1442,1373,16,44,1630,1442,188,1698.0,69.0,347.0,109219.0,63830,913,286500.0,1939,2558.0,2211.0,2882.0,3039,2756,119,1442,16,1373,44,1630,1442,188,714.765925365939,69.0,347.0,109219.0,63830,913,286500.0,2558.0,2211.0,2882.0,0.9068772622573215,0.039157617637380716,0.9521497919556172,0.011095700416088766,0.030513176144244106,0.6637998436278343,0.031207598371777476,0.12040249826509368,0.11533742331288344,0.0,0.0,0.5788537632832104,0.5788537632832104,0.5788537632832104,0.43781991423654715,0.0,8.04637370963047e-10,0.0,1016472.2257649364,0.0,2539499.518835001,1348198.5530267018,15171.227250222932,3555971.7445999375,3555971.7445999375,67.90968905431163,0.0,169.6619133374533,90.07205725726227,237.57160239176494,237.57160239176494,2660.922056976273,0.0,6647.904499568066,3529.3155838395332,9308.82655654434,9308.82655654434,122401.41127433362,321079.70527194516,122401.41127433362,321079.70527194516,24,010100,24510010100,Census Tract 101,G5020,S,393198,148387,+39.2786343,-076.5745793,N,L,Canton
6,510,101.0,2016,Baltimore,12580.0,4.0,1.0,10.0,90% to 100% of MFI,middle,68.0,941000.0,3.0,540000.0,3.0,979000.0,41.0,996000.0,74.0,2460000.0,13838.235294117647,74.0,2460000.0,16120.0,374.0,16120.0,4192.0,9280.0,2648.0,4760.0,6816.0,4544.0,0.0,0.0,0.0,80.0,0.0,32.0,1072.0,0.0,624.0,296.0,304.0,1392.0,0.0,1056.0,240.0,4128.0,0.0,5664.0,1232.0,0.0,11104.0,4016.0,64.0,680.0,48.0,208.0,15120.0,1000.0,1560.0,3280.0,3664.0,3424.0,6576.0,9544.0,78.0,77.0,136.0,126.0,666.0,374.0,218.0,158.0,246.0,87.0,0.004218362282878412,58.37468982630273,0.00018610421836228288,33.49875930521092,0.00018610421836228288,60.732009925558316,0.002543424317617866,61.78660049627791,0.0045905707196029774,152.60545905707195,0.0045905707196029774,152.60545905707195,0.18181818181818182,2516.042780748663,0.008021390374331552,1443.850267379679,0.008021390374331552,2617.6470588235293,0.10962566844919786,2663.101604278075,0.19786096256684493,6577.540106951872,0.19786096256684493,6577.540106951872,3176,2855,160,1462,1386,19,78,1641,1462,179,1721.0,55.0,316.0,109861.0,69000,938,294000.0,1939,2699.0,2307.0,3019.0,3176,2855,160,1462,19,1386,78,1641,1462,179,689.2295483455009,55.0,316.0,109861.0,69000,938,294000.0,2699.0,2307.0,3019.0,0.8989294710327456,0.05037783375314862,0.948016415868673,0.012995896032831737,0.0533515731874145,0.6376435716932197,0.023840485478977026,0.10467042066909572,0.10907982937233394,5.8412214184269555e-09,0.0,0.5763559203000636,0.5763559203000636,0.5763559203000636,0.4175546212960466,0.0,7.681235187530644e-10,0.09377639761683754,1054575.925517977,605176.4078424098,1097162.4134772576,1116214.263353778,15508.469492911427,2756914.7468376444,2756914.7468376444,65.42034277406805,37.541960784268596,68.06218445888696,69.2440610020954,171.0244880172236,171.0244880172236,2819.721725983896,1618.1187375465502,2933.5893408482825,2984.5301159191927,7371.429804378729,7371.429804378729,123120.89878143514,329484.9331586453,123120.89878143514,329484.9331586453,24,010100,24510010100,Census Tract 101,G5020,S,393198,148387,+39.2786343,-076.5745793,N,L,Canton
7,510,101.0,2017,Baltimore,12580.0,4.0,1.0,13.0,> 120% of MFI,upper,73.0,1047000.0,0.0,0.0,0.0,0.0,43.0,621000.0,73.0,1047000.0,14342.465753424658,73.0,1047000.0,16312.0,363.0,16312.0,4536.0,9368.0,2408.0,5152.0,6376.0,4784.0,0.0,0.0,0.0,32.0,0.0,80.0,856.0,0.0,864.0,384.0,248.0,1336.0,0.0,1080.0,216.0,3784.0,0.0,6176.0,1256.0,0.0,10920.0,4360.0,16.0,744.0,0.0,272.0,15384.0,928.0,1520.0,3080.0,3632.0,3544.0,6696.0,9616.0,59.0,86.0,134.0,178.0,654.0,363.0,215.0,237.0,233.0,63.0,0.004475232957332025,64.18587542913193,0.0,0.0,0.0,0.0,0.002636096125551741,38.07013241785189,0.004475232957332025,64.18587542913193,0.004475232957332025,64.18587542913193,0.20110192837465565,2884.2975206611573,0.0,0.0,0.0,0.0,0.1184573002754821,1710.7438016528927,0.20110192837465565,2884.2975206611573,0.20110192837465565,2884.2975206611573,3201,2830,219,1466,1332,79,75,1632,1466,166,1767.0,59.0,372.0,104844.0,59140,911,316500.0,1939,2727.0,2249.0,3045.0,3201,2830,219,1466,79,1332,75,1632,1466,166,652.7202584092547,59.0,372.0,104844.0,59140,911,316500.0,2727.0,2249.0,3045.0,0.8840987191502655,0.06841611996251172,0.9085948158253752,0.0538881309686221,0.05115961800818554,0.647964796479648,0.026233881725211204,0.12216748768472907,0.1017156862745098,5.795601132434867e-09,0.058817632058315326,0.5533078704539646,0.5533078704539646,0.5533078704539646,0.41991474876024953,0.0,0.10502791365640847,0.0,1173369.812983339,0.0,0.0,695952.8690187712,16073.559081963547,1173369.812983339,1173369.812983339,71.93292134522676,0.0,0.0,42.66508515318607,71.93292134522676,71.93292134522676,3232.423727226829,0.0,0.0,1917.2255344869732,3232.423727226829,3232.423727226829,117498.36167375854,354700.61681874574,117498.36167375854,354700.61681874574,24,010100,24510010100,Census Tract 101,G5020,S,393198,148387,+39.2786343,-076.5745793,N,L,Canton
8,510,101.0,2018,Baltimore,12580.0,4.0,1.0,13.0,> 120% of MFI,upper,79.0,1358000.0,1.0,153000.0,3.0,1440000.0,44.0,753000.0,83.0,2951000.0,17189.87341772152,83.0,2951000.0,16312.0,363.0,16312.0,4536.0,9368.0,2408.0,5152.0,6376.0,4784.0,0.0,0.0,0.0,32.0,0.0,80.0,856.0,0.0,864.0,384.0,248.0,1336.0,0.0,1080.0,216.0,3784.0,0.0,6176.0,1256.0,0.0,10920.0,4360.0,16.0,744.0,0.0,272.0,15384.0,928.0,1520.0,3080.0,3632.0,3544.0,6696.0,9616.0,59.0,86.0,134.0,178.0,654.0,363.0,215.0,237.0,233.0,63.0,0.004843060323688082,83.25159391858755,6.130456105934282e-05,9.37959784207945,0.00018391368317802846,88.27856792545366,0.002697400686611084,46.16233447768514,0.005088278567925454,180.90975968612065,0.005088278567925454,180.90975968612065,0.21763085399449036,3741.0468319559227,0.0027548209366391185,421.4876033057851,0.008264462809917356,3966.9421487603304,0.12121212121212122,2074.380165289256,0.22865013774104684,8129.476584022039,0.22865013774104684,8129.476584022039,3022,2621,227,1398,1254,77,102,1636,1398,238,1797.0,10.0,124.0,134500.0,61660,907,336300.0,0,2668.0,2190.0,2867.0,3022,2621,227,1398,77,1254,102,1636,1398,238,665.9815155485172,10.0,124.0,134500.0,61660,907,336300.0,2668.0,2190.0,2867.0,0.8673064195896757,0.07511581733951025,0.8969957081545065,0.05507868383404864,0.07296137339055794,0.6735382308845578,0.0045662100456621,0.04325078479246599,0.14547677261613692,0.0,5.42606157619648e-10,0.5463131485903014,0.5463131485903014,0.5463131485903014,0.4366599767847793,0.0,2.8597066765374545e-10,0.12506700598419923,1521906.5960185046,171466.64888868277,1613803.754246426,843884.8798246937,19264.64045593044,3307176.9991536136,3307176.9991536136,93.29981584223299,10.511687646437148,98.9335307899967,51.73399214226911,202.74503427866685,202.74503427866685,4192.580154320949,472.3599142938919,4445.7403698248645,2324.7517350542525,9110.680438439707,9110.680438439707,150733.75343482243,376890.4184396341,150733.75343482243,376890.4184396341,24,010100,24510010100,Census Tract 101,G5020,S,393198,148387,+39.2786343,-076.5745793,N,L,Canton
9,510,102.0,2010,Baltimore,12580.0,4.0,1.0,7.0,60% to 70% of MFI,moderate,12.0,111000.0,1.0,175000.0,1.0,272000.0,4.0,216000.0,14.0,558000.0,9250.0,2.0,447000.0,2448.0,0.0,2448.0,672.0,1512.0,264.0,992.0,800.0,656.0,0.0,0.0,0.0,56.0,0.0,32.0,64.0,304.0,0.0,328.0,24.0,176.0,0.0,0.0,216.0,128.0,856.0,248.0,16.0,0.0,1960.0,296.0,0.0,144.0,16.0,32.0,2240.0,208.0,176.0,608.0,408.0,584.0,1016.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,45.34313725490196,0.0004084967320261438,71.48692810457516,0.0004084967320261438,111.11111111111111,0.0016339869281045752,88.23529411764706,0.005718954248366013,227.94117647058823,0.0008169934640522876,182.59803921568627,,,,,,,,,,,,,3516,2770,539,1262,1082,119,209,1568,1262,306,,,398.0,65591.0,40330,858,219600.0,1939,,,3516.0,3516,2770,539,1262,119,1082,209,1568,1262,306,,,398.0,65591.0,40330,858,219600.0,,,3516.0,0.7878270762229806,0.15329920364050056,0.8573692551505546,0.09429477020602219,0.16561014263074486,,,0.11319681456200227,0.1951530612244898,0.0,0.0,0.5243398235650805,0.5243398235650805,0.5243398235650805,,,0.0,0.0,124397.37272316201,196121.98402300317,304829.5980243249,242070.5631369639,10366.447726930168,625348.9547704901,500951.58204732806,50.81592023004984,80.11518955188038,124.5218946177798,98.88503396117807,255.45300439971,204.63708416966017,,,,,,,73507.64030887315,246105.07252257998,73507.64030887315,246105.07252257998,24,010200,24510010200,Census Tract 102,G5020,S,355165,0,+39.2880851,-076.5740101,N,L,Patterson Park North & East
