,COUNTYFP,NAME,year,city_name,msa,loan_type,action_taken_type,income_group_code,income_group,cra_level,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoans,amtLoans,avgSmallLoan,nWorkingLoans,amtWorkingLoans,total_jobs,sb_jobs,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,nLoans1_per_totaljob,amtLoans1_per_totaljob,nLoans100k_per_totaljob,amtLoans100k_per_totaljob,nLoans250k_per_totaljob,amtLoans250k_per_totaljob,nLoansToSmallest_per_totaljob,amtLoansToSmallest_per_totaljob,nLoans_per_totaljob,amtLoans_per_totaljob,nWorkingLoans_per_totaljob,amtWorkingLoans_per_totaljob,nLoans1_per_sbjob,amtLoans1_per_sbjob,nLoans100k_per_sbjob,amtLoans100k_per_sbjob,nLoans250k_per_sbjob,amtLoans250k_per_sbjob,nLoansToSmallest_per_sbjob,amtLoansToSmallest_per_sbjob,nLoans_per_sbjob,amtLoans_per_sbjob,nWorkingLoans_per_sbjob,amtWorkingLoans_per_sbjob,pop_total,pop_white,pop_black,total_households,white_householders,black_householders,female_householders,total_housing_units,occupied_housing_units,vacant_housing_units,educated,unemployed_16plus,poverty_past_12_months,mfi,travel_time_to_work,owner_occ_housing_units,median_home_value,median_year_built,pop_25plus,labor_force_16plus,poverty_status_known,pop_total_err,pop_white_err,pop_black_err,total_households_err,white_householders_err,black_householders_err,female_householders_err,total_housing_units_err,occupied_housing_units_err,vacant_housing_units_err,educated_serr,unemployed_16plus_err,poverty_past_12_months_err,mfi_err,travel_time_to_work_err,owner_occ_housing_units_err,median_home_value_err,pop_25plus_err,labor_force_16plus_err,poverty_status_known_err,pct_white,pct_black,pct_white_householders,pct_black_householders,pct_female_householders,peducated,pct_unemployed,pct_poverty,pct_vacant,pct_white_serr,pct_black_serr,pct_white_householders_serr,pct_black_householders_serr,pct_female_householders_serr,peducated_serr,pct_unemployed_serr,pct_poverty_serr,pct_vacant_serr,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,avgSmallLoan_adj,amtLoans_adj,amtWorkingLoans_adj,amtLoans1_per_totaljob_adj,amtLoans100k_per_totaljob_adj,amtLoans250k_per_totaljob_adj,amtLoansToSmallest_per_totaljob_adj,amtLoans_per_totaljob_adj,amtWorkingLoans_per_totaljob_adj,amtLoans1_per_sbjob_adj,amtLoans100k_per_sbjob_adj,amtLoans250k_per_sbjob_adj,amtLoansToSmallest_per_sbjob_adj,amtLoans_per_sbjob_adj,amtWorkingLoans_per_sbjob_adj,mfi_adj,median_home_value_adj,mfi_err_adj,median_home_value_err_adj,STATEFP,TRACTCE,GEOID_data,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,split_county_indicator,population_classification
0,35,1011.01,2010,Cleveland,17460.0,4.0,1.0,6.0,50% to 60% of MFI,moderate,5.0,77000.0,0.0,0.0,0.0,0.0,5.0,77000.0,5.0,77000.0,15400.0,5.0,77000.0,1568.0,0.0,1568.0,424.0,888.0,256.0,432.0,880.0,256.0,0.0,0.0,0.0,16.0,0.0,0.0,96.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1416.0,8.0,0.0,0.0,0.0,832.0,736.0,0.0,0.0,0.0,0.0,1464.0,104.0,72.0,392.0,464.0,216.0,248.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031887755102040817,49.107142857142854,0.0,0.0,0.0,0.0,0.0031887755102040817,49.107142857142854,0.0031887755102040817,49.107142857142854,0.0031887755102040817,49.107142857142854,,,,,,,,,,,,,1725,828,835,1026,405,569,101,1214,1026,188,,,692.0,21375.0,17465,102,72900.0,1939,,,1725.0,1725,828,835,1026,569,405,101,1214,1026,188,,,692.0,21375.0,17465,102,72900.0,,,1725.0,0.48,0.48405797101449277,0.39473684210526316,0.5545808966861598,0.09844054580896686,,,0.4011594202898551,0.15485996705107083,0.0,0.0,0.2368035121862463,0.2368035121862463,0.2368035121862463,,,0.0,1.3507049491981686e-09,86293.67297012139,0.0,0.0,86293.67297012139,17258.734594024278,86293.67297012139,86293.67297012139,55.0342302105366,0.0,0.0,55.0342302105366,55.0342302105366,55.0342302105366,,,,,,,23954.899477095387,81698.81505872532,23954.899477095387,81698.81505872532,39,101101,39035101101,Census Tract 1011.01,G5020,S,305903,0,+41.4817301,-081.7480507,N,L
1,35,1011.01,2011,Cleveland,17460.0,4.0,1.0,6.0,50% to 60% of MFI,moderate,10.0,94000.0,0.0,0.0,1.0,368000.0,7.0,426000.0,11.0,462000.0,9400.0,1.0,368000.0,1552.0,11.0,1552.0,416.0,872.0,264.0,368.0,848.0,336.0,0.0,0.0,0.0,16.0,0.0,0.0,96.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.0,0.0,0.0,0.0,0.0,800.0,752.0,0.0,0.0,0.0,0.0,1496.0,56.0,104.0,312.0,408.0,312.0,232.0,1320.0,0.0,1.0,3.0,2.0,95.0,11.0,0.0,90.0,0.0,0.0,0.006443298969072165,60.56701030927835,0.0,0.0,0.0006443298969072165,237.11340206185568,0.004510309278350515,274.4845360824742,0.007087628865979381,297.680412371134,0.0006443298969072165,237.11340206185568,0.9090909090909091,8545.454545454546,0.0,0.0,0.09090909090909091,33454.545454545456,0.6363636363636364,38727.27272727273,1.0,42000.0,0.09090909090909091,33454.545454545456,1761,933,754,959,421,499,132,1155,959,196,,232.0,809.0,13974.0,16800,118,72100.0,1939,,848.0,1670.0,1761,933,754,959,499,421,132,1155,959,196,,232.0,809.0,13974.0,16800,118,72100.0,,848.0,1670.0,0.5298126064735945,0.4281658148779103,0.43899895724713245,0.5203336809176226,0.13764337851929093,,0.27358490566037735,0.4844311377245509,0.1696969696969697,3.7246014953471353e-09,0.0,0.16980743644693938,0.16980743644693938,0.16980743644693938,,0.0,3.927558822339105e-09,0.14588921339761135,105345.5228466417,0.0,412416.51497408666,477416.94396456773,10534.55228466417,517762.0378207284,412416.51497408666,67.87726987541348,0.0,265.73229057608677,307.61401028644826,333.6095604515002,265.73229057608677,9576.865713331064,0.0,37492.410452189695,43401.540360415245,47069.27616552076,37492.410452189695,15660.620598499692,80802.2574174773,15660.620598499692,80802.2574174773,39,101101,39035101101,Census Tract 1011.01,G5020,S,305903,0,+41.4817301,-081.7480507,N,L
2,35,1011.01,2012,Cleveland,17460.0,4.0,1.0,4.0,30% to 40% of MFI,low,3.0,6000.0,0.0,0.0,0.0,0.0,2.0,4000.0,3.0,6000.0,2000.0,0.0,0.0,1504.0,12.0,1504.0,288.0,904.0,312.0,344.0,840.0,320.0,0.0,0.0,0.0,16.0,0.0,0.0,96.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1344.0,0.0,16.0,0.0,0.0,808.0,696.0,0.0,0.0,0.0,0.0,1456.0,48.0,120.0,312.0,504.0,280.0,216.0,1288.0,0.0,1.0,0.0,7.0,89.0,12.0,0.0,84.0,0.0,1.0,0.0019946808510638296,3.9893617021276597,0.0,0.0,0.0,0.0,0.0013297872340425532,2.6595744680851063,0.0019946808510638296,3.9893617021276597,0.0,0.0,0.25,500.0,0.0,0.0,0.0,0.0,0.16666666666666666,333.3333333333333,0.25,500.0,0.0,0.0,1791,842,867,973,374,556,153,1136,973,163,78.0,224.0,797.0,13258.0,17075,104,47800.0,1939,1342.0,885.0,1698.0,1791,842,867,973,556,374,153,1136,973,163,39.36844950441867,224.0,797.0,13258.0,17075,104,47800.0,1342.0,885.0,1698.0,0.4701284198771636,0.48408710217755446,0.38437821171634123,0.5714285714285714,0.15724563206577596,0.05812220566318927,0.25310734463276835,0.46937573616018846,0.14348591549295775,3.662212860584202e-09,0.416171760042181,0.257038646529432,0.257038646529432,0.257038646529432,0.03957802320884655,0.0,0.0,0.0,6724.182309360109,0.0,0.0,4482.788206240072,2241.394103120036,6724.182309360109,0.0,4.470865897180923,0.0,0.0,2.980577264787282,4.470865897180923,0.0,560.348525780009,0.0,0.0,373.56568385333935,560.348525780009,0.0,14858.20150958272,53569.31906456887,14858.20150958272,53569.31906456887,39,101101,39035101101,Census Tract 1011.01,G5020,S,305989,0,+41.4817295,-081.7480520,N,L
3,35,1011.01,2013,Cleveland,17460.0,4.0,1.0,4.0,30% to 40% of MFI,low,11.0,58000.0,0.0,0.0,0.0,0.0,7.0,50000.0,11.0,58000.0,5272.727272727273,0.0,0.0,1560.0,12.0,1560.0,376.0,800.0,384.0,384.0,856.0,320.0,0.0,0.0,0.0,16.0,0.0,48.0,96.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1344.0,24.0,0.0,0.0,0.0,792.0,768.0,0.0,0.0,0.0,0.0,1496.0,64.0,120.0,512.0,432.0,120.0,216.0,1344.0,0.0,0.0,1.0,8.0,96.0,12.0,0.0,92.0,0.0,1.0,0.007051282051282051,37.17948717948718,0.0,0.0,0.0,0.0,0.004487179487179487,32.05128205128205,0.007051282051282051,37.17948717948718,0.0,0.0,0.9166666666666666,4833.333333333333,0.0,0.0,0.0,0.0,0.5833333333333334,4166.666666666667,0.9166666666666666,4833.333333333333,0.0,0.0,1639,695,813,920,347,518,186,1121,920,201,56.0,202.0,952.0,10435.0,15055,115,38800.0,1939,1202.0,751.0,1542.0,1639,695,813,920,518,347,186,1121,920,201,26.189251341687555,202.0,952.0,10435.0,15055,115,38800.0,1202.0,751.0,1542.0,0.424039048200122,0.4960341671751068,0.37717391304347825,0.5630434782608695,0.20217391304347826,0.04658901830282862,0.26897470039946736,0.6173800259403373,0.1793041926851026,2.8297314254002458e-09,0.42644270311214527,0.2541279185129007,0.2541279185129007,0.2541279185129007,0.03126568704980978,0.0,0.530764258859014,0.0,65000.42899048105,0.0,0.0,56034.85257800091,5909.12990822555,65000.42899048105,0.0,41.66694166056478,0.0,0.0,35.91977729359032,41.66694166056478,0.0,5416.70241587342,0.0,0.0,4669.571048166742,5416.70241587342,0.0,11694.473733028788,43483.045600528705,11694.473733028788,43483.045600528705,39,101101,39035101101,Census Tract 1011.01,G5020,S,305989,0,+41.4817295,-081.7480520,N,L
4,35,1011.01,2014,Cleveland,17460.0,4.0,1.0,4.0,30% to 40% of MFI,low,7.0,172000.0,0.0,0.0,0.0,0.0,5.0,137000.0,7.0,172000.0,24571.428571428572,7.0,172000.0,1552.0,19.0,1552.0,328.0,904.0,320.0,320.0,880.0,352.0,0.0,0.0,0.0,16.0,0.0,64.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,88.0,0.0,0.0,800.0,736.0,0.0,16.0,0.0,0.0,1464.0,88.0,152.0,288.0,464.0,320.0,248.0,1304.0,7.0,0.0,1.0,8.0,89.0,19.0,0.0,85.0,0.0,1.0,0.004510309278350515,110.82474226804123,0.0,0.0,0.0,0.0,0.0032216494845360823,88.27319587628865,0.004510309278350515,110.82474226804123,0.004510309278350515,110.82474226804123,0.3684210526315789,9052.631578947368,0.0,0.0,0.0,0.0,0.2631578947368421,7210.526315789473,0.3684210526315789,9052.631578947368,0.3684210526315789,9052.631578947368,1720,809,654,867,360,416,140,1070,867,203,76.0,162.0,845.0,14825.0,15210,133,46300.0,1939,1245.0,713.0,1618.0,1720,809,654,867,416,360,140,1070,867,203,36.917267965201155,162.0,845.0,14825.0,15210,133,46300.0,1245.0,713.0,1618.0,0.4703488372093023,0.3802325581395349,0.41522491349480967,0.4798154555940023,0.16147635524798154,0.06104417670682731,0.22720897615708274,0.5222496909765142,0.1897196261682243,0.0,0.0,0.1461638164882056,0.1461638164882056,0.1461638164882056,0.041255317079516796,0.0,0.0,0.0,192759.8928683231,0.0,0.0,153535.49606372247,27537.12755261759,192759.8928683231,192759.8928683231,124.20096189969273,0.0,0.0,98.92751035033665,124.20096189969273,124.20096189969273,10145.257519385426,0.0,0.0,8080.815582301183,10145.257519385426,10145.257519385426,16614.33378937727,51888.273487228835,16614.33378937727,51888.273487228835,39,101101,39035101101,Census Tract 1011.01,G5020,S,305989,0,+41.4817295,-081.7480520,N,L
5,35,1011.01,2015,Cleveland,17460.0,4.0,1.0,4.0,30% to 40% of MFI,low,12.0,147000.0,0.0,0.0,0.0,0.0,11.0,142000.0,12.0,147000.0,12250.0,12.0,147000.0,1560.0,19.0,1560.0,232.0,936.0,392.0,312.0,896.0,352.0,0.0,0.0,0.0,16.0,0.0,0.0,128.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.0,0.0,80.0,0.0,0.0,776.0,768.0,0.0,16.0,0.0,0.0,1472.0,88.0,168.0,384.0,504.0,272.0,232.0,1328.0,9.0,0.0,0.0,6.0,89.0,19.0,0.0,85.0,0.0,0.0,0.007692307692307693,94.23076923076923,0.0,0.0,0.0,0.0,0.007051282051282051,91.02564102564102,0.007692307692307693,94.23076923076923,0.007692307692307693,94.23076923076923,0.631578947368421,7736.8421052631575,0.0,0.0,0.0,0.0,0.5789473684210527,7473.684210526316,0.631578947368421,7736.8421052631575,0.631578947368421,7736.8421052631575,1903,761,705,879,325,433,181,1054,879,175,122.0,169.0,1027.0,19167.0,16065,107,60200.0,1939,1327.0,736.0,1797.0,1903,761,705,879,433,325,181,1054,879,175,62.71128862885737,169.0,1027.0,19167.0,16065,107,60200.0,1327.0,736.0,1797.0,0.3998949027850762,0.37046768260641094,0.36973833902161546,0.4926052332195677,0.20591581342434584,0.09193669932177845,0.2296195652173913,0.5715080690038954,0.16603415559772297,0.0,0.3184926572418951,0.19787535325898295,0.19787535325898295,0.19787535325898295,0.0628398256362775,0.0,0.0,0.14274027639116388,164742.46657932264,0.0,0.0,159138.98132152256,13728.538881610222,164742.46657932264,164742.46657932264,105.60414524315554,0.0,0.0,102.01216751379651,105.60414524315554,105.60414524315554,8670.656135753823,0.0,0.0,8375.735859027503,8670.656135753823,8670.656135753823,21480.400387250866,67465.96250391309,21480.400387250866,67465.96250391309,39,101101,39035101101,Census Tract 1011.01,G5020,S,305989,0,+41.4817295,-081.7480520,N,L
6,35,1011.01,2016,Cleveland,17460.0,4.0,1.0,4.0,30% to 40% of MFI,low,8.0,95000.0,0.0,0.0,1.0,268000.0,7.0,94000.0,9.0,363000.0,11875.0,9.0,363000.0,1592.0,18.0,1592.0,328.0,936.0,328.0,360.0,912.0,320.0,0.0,0.0,0.0,16.0,0.0,0.0,96.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.0,0.0,80.0,0.0,0.0,648.0,944.0,0.0,0.0,0.0,0.0,1528.0,64.0,176.0,456.0,496.0,136.0,184.0,1408.0,1.0,6.0,0.0,4.0,96.0,18.0,0.0,89.0,0.0,0.0,0.005025125628140704,59.67336683417086,0.0,0.0,0.000628140703517588,168.34170854271358,0.0043969849246231155,59.04522613065327,0.005653266331658292,228.01507537688443,0.005653266331658292,228.01507537688443,0.4444444444444444,5277.777777777777,0.0,0.0,0.05555555555555555,14888.888888888889,0.3888888888888889,5222.222222222223,0.5,20166.666666666668,0.5,20166.666666666668,1959,711,768,905,294,475,171,1073,905,168,163.0,129.0,1033.0,19250.0,16940,138,60300.0,1939,1334.0,727.0,1851.0,1959,711,768,905,475,294,171,1073,905,168,71.25439541240229,129.0,1033.0,19250.0,16940,138,60300.0,1334.0,727.0,1851.0,0.36294027565084225,0.39203675344563554,0.32486187845303865,0.5248618784530387,0.18895027624309393,0.12218890554722639,0.17744154057771663,0.5580767152890329,0.1565703634669152,3.348148664270702e-09,0.33703568004348633,0.25060398682426693,0.25060398682426693,0.25060398682426693,0.08106604322842415,0.0,5.011269374641819e-09,0.0,106466.21989820171,0.0,300346.8098180849,105345.5228466417,13308.277487275214,406813.0297162866,406813.0297162866,66.87576626771465,0.0,188.66005641839502,66.17181083331765,255.53582268610967,255.53582268610967,5914.789994344539,0.0,16685.933878782493,5852.52904703565,22600.723873127034,22600.723873127034,21573.418242530348,67578.03220906909,21573.418242530348,67578.03220906909,39,101101,39035101101,Census Tract 1011.01,G5020,S,305989,0,+41.4817295,-081.7480520,N,L
7,35,1011.01,2017,Cleveland,17460.0,4.0,1.0,3.0,20% to 30% of MFI,low,9.0,123000.0,0.0,0.0,0.0,0.0,8.0,121000.0,9.0,123000.0,13666.666666666666,9.0,123000.0,1656.0,15.0,1656.0,160.0,1128.0,368.0,376.0,944.0,336.0,0.0,0.0,0.0,16.0,0.0,0.0,112.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.0,0.0,56.0,0.0,0.0,552.0,1104.0,0.0,0.0,0.0,0.0,1576.0,80.0,184.0,392.0,656.0,264.0,192.0,1464.0,0.0,5.0,0.0,2.0,106.0,15.0,0.0,96.0,0.0,2.0,0.005434782608695652,74.27536231884058,0.0,0.0,0.0,0.0,0.004830917874396135,73.06763285024155,0.005434782608695652,74.27536231884058,0.005434782608695652,74.27536231884058,0.6,8200.0,0.0,0.0,0.0,0.0,0.5333333333333333,8066.666666666667,0.6,8200.0,0.6,8200.0,2075,759,687,887,319,411,184,1054,887,167,179.0,108.0,1008.0,23221.0,18025,125,59700.0,1939,1360.0,748.0,1965.0,2075,759,687,887,411,319,184,1054,887,167,77.18449849879597,108.0,1008.0,23221.0,18025,125,59700.0,1360.0,748.0,1965.0,0.36578313253012046,0.3310843373493976,0.3596392333709132,0.4633596392333709,0.20744081172491544,0.13161764705882353,0.1443850267379679,0.5129770992366413,0.15844402277039848,0.0,2.235146894569158e-09,0.17760934866478045,0.17760934866478045,0.17760934866478045,0.08713208609125611,0.0,0.4410086145454511,0.1362150066132821,137845.73734188222,0.0,0.0,135604.3432387622,15316.193037986914,137845.73734188222,137845.73734188222,83.24017955427671,0.0,0.0,81.88668069973562,83.24017955427671,83.24017955427671,9189.715822792148,0.0,0.0,9040.289549250812,9189.715822792148,9189.715822792148,26023.70623427518,66905.61397813309,26023.70623427518,66905.61397813309,39,101101,39035101101,Census Tract 1011.01,G5020,S,305989,0,+41.4817295,-081.7480520,N,L
8,35,1011.01,2018,Cleveland,17460.0,4.0,1.0,3.0,20% to 30% of MFI,low,11.0,161000.0,0.0,0.0,0.0,0.0,9.0,127000.0,11.0,161000.0,14636.363636363636,11.0,161000.0,1656.0,15.0,1656.0,160.0,1128.0,368.0,376.0,944.0,336.0,0.0,0.0,0.0,16.0,0.0,0.0,112.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.0,0.0,56.0,0.0,0.0,552.0,1104.0,0.0,0.0,0.0,0.0,1576.0,80.0,184.0,392.0,656.0,264.0,192.0,1464.0,0.0,5.0,0.0,2.0,106.0,15.0,0.0,96.0,0.0,2.0,0.006642512077294686,97.22222222222223,0.0,0.0,0.0,0.0,0.005434782608695652,76.69082125603865,0.006642512077294686,97.22222222222223,0.006642512077294686,97.22222222222223,0.7333333333333333,10733.333333333334,0.0,0.0,0.0,0.0,0.6,8466.666666666666,0.7333333333333333,10733.333333333334,0.7333333333333333,10733.333333333334,2091,770,578,892,361,342,148,1039,892,147,172.0,85.0,866.0,29464.0,20505,128,59700.0,0,1411.0,839.0,1979.0,2091,770,578,892,342,361,148,1039,892,147,76.12631759417187,85.0,866.0,29464.0,20505,128,59700.0,1411.0,839.0,1979.0,0.3682448589191774,0.2764227642276423,0.4047085201793722,0.3834080717488789,0.16591928251121077,0.12189936215450035,0.10131108462455304,0.4375947448206165,0.14148219441770934,0.0,0.0,0.3388973165561432,0.3388973165561432,0.3388973165561432,0.0810365956018942,0.0,0.3762020808197627,0.12163284995734441,180432.22530116292,0.0,0.0,142328.5255481223,16402.929572832993,180432.22530116292,180432.22530116292,108.95665779055732,0.0,0.0,85.94717726335887,108.95665779055732,108.95665779055732,12028.815020077529,0.0,0.0,9488.56836987482,12028.815020077529,12028.815020077529,33020.217927164376,66905.61397813309,33020.217927164376,66905.61397813309,39,101101,39035101101,Census Tract 1011.01,G5020,S,305989,0,+41.4817295,-081.7480520,N,L
9,35,1011.02,2010,Cleveland,17460.0,4.0,1.0,9.0,80% to 90% of MFI,middle,34.0,393000.0,3.0,503000.0,1.0,300000.0,13.0,499000.0,38.0,1196000.0,11558.823529411764,38.0,1196000.0,5684.0,0.0,5684.0,2064.0,2852.0,768.0,2644.0,2168.0,872.0,0.0,0.0,0.0,32.0,208.0,0.0,504.0,0.0,0.0,224.0,32.0,288.0,16.0,288.0,324.0,160.0,0.0,3080.0,528.0,0.0,4724.0,712.0,32.0,104.0,16.0,96.0,5396.0,288.0,384.0,1128.0,1132.0,976.0,2416.0,3268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005981703026038001,69.14144968332161,0.0005277973258268825,88.49401829697396,0.00017593244194229416,52.77973258268825,0.002287121745249824,87.79028852920479,0.006685432793807178,210.4152005629838,0.006685432793807178,210.4152005629838,,,,,,,,,,,,,4430,3591,674,2694,2254,363,225,2865,2694,171,,,611.0,62586.0,65670,907,159100.0,1939,,,4430.0,4430,3591,674,2694,363,2254,225,2865,2694,171,,,611.0,62586.0,65670,907,159100.0,,,4430.0,0.8106094808126411,0.15214446952595936,0.8366740905716407,0.13474387527839643,0.08351893095768374,,,0.13792325056433408,0.05968586387434555,5.922368607951518e-09,1.0469367508422129e-09,0.5151700222200513,0.5151700222200513,0.5151700222200513,,,0.0,0.051312193418269814,440433.9412630871,563710.6169346891,336209.1154680054,559227.8287284491,12953.939448914325,1340353.6736657817,1340353.6736657817,77.48661880068387,99.17498538611702,59.15009068754494,98.38631751028308,235.81169487434582,235.81169487434582,,,,,,,70139.9456689353,178302.90090319887,70139.9456689353,178302.90090319887,39,101102,39035101102,Census Tract 1011.02,G5020,S,1324750,943961,+41.4898253,-081.7613997,N,L
