,COUNTYFP,NAME,year,city_name,msa,loan_type,action_taken_type,income_group_code,income_group,cra_level,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoans,amtLoans,avgSmallLoan,nWorkingLoans,amtWorkingLoans,total_jobs,sb_jobs,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,nLoans1_per_totaljob,amtLoans1_per_totaljob,nLoans100k_per_totaljob,amtLoans100k_per_totaljob,nLoans250k_per_totaljob,amtLoans250k_per_totaljob,nLoansToSmallest_per_totaljob,amtLoansToSmallest_per_totaljob,nLoans_per_totaljob,amtLoans_per_totaljob,nWorkingLoans_per_totaljob,amtWorkingLoans_per_totaljob,nLoans1_per_sbjob,amtLoans1_per_sbjob,nLoans100k_per_sbjob,amtLoans100k_per_sbjob,nLoans250k_per_sbjob,amtLoans250k_per_sbjob,nLoansToSmallest_per_sbjob,amtLoansToSmallest_per_sbjob,nLoans_per_sbjob,amtLoans_per_sbjob,nWorkingLoans_per_sbjob,amtWorkingLoans_per_sbjob,pop_total,pop_white,pop_black,total_households,white_householders,black_householders,female_householders,total_housing_units,occupied_housing_units,vacant_housing_units,educated,unemployed_16plus,poverty_past_12_months,mfi,travel_time_to_work,owner_occ_housing_units,median_home_value,median_year_built,pop_25plus,labor_force_16plus,poverty_status_known,pop_total_err,pop_white_err,pop_black_err,total_households_err,white_householders_err,black_householders_err,female_householders_err,total_housing_units_err,occupied_housing_units_err,vacant_housing_units_err,educated_serr,unemployed_16plus_err,poverty_past_12_months_err,mfi_err,travel_time_to_work_err,owner_occ_housing_units_err,median_home_value_err,pop_25plus_err,labor_force_16plus_err,poverty_status_known_err,pct_white,pct_black,pct_white_householders,pct_black_householders,pct_female_householders,peducated,pct_unemployed,pct_poverty,pct_vacant,pct_white_serr,pct_black_serr,pct_white_householders_serr,pct_black_householders_serr,pct_female_householders_serr,peducated_serr,pct_unemployed_serr,pct_poverty_serr,pct_vacant_serr,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,avgSmallLoan_adj,amtLoans_adj,amtWorkingLoans_adj,amtLoans1_per_totaljob_adj,amtLoans100k_per_totaljob_adj,amtLoans250k_per_totaljob_adj,amtLoansToSmallest_per_totaljob_adj,amtLoans_per_totaljob_adj,amtWorkingLoans_per_totaljob_adj,amtLoans1_per_sbjob_adj,amtLoans100k_per_sbjob_adj,amtLoans250k_per_sbjob_adj,amtLoansToSmallest_per_sbjob_adj,amtLoans_per_sbjob_adj,amtWorkingLoans_per_sbjob_adj,mfi_adj,median_home_value_adj,mfi_err_adj,median_home_value_err_adj,STATEFP,TRACTCE,GEOID_data,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,split_county_indicator,population_classification
0,3,103,2010,Pittsburgh,38300.0,4.0,1.0,4.0,30% to 40% of MFI,low,46.0,1619000.0,5.0,785000.0,5.0,2918000.0,22.0,1654000.0,56.0,5322000.0,35195.65217391304,56.0,5322000.0,104912.0,0.0,104912.0,17408.0,60440.0,27064.0,16496.0,38936.0,49480.0,0.0,0.0,0.0,584.0,2048.0,704.0,1000.0,1320.0,1152.0,1128.0,544.0,6784.0,136.0,416.0,32200.0,50904.0,0.0,3752.0,2192.0,48.0,89088.0,13160.0,120.0,1864.0,16.0,664.0,103760.0,1152.0,4856.0,19536.0,28304.0,34808.0,41696.0,63216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043846271160591734,15.431981088912613,4.765899039194754e-05,7.482461491535763,4.765899039194754e-05,27.813786792740583,0.00020969955772456915,15.765594021656245,0.0005337806923898125,50.72822937318896,0.0005337806923898125,50.72822937318896,,,,,,,,,,,,,4512,3511,670,291,198,93,56,440,291,149,,,803.0,13750.0,17580,107,22600.0,1942,,,1030.0,4512,3511,670,291,93,198,56,440,291,149,,,803.0,13750.0,17580,107,22600.0,,,1030.0,0.7781471631205674,0.14849290780141844,0.6804123711340206,0.31958762886597936,0.19243986254295534,,,0.7796116504854369,0.3386363636363636,0.6689764569041067,0.0,0.4569784219379975,0.4569784219379975,0.4569784219379975,,,0.0,0.0,1814408.5264756694,879747.1854746141,3270193.9964521327,1853632.9232802698,39443.663619036284,5964349.708402417,5964349.708402417,17.294575706074323,8.385572531975505,31.170828851343344,17.668454736162403,56.85097708939317,56.85097708939317,,,,,,,15409.584458950249,25327.75336525641,15409.584458950249,25327.75336525641,42,010300,42003010300,Census Tract 103,G5020,S,861282,237261,+40.4360536,-079.9855725,N,L
1,3,103,2011,Pittsburgh,38300.0,4.0,1.0,4.0,30% to 40% of MFI,low,65.0,2230000.0,10.0,1768000.0,5.0,2250000.0,28.0,1664000.0,80.0,6248000.0,34307.692307692305,80.0,6248000.0,108344.0,517.0,108344.0,19928.0,59552.0,28864.0,19328.0,37992.0,51024.0,0.0,0.0,0.0,536.0,2112.0,576.0,816.0,928.0,752.0,920.0,448.0,6224.0,144.0,920.0,33032.0,54312.0,16.0,4616.0,1640.0,352.0,93616.0,12280.0,88.0,1552.0,0.0,808.0,107008.0,1336.0,5376.0,20808.0,28504.0,33728.0,42248.0,66096.0,14.0,45.0,56.0,89.0,6784.0,517.0,177.0,508.0,471.0,5315.0,0.0005999409288931552,20.582588791257475,9.229860444510079e-05,16.31839326589382,4.614930222255039e-05,20.767186000147678,0.0002584360924462822,15.358487779664772,0.0007383888355608063,57.66816805729897,0.0007383888355608063,57.66816805729897,0.12572533849129594,4313.346228239845,0.019342359767891684,3419.7292069632495,0.009671179883945842,4352.030947775628,0.05415860735009671,3218.568665377176,0.15473887814313347,12085.106382978724,0.15473887814313347,12085.106382978724,4990,3719,984,323,232,91,45,406,323,83,,302.0,311.0,62054.0,35690,168,34100.0,1956,,2037.0,680.0,4990,3719,984,323,91,232,45,406,323,83,,302.0,311.0,62054.0,35690,168,34100.0,,2037.0,680.0,0.7452905811623246,0.1971943887775551,0.718266253869969,0.28173374613003094,0.1393188854489164,,0.1482572410407462,0.4573529411764706,0.2044334975369458,5.257734054754554e-09,1.3144335136886385e-09,0.46902377565949677,0.46902377565949677,0.46902377565949677,,0.0,3.41024250458162e-09,0.0,2499154.42497884,1981392.387158112,2521568.3660100405,1864839.89379587,38448.52961505908,7002115.178146993,7002115.178146993,23.066846571834528,18.28797521928406,23.273724119563987,17.21221197109088,64.62854591068258,64.62854591068258,4833.95440034592,3832.4804393773925,4877.308251470097,3607.0404135316635,13543.74309119341,13543.74309119341,69543.73483750536,38215.76945819661,69543.73483750536,38215.76945819661,42,010300,42003010300,Census Tract 103,G5020,S,861282,237261,+40.4360536,-079.9855725,N,L
2,3,103,2012,Pittsburgh,38300.0,4.0,1.0,3.0,20% to 30% of MFI,low,57.0,1379000.0,6.0,1095000.0,6.0,3040000.0,33.0,1858000.0,69.0,5514000.0,24192.98245614035,69.0,5514000.0,99600.0,474.0,99600.0,18904.0,52704.0,27992.0,16432.0,33592.0,49576.0,0.0,0.0,0.0,480.0,800.0,752.0,768.0,1032.0,1192.0,1200.0,336.0,6008.0,328.0,1000.0,30496.0,49288.0,32.0,4664.0,808.0,416.0,86192.0,10904.0,168.0,1464.0,32.0,840.0,98304.0,1296.0,4744.0,17936.0,26448.0,31568.0,36768.0,62832.0,24.0,80.0,44.0,111.0,6167.0,474.0,163.0,443.0,100.0,5246.0,0.0005722891566265061,13.845381526104418,6.0240963855421684e-05,10.993975903614459,6.0240963855421684e-05,30.522088353413654,0.00033132530120481927,18.65461847389558,0.0006927710843373494,55.36144578313253,0.0006927710843373494,55.36144578313253,0.12025316455696203,2909.2827004219407,0.012658227848101266,2310.1265822784812,0.012658227848101266,6413.502109704641,0.06962025316455696,3919.831223628692,0.14556962025316456,11632.911392405063,0.14556962025316456,11632.911392405063,5338,4061,973,290,251,39,19,397,290,107,160.0,205.0,226.0,145255.0,30655,187,33500.0,1951,1339.0,2024.0,618.0,5338,4061,973,290,39,251,19,397,290,107,57.20103098454829,205.0,226.0,145255.0,30655,187,33500.0,1339.0,2024.0,618.0,0.7607718246534283,0.1822780067440989,0.8655172413793103,0.13448275862068965,0.06551724137931035,0.11949215832710978,0.10128458498023715,0.3656957928802589,0.2695214105793451,0.6540388038274799,0.15670518496038854,0.5324637055843789,0.5324637055843789,0.5324637055843789,0.07714213226898299,0.0,2.653326550690253e-09,0.0,1545441.234101265,1227163.2714582197,3406919.036742455,2082255.1217985137,27113.004107039735,6179523.54230194,6179523.54230194,15.516478254028765,12.32091638010261,34.20601442512505,20.90617592167182,62.043409059256426,62.043409059256426,3260.4245445174365,2588.9520494899157,7187.592904519947,4392.943294933573,13036.9694985273,13036.9694985273,162786.85022435043,37543.35122726061,162786.85022435043,37543.35122726061,42,010300,42003010300,Census Tract 103,G5020,S,860877,235976,+40.4360758,-079.9855776,N,L
3,3,103,2013,Pittsburgh,38300.0,4.0,1.0,3.0,20% to 30% of MFI,low,69.0,2127000.0,7.0,1208000.0,6.0,2947000.0,36.0,1397000.0,82.0,6282000.0,30826.08695652174,82.0,6282000.0,100616.0,471.0,100616.0,20576.0,53912.0,26128.0,16480.0,39032.0,45104.0,0.0,0.0,0.0,480.0,976.0,752.0,1096.0,1624.0,184.0,1208.0,336.0,6112.0,304.0,984.0,22176.0,57352.0,0.0,5112.0,1720.0,200.0,83272.0,14272.0,96.0,1904.0,32.0,1040.0,98944.0,1672.0,5672.0,19104.0,26456.0,28808.0,36856.0,63760.0,558.0,28.0,65.0,103.0,5773.0,471.0,210.0,407.0,656.0,4783.0,0.0006857756221674485,21.139778961596566,6.9571439930031e-05,12.00604277649678,5.963266279716944e-05,29.289576210543053,0.0003577959767830166,13.884471654607617,0.0008149797248946489,62.4353979486364,0.0008149797248946489,62.4353979486364,0.1464968152866242,4515.923566878981,0.014861995753715499,2564.755838641189,0.012738853503184714,6256.900212314225,0.07643312101910828,2966.0297239915076,0.1740976645435244,13337.579617834395,0.1740976645435244,13337.579617834395,5641,4218,1036,288,251,37,16,438,288,150,156.0,192.0,212.0,85417.0,26390,185,34400.0,1939,1625.0,1889.0,651.0,5641,4218,1036,288,37,251,16,438,288,150,55.31580871040644,192.0,212.0,85417.0,26390,185,34400.0,1625.0,1889.0,651.0,0.7477397624534657,0.18365538025172842,0.8715277777777778,0.1284722222222222,0.05555555555555555,0.096,0.10164107993647432,0.32565284178187404,0.3424657534246575,0.0,0.0,0.5355294572002498,0.5355294572002498,0.5355294572002498,0.061918871511272525,0.0,2.518826126461715e-09,2.6472202090359605e-09,2383722.6286681583,1353802.0382845018,3302694.2109473734,1565613.7810293452,34546.70476330665,7040218.877900033,7040218.877900033,23.691287952891773,13.455136740523395,32.82474170059805,15.560286445787403,69.97116639401321,69.97116639401321,5060.982226471674,2874.314306336522,7012.089619845804,3324.0207665166567,14947.386152654,14947.386152654,95726.58005310206,38551.97857366462,95726.58005310206,38551.97857366462,42,010300,42003010300,Census Tract 103,G5020,S,866086,235976,+40.4361325,-079.9853307,N,L
4,3,103,2014,Pittsburgh,38300.0,4.0,1.0,3.0,20% to 30% of MFI,low,52.0,1481000.0,11.0,2017000.0,7.0,4836000.0,24.0,2588000.0,70.0,8334000.0,28480.76923076923,70.0,8334000.0,94424.0,435.0,94424.0,16976.0,48840.0,28608.0,14056.0,30928.0,49440.0,0.0,0.0,0.0,560.0,1992.0,448.0,1152.0,1952.0,160.0,1136.0,288.0,5472.0,224.0,1152.0,30208.0,44616.0,64.0,3232.0,1496.0,272.0,80624.0,10984.0,96.0,1784.0,0.0,936.0,92928.0,1496.0,4704.0,17632.0,25024.0,30088.0,35696.0,58728.0,89.0,20.0,47.0,119.0,5844.0,435.0,259.0,369.0,148.0,4908.0,0.0005507074472591714,15.684571719054478,0.00011649580615097856,21.361094636956707,7.413369482335e-05,51.21579259510294,0.0002541726679657714,27.408286028975684,0.0007413369482335,88.26145895111412,0.0007413369482335,88.26145895111412,0.11954022988505747,3404.597701149425,0.02528735632183908,4636.781609195402,0.016091954022988506,11117.241379310344,0.05517241379310345,5949.425287356322,0.16091954022988506,19158.620689655174,0.16091954022988506,19158.620689655174,6027,4456,1194,274,214,39,1,407,274,133,172.0,217.0,215.0,66964.0,24590,119,33400.0,1939,1725.0,1907.0,630.0,6027,4456,1194,274,39,214,1,407,274,133,72.5164520775521,217.0,215.0,66964.0,24590,119,33400.0,1725.0,1907.0,630.0,0.7393396382943421,0.19810851169736188,0.781021897810219,0.14233576642335766,0.0036496350364963502,0.09971014492753623,0.11379129522810698,0.3412698412698413,0.32678132678132676,0.0,0.17031473803280128,0.4826053540698327,0.4826053540698327,0.4826053540698327,0.06578100421273794,0.0,0.0,0.0,1659752.3333603868,2260445.9529965566,5419690.941344247,2900363.969437327,31918.31410308436,9339889.22770119,9339889.22770119,17.577653280525997,23.939315777731895,57.39738775464127,30.716385340986687,98.91435681289916,98.91435681289916,3815.522605426176,5196.427478153003,12459.059635274132,6667.503378016843,21471.009718853315,21471.009718853315,75046.35736066505,37431.281522104604,75046.35736066505,37431.281522104604,42,010300,42003010300,Census Tract 103,G5020,S,866087,235982,+40.4361325,-079.9853307,N,L
5,3,103,2015,Pittsburgh,38300.0,4.0,1.0,3.0,20% to 30% of MFI,low,80.0,1698000.0,6.0,1070000.0,7.0,4925000.0,53.0,2319000.0,93.0,7693000.0,21225.0,93.0,7693000.0,105640.0,465.0,105640.0,18296.0,55984.0,31360.0,14920.0,31008.0,59712.0,0.0,0.0,0.0,464.0,2016.0,400.0,936.0,2104.0,0.0,696.0,464.0,5192.0,32.0,384.0,29928.0,55680.0,16.0,5640.0,1688.0,0.0,88728.0,11888.0,232.0,3488.0,32.0,1272.0,103768.0,1872.0,5688.0,19304.0,27144.0,35208.0,41336.0,64304.0,137.0,22.0,84.0,102.0,6556.0,465.0,264.0,349.0,156.0,5667.0,0.0007572889057175312,16.0734570238546,5.679666792881484e-05,10.12873911397198,6.626277925028398e-05,46.62059825823552,0.0005017039000378645,21.951912154486937,0.0008803483528966301,72.8227943960621,0.0008803483528966301,72.8227943960621,0.17204301075268819,3651.6129032258063,0.012903225806451613,2301.0752688172042,0.015053763440860216,10591.397849462366,0.11397849462365592,4987.096774193548,0.2,16544.086021505376,0.2,16544.086021505376,6294,4384,1435,240,155,57,6,419,240,179,269.0,190.0,138.0,67188.0,22345,79,45000.0,1939,2168.0,1811.0,588.0,6294,4384,1435,240,57,155,6,419,240,179,101.62162953742272,190.0,138.0,67188.0,22345,79,45000.0,2168.0,1811.0,588.0,0.6965363838576422,0.22799491579281855,0.6458333333333334,0.2375,0.025,0.12407749077490775,0.1049144119271121,0.23469387755102042,0.42720763723150357,5.895049006966639e-09,0.0,0.4183090630627585,0.4183090630627585,0.4183090630627585,0.08062986767167174,0.0,0.2017673341267985,2.767261220901553e-09,1902943.5935489107,1199145.8451692194,5519432.978933089,2598896.462567682,23786.794919361382,8621522.41765122,8621522.41765122,18.013475895010515,11.351248061049027,52.24756700996866,24.601443227638036,81.6122909660282,81.6122909660282,4092.3518140836786,2578.808269181117,11869.74834179159,5589.024650683187,18540.908425056386,18540.908425056386,75297.3935002145,50431.367320200814,75297.3935002145,50431.367320200814,42,010300,42003010300,Census Tract 103,G5020,S,866087,235982,+40.4361325,-079.9853307,N,L
6,3,103,2016,Pittsburgh,38300.0,4.0,1.0,3.0,20% to 30% of MFI,low,85.0,2473000.0,5.0,860000.0,4.0,2681000.0,37.0,1059000.0,94.0,6014000.0,29094.117647058825,94.0,6014000.0,103976.0,485.0,103976.0,20208.0,54128.0,29640.0,17104.0,29064.0,57808.0,0.0,0.0,0.0,424.0,2048.0,448.0,856.0,2288.0,136.0,616.0,608.0,3320.0,0.0,432.0,30480.0,53816.0,48.0,6864.0,1592.0,0.0,86080.0,12216.0,128.0,4224.0,0.0,1328.0,102168.0,1808.0,5632.0,17288.0,24360.0,36488.0,40560.0,63416.0,47.0,152.0,19.0,98.0,6474.0,485.0,262.0,461.0,93.0,5489.0,0.0008174963453104562,23.78433484650304,4.808802031237978e-05,8.271139493729322,3.8470416249903824e-05,25.78479649149804,0.00035585135031161036,10.185042702162038,0.0009040547818727399,57.8402708317304,0.0009040547818727399,57.8402708317304,0.17525773195876287,5098.969072164949,0.010309278350515464,1773.1958762886597,0.008247422680412371,5527.835051546392,0.07628865979381444,2183.505154639175,0.19381443298969073,12400.0,0.19381443298969073,12400.0,6491,4433,1573,281,173,61,7,455,281,174,276.0,201.0,230.0,,22000,73,46900.0,1939,2281.0,1800.0,655.0,6491,4433,1573,281,61,173,7,455,281,174,102.63659555774154,201.0,230.0,,22000,73,46900.0,2281.0,1800.0,655.0,0.6829456170081651,0.24233554151902634,0.6156583629893239,0.21708185053380782,0.02491103202846975,0.12099956159579132,0.11166666666666666,0.3511450381679389,0.3824175824175824,0.0,2.0209592461273474e-09,0.3968444510561313,0.3968444510561313,0.3968444510561313,0.07847730556351258,0.0,2.5034439821779795e-09,3.603858919399069e-09,2771483.808507925,963799.4643416156,3004588.7952324087,1186818.1776020592,32605.691864799115,6739872.068081949,6739872.068081949,26.65503393579215,9.269441643664072,28.89694540309695,11.414347326325876,64.82142098255318,64.82142098255318,5714.399605170979,1987.2153903950837,6195.028443778162,2447.047788870225,13896.643439344225,13896.643439344225,,52560.691718164846,,52560.691718164846,42,010300,42003010300,Census Tract 103,G5020,S,866087,235982,+40.4361325,-079.9853307,N,L
7,3,103,2017,Pittsburgh,38300.0,4.0,1.0,10.0,90% to 100% of MFI,middle,74.0,2130000.0,6.0,903000.0,5.0,3182000.0,31.0,738000.0,85.0,6215000.0,28783.783783783783,85.0,6215000.0,105920.0,457.0,105920.0,20320.0,55016.0,30584.0,17080.0,28376.0,60464.0,0.0,0.0,0.0,464.0,2376.0,336.0,784.0,2248.0,304.0,568.0,424.0,3624.0,144.0,408.0,30272.0,55168.0,224.0,6872.0,1704.0,0.0,86752.0,13064.0,80.0,4528.0,16.0,1480.0,104024.0,1896.0,6328.0,18360.0,24824.0,36088.0,40560.0,65360.0,27.0,145.0,51.0,112.0,6594.0,457.0,330.0,535.0,14.0,5593.0,0.0006986404833836858,20.1095166163142,5.664652567975831e-05,8.525302114803626,4.720543806646526e-05,30.04154078549849,0.0002926737160120846,6.967522658610272,0.0008024924471299094,58.676359516616316,0.0008024924471299094,58.676359516616316,0.16192560175054704,4660.831509846827,0.01312910284463895,1975.929978118162,0.010940919037199124,6962.800875273523,0.06783369803063458,1614.8796498905908,0.18599562363238512,13599.562363238512,0.18599562363238512,13599.562363238512,6546,4299,1738,291,150,79,41,477,291,186,286.0,209.0,271.0,18750.0,19840,49,85000.0,1939,2379.0,1733.0,720.0,6546,4299,1738,291,79,150,41,477,291,186,107.29095802263095,209.0,271.0,18750.0,19840,49,85000.0,2379.0,1733.0,720.0,0.656736938588451,0.2655056523067522,0.5154639175257731,0.27147766323024053,0.140893470790378,0.12021857923497267,0.120600115406809,0.3763888888888889,0.389937106918239,0.0,0.22825634916651938,0.3541539141806165,0.3541539141806165,0.3541539141806165,0.07805443466818002,0.0,0.0,0.0,2387084.7198228384,1011989.4375586964,3566058.0180639774,827074.4240512934,32257.90161922755,6965132.175445513,6965132.175445513,22.536675980200513,9.55428094371881,33.66746618262819,7.80848210018215,65.75842310654751,65.75842310654751,5223.380130903367,2214.418900566075,7803.190411518551,1809.7908622566595,15240.989442987993,15240.989442987993,21013.06971675034,95259.24938260154,21013.06971675034,95259.24938260154,42,010300,42003010300,Census Tract 103,G5020,S,866087,235982,+40.4361325,-079.9853307,N,L
8,3,103,2018,Pittsburgh,38300.0,4.0,1.0,10.0,90% to 100% of MFI,middle,60.0,1427000.0,7.0,1305000.0,2.0,1250000.0,25.0,729000.0,69.0,3982000.0,23783.333333333332,69.0,3982000.0,105920.0,457.0,105920.0,20320.0,55016.0,30584.0,17080.0,28376.0,60464.0,0.0,0.0,0.0,464.0,2376.0,336.0,784.0,2248.0,304.0,568.0,424.0,3624.0,144.0,408.0,30272.0,55168.0,224.0,6872.0,1704.0,0.0,86752.0,13064.0,80.0,4528.0,16.0,1480.0,104024.0,1896.0,6328.0,18360.0,24824.0,36088.0,40560.0,65360.0,27.0,145.0,51.0,112.0,6594.0,457.0,330.0,535.0,14.0,5593.0,0.0005664652567975831,13.472432024169184,6.608761329305136e-05,12.320619335347432,1.8882175226586103e-05,11.801359516616314,0.0002360271903323263,6.882552870090635,0.0006514350453172206,37.59441087613293,0.0006514350453172206,37.59441087613293,0.13129102844638948,3122.5382932166303,0.015317286652078774,2855.5798687089714,0.00437636761487965,2735.229759299781,0.05470459518599562,1595.1859956236324,0.15098468271334792,8713.347921225382,0.15098468271334792,8713.347921225382,6668,4228,1871,320,148,112,77,477,320,157,313.0,218.0,363.0,17161.0,20400,62,152500.0,0,2445.0,1818.0,787.0,6668,4228,1871,320,112,148,77,477,320,157,120.98180839264748,218.0,363.0,17161.0,20400,62,152500.0,2445.0,1818.0,787.0,0.6340731853629274,0.2805938812237552,0.4625,0.35,0.240625,0.1280163599182004,0.11991199119911991,0.46124523506988563,0.32914046121593293,0.5451154396822866,1.9673135072904334e-09,0.3525868619489417,0.3525868619489417,0.3525868619489417,0.08343249379358993,0.0,0.0,0.2829634675849897,1599234.6925761458,1462509.6522858236,1400871.3144500225,816988.1505872532,26653.911542935763,4462615.659311992,4462615.659311992,15.09851484682917,13.807681762517218,13.225748814671663,7.713256708716514,42.131945424018056,42.131945424018056,3499.4194585911287,3200.239939356288,3065.3639265864826,1787.7202419852367,9765.023324533899,9765.023324533899,19232.28210182147,170906.30036290275,19232.28210182147,170906.30036290275,42,010300,42003010300,Census Tract 103,G5020,S,866169,217686,+40.4361325,-079.9853307,N,L
9,3,201,2010,Pittsburgh,38300.0,4.0,1.0,13.0,> 120% of MFI,upper,648.0,17107000.0,79.0,14699000.0,91.0,47592000.0,284.0,21094000.0,818.0,79398000.0,26399.69135802469,818.0,79398000.0,1246536.0,0.0,1246536.0,237956.0,762376.0,246204.0,141204.0,370568.0,734764.0,0.0,5528.0,9912.0,8496.0,7112.0,15056.0,31868.0,5360.0,42592.0,446048.0,25928.0,195040.0,91136.0,86056.0,50336.0,31548.0,24840.0,63168.0,39360.0,67152.0,1078804.0,133156.0,1712.0,25136.0,352.0,7376.0,1231788.0,14748.0,49512.0,217688.0,291932.0,449448.0,594144.0,652392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005198405822214521,13.723630926022192,6.337562653625728e-05,11.791877651347415,7.300230398480268e-05,38.17940276093109,0.00022783136628224133,16.922094508301406,0.000656218512742512,63.6949113383007,0.000656218512742512,63.6949113383007,,,,,,,,,,,,,5325,2760,1943,1744,1289,168,28,2064,1744,320,,,749.0,74531.0,23810,409,138300.0,1961,,,2409.0,5325,2760,1943,1744,168,1289,28,2064,1744,320,,,749.0,74531.0,23810,409,138300.0,,,2409.0,0.5183098591549296,0.3648826291079812,0.739105504587156,0.0963302752293578,0.016055045871559634,,,0.31091739310917393,0.15503875968992248,0.0,3.4838909342580303e-09,0.453104319238517,0.453104319238517,0.453104319238517,,,0.0,0.0,19171764.46103723,16473125.960880706,53336214.07784438,23639983.60560702,29586.05626703276,88981104.49976231,88981104.49976231,15.380032715490952,13.215122516221518,42.78754410449789,18.96454142167336,71.38269933621037,71.38269933621037,,,,,,,83526.6719498197,154992.4022307505,83526.6719498197,154992.4022307505,42,020100,42003020100,Census Tract 201,G5020,S,1679322,479693,+40.4407662,-079.9992790,N,L
