,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
M&T BANK (NY),54767000.0,45697000.0,50646000.0,54189000.0,36108000.0,19674000.0,21441000.0,26788000.0,19644000.0,26966000.0,43679000.0,42369000.0,55036000.0
PNC BANK N.A. (PA),250000.0,2904000.0,2965000.0,55318000.0,54759000.0,49816000.0,47138000.0,46199000.0,41522000.0,50729000.0,40007000.0,41005000.0,43213000.0
"American Express, FSB (UT)",,,,,,,,10723000.0,14394000.0,14052000.0,15116000.0,19737000.0,24486000.0
"WELLS FARGO BANK, N.A. (CA)",46441000.0,48729000.0,61808000.0,59267000.0,51381000.0,35061000.0,21358000.0,27560000.0,24844000.0,28119000.0,25427000.0,27419000.0,24247000.0
"Bank of America, N.A. (CA)",41577000.0,49903000.0,38894000.0,34350000.0,31610000.0,24802000.0,21722000.0,19041000.0,16279000.0,20315000.0,21536000.0,21701000.0,21986000.0
1ST MARINER BANK (MD),13382000.0,14090000.0,12374000.0,16065000.0,12860000.0,14272000.0,13336000.0,11241000.0,14037000.0,9213000.0,11187000.0,14004000.0,11657000.0
Barrington Bank and Trust (IL),,,,,,,,,,,,,11276000.0
Sandy Spring Bank (MD),1896000.0,4526000.0,2580000.0,3156000.0,2892000.0,3325000.0,3390000.0,4581000.0,5431000.0,7773000.0,13180000.0,13384000.0,11146000.0
"SUNTRUST BANKS, INC (GA)",19952000.0,17682000.0,25438000.0,23254000.0,24243000.0,17863000.0,18012000.0,13837000.0,11817000.0,9499000.0,17556000.0,13390000.0,10016000.0
FIRST NATIONAL BANK OF PA (PA),,,,,,,,,1352000.0,596000.0,10037000.0,8293000.0,8468000.0
"Chase Bank USA, NA (DE)",3914000.0,4946000.0,10387000.0,15188000.0,13110000.0,2894000.0,2828000.0,3572000.0,4164000.0,5545000.0,7908000.0,8126000.0,7684000.0
The Columbia Bank (MD),4631000.0,7720000.0,9042000.0,4390000.0,9236000.0,7864000.0,2432000.0,2626000.0,2040000.0,1433000.0,2758000.0,7891000.0,6662000.0
HOWARD BANK (MD),,,,,,,804000.0,2249000.0,4781000.0,4193000.0,4776000.0,8365000.0,5931000.0
"Capital One Bank (USA), N.A. (VA)",,,,,4068000.0,1604000.0,1352000.0,1582000.0,1724000.0,1537000.0,4773000.0,7210000.0,5607000.0
Silicon Valley Bank (CA),,125000.0,1000000.0,,800000.0,,3000.0,1000000.0,230000.0,620000.0,865000.0,1858000.0,4305000.0
"Capital One, N.A. (VA)",,,,,115000.0,676000.0,425000.0,2443000.0,1295000.0,1303000.0,1086000.0,1778000.0,3624000.0
"CITIBANK, N.A. (NY)",35000.0,,40000.0,1132000.0,1510000.0,303000.0,100000.0,145000.0,1787000.0,1941000.0,1345000.0,2072000.0,3034000.0
US BANK NA (WI),558000.0,512000.0,,,,,135000.0,60000.0,228000.0,3393000.0,3014000.0,3528000.0,3019000.0
EAGLEBANK (MD),,,75000.0,,,,115000.0,300000.0,275000.0,,1856000.0,685000.0,3000000.0
Old Line Bank (MD),,,,,,,,,,,,,2098000.0
"BMO Harris Bank, N.A. (IL)",,,,,,50000.0,,,,,25000.0,,1685000.0
WSFS Bank (DE),,,,,,,,,350000.0,530000.0,865000.0,1120000.0,1662000.0
"Citizens Bank, NA (RI)",,,,,,,,22000.0,,,20000.0,1091000.0,1593000.0
JPMorgan Chase Bank NA (OH),165000.0,90000.0,1447000.0,1031000.0,700000.0,662000.0,447000.0,1170000.0,756000.0,1217000.0,714000.0,1628000.0,1593000.0
MetaBank (IA),,,,,,,,,,,,295000.0,1587000.0
Northwest Bank (PA),,,21000.0,3655000.0,6878000.0,2059000.0,3065000.0,1035000.0,5422000.0,1733000.0,1380000.0,209000.0,1358000.0
UNITED BANK INC (WV),27000.0,,,,,,,,625000.0,,,,1305000.0
WASHINGTONFIRST BANK (VA),,,,,,,,,,,,,1219000.0
THE BANK OF GLEN BURNIE (MD),1355000.0,2308000.0,701000.0,724000.0,601000.0,578000.0,382000.0,,650000.0,1682000.0,1516000.0,1858000.0,1200000.0
Signature Bank (NY),,,,,,,,,576000.0,973000.0,364000.0,1309000.0,1128000.0
STEARNS BANK N A (MN),,,167000.0,138000.0,48000.0,72000.0,161000.0,83000.0,149000.0,197000.0,725000.0,781000.0,1074000.0
XENITH BANK (VA),,,,,,,,,,,,918000.0,972000.0
Synchrony Bank (UT),,,,,,,,492000.0,607000.0,956000.0,855000.0,1163000.0,969000.0
BANK OF HOPE (CA),,,,650000.0,,,,,,150000.0,100000.0,987000.0,891000.0
THE BANKCORP BANK (DE),,,,,,,,,,,,,865000.0
Old National Bank ((IN)),,,,,,,,,,,,,800000.0
WEX BANK (UT),634000.0,,,,,,,,,776000.0,658000.0,1179000.0,669000.0
