Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1913,24.636,24.636,24.636,24.636,24.89,24.636,24.387,24.387,24.143,24.143,23.904,24.143
1914,24.143,24.387,24.387,24.636,24.387,24.387,24.143,23.67,23.67,23.904,23.67,23.904
1915,23.904,24.143,24.387,24.143,23.904,23.904,23.904,23.904,23.904,23.67,23.44,23.44
1916,23.215,23.215,22.994,22.777,22.564,22.355,22.355,22.15,21.751,21.366,20.994,20.813
1917,20.635,20.119,20.119,19.161,18.862,18.572,18.862,18.572,18.153,17.884,17.884,17.623
1918,17.245,17.123,17.245,17.002,16.65,16.424,15.989,15.677,15.378,15.09,14.812,14.632
1919,14.632,14.903,14.721,14.457,14.286,14.286,13.875,13.64,13.564,13.339,13.05,12.774
1920,12.509,12.381,12.255,11.893,11.72,11.552,11.607,11.893,12.072,12.132,12.194,12.445
1921,12.707,13.121,13.193,13.339,13.64,13.718,13.64,13.64,13.796,13.796,13.875,13.956
1922,14.286,14.286,14.457,14.457,14.457,14.457,14.371,14.544,14.544,14.457,14.371,14.286
1923,14.371,14.371,14.371,14.286,14.286,14.202,14.037,14.119,14.037,13.956,13.956,13.956
1924,13.956,14.037,14.119,14.202,14.202,14.202,14.119,14.202,14.119,14.037,14.037,13.956
1925,13.956,14.037,13.956,14.037,13.956,13.796,13.64,13.64,13.64,13.64,13.413,13.488
1926,13.488,13.488,13.564,13.488,13.564,13.64,13.796,13.875,13.796,13.718,13.64,13.64
1927,13.796,13.875,13.956,13.956,13.875,13.718,13.956,14.037,13.956,13.875,13.956,13.956
1928,13.956,14.119,14.119,14.119,14.037,14.119,14.119,14.119,13.956,14.037,14.037,14.119
1929,14.119,14.119,14.202,14.286,14.202,14.119,13.956,13.956,13.956,13.956,13.956,14.037
1930,14.119,14.202,14.286,14.202,14.286,14.371,14.544,14.632,14.544,14.632,14.721,14.996
1931,15.184,15.378,15.476,15.576,15.78,15.989,15.989,15.989,16.095,16.203,16.424,16.536
1932,16.883,17.123,17.245,17.369,17.623,17.752,17.752,17.884,18.017,18.153,18.29,18.43
1933,18.716,19.01,19.161,19.161,19.161,19.01,18.43,18.29,18.29,18.29,18.29,18.29
1934,18.29,18.153,18.153,18.153,18.153,18.017,18.017,18.017,17.752,17.884,17.884,18.017
1935,17.752,17.623,17.623,17.495,17.495,17.623,17.623,17.623,17.623,17.623,17.495,17.495
1936,17.495,17.495,17.623,17.623,17.623,17.495,17.369,17.245,17.245,17.245,17.245,17.245
1937,17.123,17.123,17.002,16.883,16.766,16.766,16.65,16.65,16.536,16.536,16.65,16.766
1938,17.002,17.123,17.123,17.002,17.123,17.123,17.123,17.123,17.123,17.245,17.245,17.245
1939,17.245,17.369,17.369,17.495,17.495,17.495,17.495,17.495,17.123,17.245,17.245,17.245
1940,17.369,17.245,17.245,17.245,17.245,17.123,17.245,17.245,17.245,17.245,17.245,17.123
1941,17.123,17.123,17.002,16.883,16.766,16.424,16.424,16.203,15.989,15.78,15.677,15.576
1942,15.378,15.281,15.09,14.996,14.812,14.812,14.721,14.632,14.632,14.457,14.371,14.286
1943,14.286,14.286,14.037,13.875,13.796,13.796,13.875,13.956,13.875,13.875,13.875,13.875
1944,13.875,13.875,13.875,13.796,13.796,13.718,13.64,13.64,13.64,13.64,13.64,13.564
1945,13.564,13.564,13.564,13.564,13.488,13.339,13.339,13.339,13.339,13.339,13.339,13.265
1946,13.265,13.339,13.193,13.121,13.05,12.911,12.194,11.952,11.835,11.607,11.335,11.229
1947,11.229,11.229,11.024,11.024,11.024,10.974,10.875,10.73,10.497,10.497,10.452,10.318
1948,10.187,10.274,10.318,10.144,10.102,10.018,9.895,9.854,9.854,9.895,9.977,10.018
1949,10.06,10.144,10.144,10.102,10.144,10.102,10.187,10.144,10.102,10.187,10.144,10.23
1950,10.274,10.274,10.23,10.23,10.187,10.144,10.018,9.935,9.895,9.814,9.775,9.657
1951,9.505,9.394,9.358,9.358,9.322,9.322,9.322,9.322,9.25,9.215,9.145,9.111
1952,9.111,9.18,9.18,9.145,9.145,9.111,9.042,9.042,9.042,9.042,9.042,9.042
1953,9.076,9.111,9.076,9.076,9.042,9.009,9.009,8.975,8.975,8.942,8.975,8.975
1954,8.975,8.975,8.975,9.009,8.975,8.975,8.975,8.975,9.009,9.009,9.009,9.042
1955,9.042,9.042,9.042,9.042,9.042,9.042,9.009,9.009,8.975,8.975,8.975,9.009
1956,9.009,9.009,9.009,8.975,8.942,8.876,8.811,8.844,8.811,8.779,8.779,8.748
1957,8.748,8.716,8.685,8.653,8.623,8.592,8.531,8.531,8.531,8.531,8.501,8.501
1958,8.442,8.442,8.383,8.354,8.354,8.354,8.325,8.354,8.354,8.354,8.325,8.354
1959,8.325,8.354,8.354,8.325,8.325,8.297,8.268,8.268,8.24,8.212,8.212,8.212
1960,8.24,8.212,8.212,8.184,8.184,8.156,8.156,8.156,8.156,8.102,8.102,8.102
1961,8.102,8.102,8.102,8.102,8.102,8.102,8.048,8.075,8.048,8.048,8.048,8.048
1962,8.048,8.021,8.021,7.994,7.994,7.994,7.968,7.968,7.942,7.942,7.942,7.942
1963,7.942,7.942,7.916,7.916,7.916,7.89,7.864,7.864,7.864,7.839,7.839,7.813
1964,7.813,7.813,7.813,7.813,7.813,7.788,7.763,7.788,7.763,7.763,7.738,7.738
1965,7.738,7.738,7.713,7.689,7.689,7.64,7.64,7.64,7.64,7.616,7.616,7.592
1966,7.592,7.545,7.521,7.475,7.475,7.452,7.429,7.383,7.383,7.338,7.338,7.338
1967,7.338,7.338,7.316,7.294,7.272,7.25,7.229,7.207,7.185,7.164,7.143,7.122
1968,7.08,7.059,7.039,7.018,6.998,6.958,6.918,6.898,6.878,6.839,6.82,6.801
1969,6.782,6.744,6.688,6.651,6.633,6.597,6.561,6.525,6.508,6.473,6.438,6.404
1970,6.387,6.353,6.32,6.271,6.255,6.222,6.191,6.191,6.159,6.128,6.097,6.066
1971,6.066,6.051,6.036,6.021,5.991,5.947,5.932,5.917,5.917,5.903,5.903,5.874
1972,5.874,5.846,5.832,5.818,5.804,5.79,5.762,5.748,5.735,5.708,5.694,5.681
1973,5.667,5.628,5.576,5.537,5.5,5.462,5.45,5.353,5.341,5.295,5.26,5.226
1974,5.181,5.115,5.051,5.03,4.968,4.927,4.887,4.829,4.771,4.725,4.688,4.652
1975,4.634,4.599,4.581,4.564,4.538,4.504,4.454,4.446,4.422,4.398,4.366,4.35
1976,4.342,4.327,4.319,4.304,4.273,4.251,4.228,4.206,4.192,4.17,4.163,4.148
1977,4.127,4.085,4.058,4.024,4.004,3.977,3.958,3.945,3.932,3.919,3.9,3.888
1978,3.863,3.838,3.808,3.778,3.743,3.703,3.675,3.658,3.631,3.598,3.582,3.566
1979,3.535,3.494,3.459,3.42,3.377,3.339,3.303,3.271,3.236,3.211,3.181,3.148
1980,3.103,3.06,3.014,2.981,2.951,2.919,2.919,2.898,2.874,2.847,2.824,2.798
1981,2.775,2.747,2.728,2.71,2.689,2.665,2.636,2.616,2.59,2.585,2.577,2.568
1982,2.56,2.552,2.555,2.544,2.52,2.489,2.476,2.471,2.466,2.459,2.464,2.474
1983,2.469,2.466,2.466,2.449,2.434,2.426,2.417,2.41,2.398,2.39,2.386,2.383
1984,2.369,2.358,2.353,2.342,2.335,2.328,2.319,2.31,2.299,2.293,2.293,2.293
1985,2.288,2.278,2.269,2.258,2.25,2.244,2.24,2.235,2.229,2.221,2.215,2.209
1986,2.203,2.209,2.219,2.223,2.217,2.205,2.205,2.201,2.191,2.189,2.187,2.185
1987,2.171,2.163,2.154,2.142,2.135,2.127,2.122,2.11,2.099,2.094,2.092,2.092
1988,2.087,2.081,2.072,2.062,2.055,2.046,2.037,2.029,2.015,2.009,2.007,2.004
1989,1.994,1.985,1.974,1.961,1.95,1.945,1.941,1.938,1.931,1.922,1.918,1.915
1990,1.895,1.886,1.876,1.873,1.869,1.859,1.851,1.835,1.819,1.808,1.804,1.804
1991,1.794,1.791,1.788,1.786,1.78,1.775,1.773,1.767,1.76,1.757,1.752,1.751
1992,1.748,1.742,1.733,1.731,1.728,1.722,1.718,1.713,1.709,1.703,1.7,1.701
1993,1.693,1.687,1.681,1.677,1.674,1.672,1.672,1.667,1.664,1.657,1.656,1.656
1994,1.651,1.646,1.64,1.638,1.637,1.631,1.627,1.62,1.616,1.615,1.613,1.613
1995,1.606,1.6,1.595,1.589,1.586,1.583,1.583,1.579,1.576,1.571,1.572,1.573
1996,1.564,1.559,1.551,1.545,1.542,1.541,1.538,1.535,1.53,1.525,1.522,1.522
1997,1.517,1.513,1.509,1.507,1.508,1.506,1.504,1.501,1.498,1.494,1.495,1.497
1998,1.494,1.491,1.488,1.486,1.483,1.481,1.479,1.478,1.476,1.472,1.472,1.473
1999,1.469,1.468,1.463,1.453,1.453,1.453,1.448,1.445,1.438,1.435,1.435,1.435
2000,1.43,1.422,1.41,1.409,1.408,1.4,1.397,1.397,1.39,1.388,1.387,1.388
2001,1.379,1.373,1.37,1.365,1.359,1.356,1.36,1.36,1.354,1.359,1.361,1.366
2002,1.363,1.358,1.35,1.343,1.343,1.342,1.341,1.336,1.334,1.332,1.332,1.335
2003,1.329,1.319,1.311,1.314,1.316,1.314,1.313,1.308,1.304,1.305,1.309,1.31
2004,1.304,1.297,1.288,1.284,1.277,1.273,1.275,1.274,1.271,1.265,1.264,1.269
2005,1.266,1.259,1.249,1.241,1.242,1.241,1.236,1.229,1.214,1.212,1.222,1.227
2006,1.218,1.215,1.208,1.198,1.192,1.19,1.186,1.184,1.19,1.196,1.198,1.196
2007,1.193,1.186,1.176,1.168,1.161,1.159,1.159,1.161,1.158,1.156,1.149,1.149
2008,1.144,1.14,1.131,1.124,1.114,1.103,1.098,1.102,1.104,1.115,1.137,1.148
