Workplace Census Block Code ,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),"Number of jobs for workers with Race: White, Alone",Number of jobs for workers with Race: Black or African American Alone,Number of jobs for workers with Race: American Indian or Alaska Native Alone,Number of jobs for workers with Race: Asian Alone,Number of jobs for workers with Race: Native Hawaiian or Other Pacific Islander Alone,Number of jobs for workers with Race: Two or More Race Groups,Number of jobs for workers with Ethnicity: Not Hispanic or Latino,Number of jobs for workers with Ethnicity: Hispanic or Latino,Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Number of jobs for workers with Sex: Male,Number of jobs for workers with Sex: Female,Number of jobs for workers at firms with Firm Age: 0-1 Years,Number of jobs for workers at firms with Firm Age: 2-3 Years,Number of jobs for workers at firms with Firm Age: 4-5 Years,Number of jobs for workers at firms with Firm Age: 6-10 Years,Number of jobs for workers at firms with Firm Age: 11+ Years,Number of jobs for workers at firms with Firm Size: 0-19 Employees,Number of jobs for workers at firms with Firm Size: 20-49 Employees,Number of jobs for workers at firms with Firm Size: 50-249 Employees,Number of jobs for workers at firms with Firm Size: 250-499 Employees,Number of jobs for workers at firms with Firm Size: 500+ Employees,Year
245100101001000,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2010
245100101001001,7,0,7,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,1,0,0,4,3,3,2,1,1,5,2,0,0,0,0,0,0,0,0,0,0,2010
245100101001002,9,1,5,3,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,8,1,0,1,3,4,1,8,0,0,0,0,0,0,0,0,0,0,2010
245100101001004,10,4,3,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,1,0,0,0,0,8,2,1,0,3,2,4,6,0,0,0,0,0,0,0,0,0,0,2010
245100101001006,4,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2010
245100101001007,26,9,12,5,8,13,5,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,1,0,0,26,0,1,7,3,6,12,14,0,0,0,0,0,0,0,0,0,0,2010
245100101001009,16,10,6,0,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,12,1,0,2,0,1,16,0,1,0,2,3,12,4,0,0,0,0,0,0,0,0,0,0,2010
245100101001013,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2010
245100101001014,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2010
245100101001015,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2010
245100101002001,6,1,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,0,0,0,0,0,6,0,0,1,2,2,0,6,0,0,0,0,0,0,0,0,0,0,2010
245100101002002,3,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2010
245100101002004,56,12,30,14,3,14,39,0,0,0,49,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,42,8,2,2,1,1,48,8,11,13,9,11,30,26,0,0,0,0,0,0,0,0,0,0,2010
245100101002006,47,31,15,1,21,21,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,3,0,44,3,0,0,0,0,46,1,3,4,5,4,27,20,0,0,0,0,0,0,0,0,0,0,2010
245100101002007,5,0,4,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,1,0,1,0,0,5,0,2,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,2010
245100101002008,32,4,13,15,13,16,3,0,0,0,0,0,0,3,0,0,1,0,3,0,0,25,0,0,0,0,0,29,3,0,0,0,0,30,2,4,8,6,10,7,25,0,0,0,0,0,0,0,0,0,0,2010
245100101002009,49,25,21,3,23,15,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,32,6,0,34,13,0,2,0,0,49,0,2,7,5,10,27,22,0,0,0,0,0,0,0,0,0,0,2010
245100101002010,8,6,2,0,6,1,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,2010
245100101002011,26,7,17,2,3,4,19,0,0,0,0,0,0,0,0,0,3,0,22,0,1,0,0,0,0,0,0,23,2,0,1,0,0,25,1,1,4,7,7,18,8,0,0,0,0,0,0,0,0,0,0,2010
245100101002012,24,9,13,2,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,18,5,0,1,0,0,23,1,0,4,5,6,16,8,0,0,0,0,0,0,0,0,0,0,2010
