,nBizLoans,nBizLoans,nBizLoans,nBizLoans,nBizLoans,amtBizLoans,amtBizLoans,amtBizLoans,amtBizLoans,amtBizLoans
cra_level,low,middle,moderate,unknown,upper,low,middle,moderate,unknown,upper
M&T BANK (NY),58,69,55,7,30,17096000,17851000,12630000,3220000,4239000
PNC BANK N.A. (PA),156,150,222,0,92,9100000,13338000,14426000,0,6349000
"American Express, FSB (UT)",376,564,702,14,381,3407000,6851000,9206000,112000,4910000
"WELLS FARGO BANK, N.A. (CA)",136,131,225,7,107,5711000,5284000,9141000,768000,3343000
"Bank of America, N.A. (CA)",270,224,337,2,136,4772000,6579000,8211000,16000,2408000
1ST MARINER BANK (MD),9,9,11,1,2,1709000,4049000,4396000,750000,753000
Barrington Bank and Trust (IL),97,91,119,2,43,3721000,1692000,3562000,1022000,1279000
Sandy Spring Bank (MD),13,6,18,0,4,4546000,1796000,4076000,0,728000
"SUNTRUST BANKS, INC (GA)",45,32,62,0,21,3032000,2663000,4044000,0,277000
FIRST NATIONAL BANK OF PA (PA),16,9,7,0,3,2211000,2901000,2379000,0,977000
"Chase Bank USA, NA (DE)",141,205,218,10,139,1415000,2170000,2363000,75000,1661000
The Columbia Bank (MD),3,2,17,0,6,198000,400000,4146000,0,1918000
HOWARD BANK (MD),1,8,7,0,5,31000,2557000,2269000,0,1074000
"Capital One Bank (USA), N.A. (VA)",286,149,327,2,93,1215000,1360000,2004000,80000,948000
Silicon Valley Bank (CA),5,5,3,0,2,1400000,2155000,150000,0,600000
"Capital One, N.A. (VA)",6,5,5,0,13,751000,935000,25000,0,1913000
"CITIBANK, N.A. (NY)",188,117,233,5,54,784000,518000,1331000,21000,380000
US BANK NA (WI),62,81,116,3,54,448000,812000,1059000,28000,672000
EAGLEBANK (MD),2,1,5,0,0,275000,825000,1900000,0,0
Old Line Bank (MD),0,0,3,0,1,0,0,1534000,0,564000
"BMO Harris Bank, N.A. (IL)",11,1,9,0,0,702000,16000,967000,0,0
WSFS Bank (DE),4,0,3,0,0,530000,0,1132000,0,0
JPMorgan Chase Bank NA (OH),4,2,12,1,5,284000,85000,994000,38000,192000
"Citizens Bank, NA (RI)",9,14,11,1,3,299000,574000,339000,63000,318000
MetaBank (IA),22,6,32,2,2,267000,93000,730000,471000,26000
Northwest Bank (PA),0,2,2,0,0,0,338000,1020000,0,0
UNITED BANK INC (WV),1,0,2,0,0,250000,0,1055000,0,0
WASHINGTONFIRST BANK (VA),0,1,2,0,0,0,1000000,219000,0,0
THE BANK OF GLEN BURNIE (MD),0,0,0,1,1,0,0,0,200000,1000000
Signature Bank (NY),1,0,1,0,0,318000,0,810000,0,0
STEARNS BANK N A (MN),1,1,4,0,0,13000,560000,501000,0,0
XENITH BANK (VA),2,1,1,0,0,796000,10000,166000,0,0
Synchrony Bank (UT),96,63,96,2,24,335000,213000,332000,10000,79000
BANK OF HOPE (CA),2,0,0,0,0,891000,0,0,0,0
THE BANKCORP BANK (DE),0,1,0,0,0,0,865000,0,0,0
Old National Bank ((IN)),1,0,0,0,0,800000,0,0,0,0
WEX BANK (UT),26,11,27,1,4,353000,41000,261000,1000,13000
Lake Forest Bank and Trust (IL),3,2,3,0,0,60000,50000,528000,0,0
UNIBANK (MA),0,0,2,0,0,0,0,625000,0,0
Bofi Federal Bank (CA),1,1,8,0,2,35000,374000,154000,0,60000
TEXAS CAPITAL BANK (TX),15,8,20,0,3,128000,56000,316000,0,112000
PREFERRED BANK (CA),0,0,0,0,1,0,0,0,0,597000
ACCESS NATIONAL BANK (VA),0,1,0,0,0,0,593000,0,0,0
BANGOR SAVING BANK (ME),0,0,0,0,1,0,0,0,0,570000
Bank of the West (CA),3,0,3,0,0,286000,0,282000,0,0
Customers Bank (PA),0,1,0,0,0,0,553000,0,0,0
First Bank Financial Centre (WI),0,0,1,0,0,0,0,550000,0,0
HANMI BANK (CA),0,1,0,0,0,0,383000,0,0,0
First Citzens Bank & Trust Co (NC),2,1,0,0,0,350000,25000,0,0,0
UNITED BANK VA (VA),0,0,1,0,0,0,0,364000,0,0
"Fulton Bank, N.A. (PA)",0,1,0,0,0,0,358000,0,0,0
TriState Capital Bank (PA),0,1,0,0,0,0,350000,0,0,0
Mutual of Omaha Bank (NE),0,1,0,0,0,0,285000,0,0,0
TD Bank N.A. (DE),0,6,3,0,2,0,190000,40000,0,35000
BankUnited (FL),0,0,2,0,0,0,0,197000,0,0
TCF National Bank (SD),2,0,1,0,0,90000,0,98000,0,0
COMMUNITY BANK OF THE CHESAPEA (MD),0,0,1,0,0,0,0,178000,0,0
"Raymond James Bank, N.A. (FL)",0,0,1,0,0,0,0,160000,0,0
BURKE & HERBERT BK & TR CO (VA),0,0,1,0,0,0,0,157000,0,0
American Express Centurion Bk (UT),2,0,1,0,1,87000,0,65000,0,5000
Pacific Western Bank (CA),0,1,0,0,0,0,125000,0,0,0
STATE BANK & TRUST (GA),0,0,1,0,0,0,0,125000,0,0
FIRST REPUBLIC BANK (CA),0,1,0,0,0,0,90000,0,0,0
"John Deere Financial, f.s.b. (WI)",4,1,2,0,0,51000,20000,18000,0,0
Pinnacle Bank (TN),1,1,1,0,1,28000,14000,10000,0,4000
PLAINSCAPITAL BANK (TX),0,0,0,0,1,0,0,0,0,50000
COMENITY CAPITAL BANK (UT),0,0,3,0,0,0,0,46000,0,0
COMERICA BANK (MI),1,0,0,0,0,30000,0,0,0,0
State Farm Bank (IL),0,0,1,0,1,0,0,1000,0,25000
FIRST NATIONAL BANK OF OMAHA (NE),1,0,1,0,0,8000,0,14000,0,0
EVERBANK (FL),0,1,1,0,1,0,5000,2000,0,1000
"HSBC BANK, NA (VA)",0,0,1,0,0,0,0,5000,0,0
