0,Abell
2,Arcadia
4,Armistead Gardens
6,Baltimore Highlands
9,Barre Circle
122,Bayview
274,Belair-Edison
11,Belair-Parkside
12,Bellona-Gittings
15,Beverly Hills
16,Biddle Street
17,Blythewood
18,Bolton Hill
19,Boyd-Booth
20,Brewers Hill
21,Bridgeview/Greenlawn
22,Broadway East
23,Broening Manor
25,Burleith-Leighton
26,Butcher's Hill
272,CARE
27,Callaway-Garrison
28,Cameron Village
30,Canton Industrial Area
31,Carroll - Camden Industrial Area
32,Carroll Park
34,Carrollton Ridge
35,Cedarcroft
36,Cedmont
39,Central Park Heights
40,Charles North
49,Coppin Heights/Ash-Co-East
51,Cross Keys
53,Curtis Bay Industrial Area
54,Cylburn
55,Darley Park
57,Dolfield
273,Downtown West
61,Druid Hill Park
62,Dunbar-Broadway
63,Dundalk Marine Terminal
66,Easterwood
67,Eastwood
267,Edgewood
69,Ednor Gardens-Lakeside
70,Ellwood Park/Monument
71,Evergreen
72,Evergreen Lawn
268,Evesham Park
73,Fairfield Area
74,Fairmont
275,Four By Four
81,Franklin Square
83,Franklintown Road
84,Garwyn Oaks
85,Gay Street
87,Glen Oaks
88,Glenham-Belhar
89,Graceland Park
90,Greektown
91,Greenmount Cemetery
92,Greenmount West
93,Greenspring
94,Grove Park
96,Gwynns Falls
97,Gwynns Falls/Leakin Park
99,Hanlon-Longwood
102,Harwood
104,Heritage Crossing
105,Herring Run Park
107,Hillen
108,Hoes Heights
109,Holabird Industrial Park
112,Hopkins Bayview
114,Hunting Ridge
115,Idlewood
118,Johns Hopkins Homewood
119,Johnston Square
120,Jones Falls Area
121,Jonestown
123,Kenilworth Park
124,Kernewood
125,Keswick
126,Kresson
127,Lake Evesham
128,Lake Walker
130,Langston Hughes
132,Levindale
133,Liberty Square
136,Locust Point
137,Locust Point Industrial Area
265,Lower Edmondson Village
138,Lower Herring Run Park
139,Loyola/Notre Dame
140,Lucille Park
141,Madison Park
143,Mayfield
144,McElderry Park
146,Medford
149,Middle Branch/Reedbird Parks
152,Millhill
153,Milton-Montford
155,Montebello
156,Moravia-Walther
157,Morgan Park
158,Morgan State University
160,Mosher
162,Mount Holly
163,Mount Vernon
166,Mt Pleasant Park
161,New Southwest/Mount Clare
170,Northwest Community Action
171,O'Donnell Heights
172,Oakenshawe
173,Oaklee
277,Old Goucher
175,Oliver
177,Orangeville Industrial Area
44,Orchard Ridge
179,Otterbein
180,Overlea
181,Panway/Braddish Avenue
182,Park Circle
183,Parklane
184,Parkside
185,Parkview/Woodbrook
187,Patterson Place
188,Pen Lucy
190,Penn-Fallsway
191,Penrose/Fayette Street Outreach
192,Perkins Homes
193,Perring Loch
195,Pleasant View Gardens
197,Port Covington
198,Pulaski Industrial Area
199,Purnell
200,Radnor-Winston
201,Ramblewood
202,Reisterstown Station
205,Richnor Springs
206,Ridgely's Delight
207,Riverside
208,Rognel Heights
210,Rosebank
214,Sabina-Mattfeldt
215,Saint Agnes
216,Saint Helena
217,Saint Josephs
218,Saint Paul
221,Seton Business Park
222,Seton Hill
223,Sharp-Leadenhall
224,Shipley Hill
226,Spring Garden Industrial Area
227,Stadium Area
228,Stonewood-Pentwood-Winston
229,Taylor Heights
231,The Orchards
232,Towanda-Grantley
233,Tremont
234,Tuscany-Canterbury
235,Union Square
236,University Of Maryland
237,Uplands
242,Wakefield
244,Waltherson
245,Washington Hill
246,Washington Village/Pigtown
251,Westfield
252,Westgate
266,Wilhelm Park
254,Wilson Park
255,Winchester
256,Windsor Hills
259,Woodbourne Heights
260,Woodbourne-McCabe
261,Woodmere
270,Wrenlane
262,Wyman Park
263,Wyndhurst
264,Yale Heights
