OBJECTID,Name,Population
1,Abell,889.0
2,Allendale,3554.0
3,Arcadia,1235.0
4,Arlington,2598.0
5,Armistead Gardens,3458.0
6,Ashburton,2520.0
7,Baltimore Highlands,2703.0
9,Barclay,2181.0
10,Barre Circle,450.0
123,Bayview,2263.0
11,Beechfield,3708.0
275,Belair-Edison,16690.0
12,Belair-Parkside,444.0
13,Bellona-Gittings,599.0
270,Belvedere,720.0
14,Berea,3865.0
15,Better Waverly,2874.0
16,Beverly Hills,669.0
17,Biddle Street,1265.0
18,Blythewood,72.0
19,Bolton Hill,4974.0
20,Boyd-Booth,822.0
21,Brewers Hill,1511.0
22,Bridgeview/Greenlawn,1975.0
23,Broadway East,4931.0
24,Broening Manor,1726.0
25,Brooklyn,9996.0
26,Burleith-Leighton,737.0
27,Butcher's Hill,1889.0
273,CARE,1151.0
28,Callaway-Garrison,1798.0
29,Cameron Village,1435.0
30,Canton,12192.0
31,Canton Industrial Area,0.0
32,Carroll - Camden Industrial Area,0.0
33,Carroll Park,0.0
34,Carroll-South Hilton,1370.0
35,Carrollton Ridge,3645.0
36,Cedarcroft,726.0
37,Cedmont,2594.0
38,Cedonia,3316.0
39,Central Forest Park,1273.0
40,Central Park Heights,6026.0
41,Charles North,1059.0
277,Charles Village,8255.0
42,Cherry Hill,8367.0
43,Cheswolde,7270.0
44,Chinquapin Park,1309.0
46,Clifton Park,0.0
47,Coldspring,1029.0
48,Coldstream Homestead Montebello,7266.0
49,Concerned Citizens Of Forest Park,1153.0
50,Coppin Heights/Ash-Co-East,2660.0
51,Cross Country,5157.0
52,Cross Keys,856.0
53,Curtis Bay,4063.0
54,Curtis Bay Industrial Area,0.0
55,Cylburn,2357.0
56,Darley Park,1218.0
57,Dickeyville,156.0
58,Dolfield,2156.0
59,Dorchester,1700.0
60,Downtown,4448.0
274,Downtown West,366.0
61,Druid Heights,1497.0
62,Druid Hill Park,0.0
63,Dunbar-Broadway,889.0
64,Dundalk Marine Terminal,0.0
65,East Arlington,2432.0
66,East Baltimore Midway,3034.0
67,Easterwood,1596.0
68,Eastwood,577.0
268,Edgewood,2399.0
69,Edmondson Village,3940.0
70,Ednor Gardens-Lakeside,5185.0
71,Ellwood Park/Monument,3580.0
72,Evergreen,382.0
73,Evergreen Lawn,1132.0
269,Evesham Park,709.0
74,Fairfield Area,159.0
75,Fairmont,347.0
76,Fallstaff,4219.0
77,Federal Hill,2600.0
78,Fells Point,3976.0
79,Forest Park,1560.0
80,Forest Park Golf Course,392.0
276,Four By Four,1261.0
81,Frankford,17694.0
82,Franklin Square,2967.0
83,Franklintown,1282.0
84,Franklintown Road,1940.0
85,Garwyn Oaks,1132.0
86,Gay Street,1998.0
87,Glen,7876.0
88,Glen Oaks,2887.0
89,Glenham-Belhar,6175.0
90,Graceland Park,2011.0
91,Greektown,3678.0
92,Greenmount Cemetery,0.0
93,Greenmount West,1339.0
94,Greenspring,3436.0
95,Grove Park,1934.0
96,Guilford,2214.0
97,Gwynns Falls,1184.0
98,Gwynns Falls/Leakin Park,0.0
101,Hamilton Hills,9752.0
99,Hampden,6963.0
100,Hanlon-Longwood,2311.0
102,Harlem Park,3654.0
103,Harwood,1575.0
104,Hawkins Point,0.0
105,Heritage Crossing,1029.0
106,Herring Run Park,0.0
107,Highlandtown,2666.0
108,Hillen,2344.0
109,Hoes Heights,865.0
110,Holabird Industrial Park,0.0
111,Hollins Market,1838.0
112,Homeland,3201.0
113,Hopkins Bayview,103.0
114,Howard Park,5929.0
115,Hunting Ridge,1296.0
116,Idlewood,2676.0
117,Inner Harbor,1484.0
118,Irvington,4167.0
119,Johns Hopkins Homewood,669.0
120,Johnston Square,1906.0
121,Jones Falls Area,0.0
122,Jonestown,1367.0
124,Kenilworth Park,1206.0
125,Kernewood,726.0
126,Keswick,650.0
127,Kresson,440.0
128,Lake Evesham,543.0
129,Lake Walker,2095.0
130,Lakeland,4551.0
131,Langston Hughes,1036.0
132,Lauraville,4151.0
133,Levindale,1218.0
134,Liberty Square,770.0
135,Little Italy,576.0
