GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US24510010100,24510010100,"Census Tract 101, Baltimore city, Maryland",109861,25094
1400000US24510010200,24510010200,"Census Tract 102, Baltimore city, Maryland",115000,31584
1400000US24510010300,24510010300,"Census Tract 103, Baltimore city, Maryland",129479,18496
1400000US24510010400,24510010400,"Census Tract 104, Baltimore city, Maryland",141250,13716
1400000US24510010500,24510010500,"Census Tract 105, Baltimore city, Maryland",100313,25241
1400000US24510020100,24510020100,"Census Tract 201, Baltimore city, Maryland",102969,22227
1400000US24510020200,24510020200,"Census Tract 202, Baltimore city, Maryland",60357,13480
1400000US24510020300,24510020300,"Census Tract 203, Baltimore city, Maryland",188575,49432
1400000US24510030100,24510030100,"Census Tract 301, Baltimore city, Maryland",42986,20013
1400000US24510030200,24510030200,"Census Tract 302, Baltimore city, Maryland",107957,31393
1400000US24510040100,24510040100,"Census Tract 401, Baltimore city, Maryland",85859,20191
1400000US24510040200,24510040200,"Census Tract 402, Baltimore city, Maryland",131250,29290
1400000US24510060100,24510060100,"Census Tract 601, Baltimore city, Maryland",27139,11613
1400000US24510060200,24510060200,"Census Tract 602, Baltimore city, Maryland",65504,27478
1400000US24510060300,24510060300,"Census Tract 603, Baltimore city, Maryland",47292,16688
1400000US24510060400,24510060400,"Census Tract 604, Baltimore city, Maryland",68438,45952
1400000US24510070100,24510070100,"Census Tract 701, Baltimore city, Maryland",45425,8292
1400000US24510070200,24510070200,"Census Tract 702, Baltimore city, Maryland",27955,5422
1400000US24510070300,24510070300,"Census Tract 703, Baltimore city, Maryland",21875,3884
1400000US24510070400,24510070400,"Census Tract 704, Baltimore city, Maryland",27344,18709
1400000US24510080101,24510080101,"Census Tract 801.01, Baltimore city, Maryland",59138,7022
1400000US24510080102,24510080102,"Census Tract 801.02, Baltimore city, Maryland",39808,7492
1400000US24510080200,24510080200,"Census Tract 802, Baltimore city, Maryland",39318,15253
1400000US24510080301,24510080301,"Census Tract 803.01, Baltimore city, Maryland",44276,12721
1400000US24510080302,24510080302,"Census Tract 803.02, Baltimore city, Maryland",33062,7186
1400000US24510080400,24510080400,"Census Tract 804, Baltimore city, Maryland",19286,16032
1400000US24510080500,24510080500,"Census Tract 805, Baltimore city, Maryland",35708,5172
1400000US24510080600,24510080600,"Census Tract 806, Baltimore city, Maryland",37500,12244
1400000US24510080700,24510080700,"Census Tract 807, Baltimore city, Maryland",23125,9841
1400000US24510080800,24510080800,"Census Tract 808, Baltimore city, Maryland",-,**
1400000US24510090100,24510090100,"Census Tract 901, Baltimore city, Maryland",65508,21798
1400000US24510090200,24510090200,"Census Tract 902, Baltimore city, Maryland",65859,19973
1400000US24510090300,24510090300,"Census Tract 903, Baltimore city, Maryland",54167,29050
1400000US24510090400,24510090400,"Census Tract 904, Baltimore city, Maryland",31183,2189
1400000US24510090500,24510090500,"Census Tract 905, Baltimore city, Maryland",42174,22487
1400000US24510090600,24510090600,"Census Tract 906, Baltimore city, Maryland",50282,6587
1400000US24510090700,24510090700,"Census Tract 907, Baltimore city, Maryland",32788,10766
1400000US24510090800,24510090800,"Census Tract 908, Baltimore city, Maryland",32228,7032
1400000US24510090900,24510090900,"Census Tract 909, Baltimore city, Maryland",40329,22389
1400000US24510100100,24510100100,"Census Tract 1001, Baltimore city, Maryland",31053,12228
1400000US24510100200,24510100200,"Census Tract 1002, Baltimore city, Maryland",30540,15748
1400000US24510100300,24510100300,"Census Tract 1003, Baltimore city, Maryland",-,**
1400000US24510110100,24510110100,"Census Tract 1101, Baltimore city, Maryland",76136,40964
1400000US24510110200,24510110200,"Census Tract 1102, Baltimore city, Maryland",92196,19924
1400000US24510120100,24510120100,"Census Tract 1201, Baltimore city, Maryland",111803,33672
1400000US24510120201,24510120201,"Census Tract 1202.01, Baltimore city, Maryland",127813,30666
1400000US24510120202,24510120202,"Census Tract 1202.02, Baltimore city, Maryland",133665,78653
1400000US24510120300,24510120300,"Census Tract 1203, Baltimore city, Maryland",41680,16519
1400000US24510120400,24510120400,"Census Tract 1204, Baltimore city, Maryland",30956,8028
1400000US24510120500,24510120500,"Census Tract 1205, Baltimore city, Maryland",49524,8246
1400000US24510120600,24510120600,"Census Tract 1206, Baltimore city, Maryland",31078,21357
1400000US24510120700,24510120700,"Census Tract 1207, Baltimore city, Maryland",64000,22106
1400000US24510130100,24510130100,"Census Tract 1301, Baltimore city, Maryland",44222,12817
1400000US24510130200,24510130200,"Census Tract 1302, Baltimore city, Maryland",43966,25557
1400000US24510130300,24510130300,"Census Tract 1303, Baltimore city, Maryland",40685,5905
1400000US24510130400,24510130400,"Census Tract 1304, Baltimore city, Maryland",42837,4631
1400000US24510130600,24510130600,"Census Tract 1306, Baltimore city, Maryland",85000,12740
1400000US24510130700,24510130700,"Census Tract 1307, Baltimore city, Maryland",81335,15479
1400000US24510130803,24510130803,"Census Tract 1308.03, Baltimore city, Maryland",60379,20083
1400000US24510130804,24510130804,"Census Tract 1308.04, Baltimore city, Maryland",66964,14283
1400000US24510130805,24510130805,"Census Tract 1308.05, Baltimore city, Maryland",74103,1637
1400000US24510130806,24510130806,"Census Tract 1308.06, Baltimore city, Maryland",94250,30861
1400000US24510140100,24510140100,"Census Tract 1401, Baltimore city, Maryland",123646,50873
1400000US24510140200,24510140200,"Census Tract 1402, Baltimore city, Maryland",15400,6583
1400000US24510140300,24510140300,"Census Tract 1403, Baltimore city, Maryland",28162,9369
1400000US24510150100,24510150100,"Census Tract 1501, Baltimore city, Maryland",24375,7368
1400000US24510150200,24510150200,"Census Tract 1502, Baltimore city, Maryland",50600,13073
1400000US24510150300,24510150300,"Census Tract 1503, Baltimore city, Maryland",50625,20999
1400000US24510150400,24510150400,"Census Tract 1504, Baltimore city, Maryland",48432,7974
1400000US24510150500,24510150500,"Census Tract 1505, Baltimore city, Maryland",49125,9809
1400000US24510150600,24510150600,"Census Tract 1506, Baltimore city, Maryland",28125,6429
1400000US24510150701,24510150701,"Census Tract 1507.01, Baltimore city, Maryland",41833,10803
1400000US24510150702,24510150702,"Census Tract 1507.02, Baltimore city, Maryland",53571,12073
1400000US24510150800,24510150800,"Census Tract 1508, Baltimore city, Maryland",48148,19380
1400000US24510150900,24510150900,"Census Tract 1509, Baltimore city, Maryland",61419,14055
1400000US24510151000,24510151000,"Census Tract 1510, Baltimore city, Maryland",39012,3328
1400000US24510151100,24510151100,"Census Tract 1511, Baltimore city, Maryland",54597,8261
1400000US24510151200,24510151200,"Census Tract 1512, Baltimore city, Maryland",34281,8392
1400000US24510151300,24510151300,"Census Tract 1513, Baltimore city, Maryland",28085,10089
1400000US24510160100,24510160100,"Census Tract 1601, Baltimore city, Maryland",30094,11064
1400000US24510160200,24510160200,"Census Tract 1602, Baltimore city, Maryland",43382,10533
1400000US24510160300,24510160300,"Census Tract 1603, Baltimore city, Maryland",35357,12416
1400000US24510160400,24510160400,"Census Tract 1604, Baltimore city, Maryland",46932,12019
