rownumber,respondentID,agency_code,activity_year,loan_type,action_taken_type,state,county,msa,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,institution_name,agency,loan_to,action_taken,income_group,inflation_factor,amtLoans1_adjusted,amtLoans100k_adjusted,amtLoans250k_adjusted,amtLoansToSmallest_adjusted,amtLoansAff_adjusted
8493,1,1,2016,4,1,24,510,12580,177.0,N,N,L,1,0,0,0,0,0,0,0,0,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,< 10% of Median Family Income (MFI),1.0,0.0,0.0,0.0,0.0,0.0
8494,1,1,2016,4,1,24,510,12580,177.0,N,N,L,2,1,15000,0,0,0,0,1,15000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,10% to 20% of MFI,1.0,15000.0,0.0,0.0,15000.0,0.0
8495,1,1,2016,4,1,24,510,12580,177.0,N,N,L,3,14,304000,0,0,0,0,12,279000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,20% to 30% of MFI,1.0,304000.0,0.0,0.0,279000.0,0.0
8496,1,1,2016,4,1,24,510,12580,177.0,N,N,L,4,38,847000,0,0,2,1149000,31,952000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,30% to 40% of MFI,1.0,847000.0,0.0,1149000.0,952000.0,0.0
8497,1,1,2016,4,1,24,510,12580,177.0,N,N,L,5,76,1703000,2,359000,3,1334000,61,1867000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,40% to 50% of MFI,1.0,1703000.0,359000.0,1334000.0,1867000.0,0.0
8498,1,1,2016,4,1,24,510,12580,177.0,N,N,L,6,89,2533000,5,698000,2,1500000,65,1600000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,50% to 60% of MFI,1.0,2533000.0,698000.0,1500000.0,1600000.0,0.0
8499,1,1,2016,4,1,24,510,12580,177.0,N,N,L,7,68,1762000,1,115000,1,500000,48,1072000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,60% to 70% of MFI,1.0,1762000.0,115000.0,500000.0,1072000.0,0.0
8500,1,1,2016,4,1,24,510,12580,177.0,N,N,L,8,57,1033000,0,0,2,1000000,45,1270000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,70% to 80% of MFI,1.0,1033000.0,0.0,1000000.0,1270000.0,0.0
8501,1,1,2016,4,1,24,510,12580,177.0,N,N,L,9,69,2021000,2,321000,2,1250000,47,1187000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,80% to 90% of MFI,1.0,2021000.0,321000.0,1250000.0,1187000.0,0.0
8502,1,1,2016,4,1,24,510,12580,177.0,N,N,L,10,31,963000,1,200000,0,0,21,627000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,90% to 100% of MFI,1.0,963000.0,200000.0,0.0,627000.0,0.0
8503,1,1,2016,4,1,24,510,12580,177.0,N,N,L,11,15,320000,0,0,0,0,11,180000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,100% to 110% of MFI,1.0,320000.0,0.0,0.0,180000.0,0.0
8504,1,1,2016,4,1,24,510,12580,177.0,N,N,L,12,11,209000,0,0,0,0,11,209000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,110% to 120% of MFI,1.0,209000.0,0.0,0.0,209000.0,0.0
8505,1,1,2016,4,1,24,510,12580,177.0,N,N,L,13,106,3166000,1,177000,0,0,78,2283000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,> 120% of MFI,1.0,3166000.0,177000.0,0.0,2283000.0,0.0
8506,1,1,2016,4,1,24,510,12580,177.0,N,N,L,14,1,16000,0,0,1,500000,0,0,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,MFI not known (income percentage = 0),1.0,16000.0,0.0,500000.0,0.0,0.0
8507,1,1,2016,4,1,24,510,12580,177.0,N,N,L,15,5,252000,0,0,0,0,3,185000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,Tract not Known (reported as NA),1.0,252000.0,0.0,0.0,185000.0,0.0
27896,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,1,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,< 10% of Median Family Income (MFI),1.0,0.0,0.0,0.0,0.0,0.0
27897,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,2,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,10% to 20% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
27898,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,3,1,70000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,20% to 30% of MFI,1.0,70000.0,0.0,0.0,0.0,0.0
27899,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,4,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,30% to 40% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
27900,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,5,2,108000,1,106000,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,40% to 50% of MFI,1.0,108000.0,106000.0,0.0,0.0,0.0
27901,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,6,7,274000,0,0,1,550000,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,50% to 60% of MFI,1.0,274000.0,0.0,550000.0,0.0,0.0
27902,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,7,2,68000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,60% to 70% of MFI,1.0,68000.0,0.0,0.0,0.0,0.0
27903,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,8,2,102000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,70% to 80% of MFI,1.0,102000.0,0.0,0.0,0.0,0.0
27904,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,9,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,80% to 90% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
27905,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,10,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,90% to 100% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
27906,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,11,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,100% to 110% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
27907,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,12,2,85000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,110% to 120% of MFI,1.0,85000.0,0.0,0.0,0.0,0.0
27908,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,13,5,192000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,> 120% of MFI,1.0,192000.0,0.0,0.0,0.0,0.0
27909,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,14,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,MFI not known (income percentage = 0),1.0,0.0,0.0,0.0,0.0,0.0
27910,8,1,2016,4,1,24,510,12580,-1.0,N,N,L,15,1,38000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,Tract not Known (reported as NA),1.0,38000.0,0.0,0.0,0.0,0.0
45735,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,1,1,5000,0,0,0,0,0,0,0,0,US BANK NA (WI),OCC,Business,Origination,< 10% of Median Family Income (MFI),1.0,5000.0,0.0,0.0,0.0,0.0
45736,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,2,1,5000,0,0,0,0,0,0,0,0,US BANK NA (WI),OCC,Business,Origination,10% to 20% of MFI,1.0,5000.0,0.0,0.0,0.0,0.0
45737,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,3,5,27000,0,0,0,0,5,27000,0,0,US BANK NA (WI),OCC,Business,Origination,20% to 30% of MFI,1.0,27000.0,0.0,0.0,27000.0,0.0
45738,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,4,14,105000,0,0,0,0,10,89000,0,0,US BANK NA (WI),OCC,Business,Origination,30% to 40% of MFI,1.0,105000.0,0.0,0.0,89000.0,0.0
45739,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,5,41,306000,0,0,0,0,25,209000,0,0,US BANK NA (WI),OCC,Business,Origination,40% to 50% of MFI,1.0,306000.0,0.0,0.0,209000.0,0.0
45740,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,6,55,455000,1,155000,0,0,37,302000,0,0,US BANK NA (WI),OCC,Business,Origination,50% to 60% of MFI,1.0,455000.0,155000.0,0.0,302000.0,0.0
45741,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,7,27,232000,0,0,0,0,22,189000,0,0,US BANK NA (WI),OCC,Business,Origination,60% to 70% of MFI,1.0,232000.0,0.0,0.0,189000.0,0.0
45742,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,8,33,217000,0,0,0,0,29,200000,0,0,US BANK NA (WI),OCC,Business,Origination,70% to 80% of MFI,1.0,217000.0,0.0,0.0,200000.0,0.0
45743,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,9,43,286000,1,105000,0,0,31,206000,0,0,US BANK NA (WI),OCC,Business,Origination,80% to 90% of MFI,1.0,286000.0,105000.0,0.0,206000.0,0.0
45744,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,10,26,310000,0,0,0,0,19,166000,0,0,US BANK NA (WI),OCC,Business,Origination,90% to 100% of MFI,1.0,310000.0,0.0,0.0,166000.0,0.0
45745,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,11,6,40000,0,0,0,0,5,35000,0,0,US BANK NA (WI),OCC,Business,Origination,100% to 110% of MFI,1.0,40000.0,0.0,0.0,35000.0,0.0
