census_tract,GEOID,income_group_code,income_group,cra_level,nLoans1,nLoans100k,nLoans250k,nLoansToSmallest,nLoansTotal,nWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoansTotal_adj,amtWorkingLoans_adj,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),"Number of jobs for workers with Race: White, Alone",Number of jobs for workers with Race: Black or African American Alone,Number of jobs for workers with Race: American Indian or Alaska Native Alone,Number of jobs for workers with Race: Asian Alone,Number of jobs for workers with Race: Native Hawaiian or Other Pacific Islander Alone,Number of jobs for workers with Race: Two or More Race Groups,Number of jobs for workers with Ethnicity: Not Hispanic or Latino,Number of jobs for workers with Ethnicity: Hispanic or Latino,Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Number of jobs for workers with Sex: Male,Number of jobs for workers with Sex: Female,Number of jobs for workers at firms with Firm Age: 0-1 Years,Number of jobs for workers at firms with Firm Age: 2-3 Years,Number of jobs for workers at firms with Firm Age: 4-5 Years,Number of jobs for workers at firms with Firm Age: 6-10 Years,Number of jobs for workers at firms with Firm Age: 11+ Years,Number of jobs for workers at firms with Firm Size: 0-19 Employees,Number of jobs for workers at firms with Firm Size: 20-49 Employees,Number of jobs for workers at firms with Firm Size: 50-249 Employees,Number of jobs for workers at firms with Firm Size: 250-499 Employees,Number of jobs for workers at firms with Firm Size: 500+ Employees,nWorkingLoans_per_sbjob2015,amtWorkingLoans_per_sbjob2015_adj
101.0,14000US24510010100,13,> 120% of MFI,upper,428,10,13,250,451,397.0,5680114.54996748,1720032.5202390016,6545223.485064725,5659825.553919291,13945370.555271206,13359839.030407771,990.0,244.0,570.0,176.0,287.0,424.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,38.0,23.0,26.0,86.0,0.0,16.0,44.0,273.0,2.0,374.0,46.0,0.0,693.0,263.0,4.0,22.0,0.0,8.0,947.0,43.0,111.0,217.0,219.0,199.0,417.0,573.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,1.0392670157068062,34973.4006031617
101.0,14000US24510010100,10,90% to 100% of MFI,middle,428,10,13,250,451,397.0,5680114.54996748,1720032.5202390016,6545223.485064725,5659825.553919291,13945370.555271206,13359839.030407771,990.0,244.0,570.0,176.0,287.0,424.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,38.0,23.0,26.0,86.0,0.0,16.0,44.0,273.0,2.0,374.0,46.0,0.0,693.0,263.0,4.0,22.0,0.0,8.0,947.0,43.0,111.0,217.0,219.0,199.0,417.0,573.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,1.0392670157068062,34973.4006031617
101.0,14000US24510010100,10,90% to 100% of MFI,middle,428,10,13,250,451,397.0,5680114.54996748,1720032.5202390016,6545223.485064725,5659825.553919291,13945370.555271206,13359839.030407771,990.0,244.0,570.0,176.0,287.0,424.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,38.0,23.0,26.0,86.0,0.0,16.0,44.0,273.0,2.0,374.0,46.0,0.0,693.0,263.0,4.0,22.0,0.0,8.0,947.0,43.0,111.0,217.0,219.0,199.0,417.0,573.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,1.0392670157068062,34973.4006031617
101.0,14000US24510010100,10,90% to 100% of MFI,middle,428,10,13,250,451,397.0,5680114.54996748,1720032.5202390016,6545223.485064725,5659825.553919291,13945370.555271206,13359839.030407771,990.0,244.0,570.0,176.0,287.0,424.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,38.0,23.0,26.0,86.0,0.0,16.0,44.0,273.0,2.0,374.0,46.0,0.0,693.0,263.0,4.0,22.0,0.0,8.0,947.0,43.0,111.0,217.0,219.0,199.0,417.0,573.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,1.0392670157068062,34973.4006031617
101.0,14000US24510010100,10,90% to 100% of MFI,middle,428,10,13,250,451,397.0,5680114.54996748,1720032.5202390016,6545223.485064725,5659825.553919291,13945370.555271206,13359839.030407771,990.0,244.0,570.0,176.0,287.0,424.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,38.0,23.0,26.0,86.0,0.0,16.0,44.0,273.0,2.0,374.0,46.0,0.0,693.0,263.0,4.0,22.0,0.0,8.0,947.0,43.0,111.0,217.0,219.0,199.0,417.0,573.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,1.0392670157068062,34973.4006031617
101.0,14000US24510010100,10,90% to 100% of MFI,middle,428,10,13,250,451,397.0,5680114.54996748,1720032.5202390016,6545223.485064725,5659825.553919291,13945370.555271206,13359839.030407771,990.0,244.0,570.0,176.0,287.0,424.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,38.0,23.0,26.0,86.0,0.0,16.0,44.0,273.0,2.0,374.0,46.0,0.0,693.0,263.0,4.0,22.0,0.0,8.0,947.0,43.0,111.0,217.0,219.0,199.0,417.0,573.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,1.0392670157068062,34973.4006031617
101.0,14000US24510010100,10,90% to 100% of MFI,middle,428,10,13,250,451,397.0,5680114.54996748,1720032.5202390016,6545223.485064725,5659825.553919291,13945370.555271206,13359839.030407771,990.0,244.0,570.0,176.0,287.0,424.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0.0,38.0,23.0,26.0,86.0,0.0,16.0,44.0,273.0,2.0,374.0,46.0,0.0,693.0,263.0,4.0,22.0,0.0,8.0,947.0,43.0,111.0,217.0,219.0,199.0,417.0,573.0,47.0,98.0,50.0,145.0,650.0,382.0,208.0,68.0,229.0,103.0,1.0392670157068062,34973.4006031617
102.0,14000US24510010200,12,110% to 120% of MFI,middle,235,1,5,160,241,120.0,2277634.712666708,138375.05698222158,1994710.105745652,2631385.1469041416,4410719.875394582,3533216.2499169647,233.0,59.0,132.0,42.0,101.0,72.0,60.0,0.0,0.0,0.0,11.0,0.0,19.0,10.0,22.0,0.0,17.0,5.0,6.0,0.0,22.0,0.0,2.0,74.0,44.0,1.0,0.0,181.0,46.0,1.0,4.0,0.0,1.0,220.0,13.0,26.0,37.0,65.0,46.0,108.0,125.0,5.0,15.0,36.0,19.0,158.0,106.0,49.0,60.0,2.0,16.0,1.1320754716981132,33332.22877280155
102.0,14000US24510010200,9,80% to 90% of MFI,middle,235,1,5,160,241,120.0,2277634.712666708,138375.05698222158,1994710.105745652,2631385.1469041416,4410719.875394582,3533216.2499169647,233.0,59.0,132.0,42.0,101.0,72.0,60.0,0.0,0.0,0.0,11.0,0.0,19.0,10.0,22.0,0.0,17.0,5.0,6.0,0.0,22.0,0.0,2.0,74.0,44.0,1.0,0.0,181.0,46.0,1.0,4.0,0.0,1.0,220.0,13.0,26.0,37.0,65.0,46.0,108.0,125.0,5.0,15.0,36.0,19.0,158.0,106.0,49.0,60.0,2.0,16.0,1.1320754716981132,33332.22877280155
102.0,14000US24510010200,9,80% to 90% of MFI,middle,235,1,5,160,241,120.0,2277634.712666708,138375.05698222158,1994710.105745652,2631385.1469041416,4410719.875394582,3533216.2499169647,233.0,59.0,132.0,42.0,101.0,72.0,60.0,0.0,0.0,0.0,11.0,0.0,19.0,10.0,22.0,0.0,17.0,5.0,6.0,0.0,22.0,0.0,2.0,74.0,44.0,1.0,0.0,181.0,46.0,1.0,4.0,0.0,1.0,220.0,13.0,26.0,37.0,65.0,46.0,108.0,125.0,5.0,15.0,36.0,19.0,158.0,106.0,49.0,60.0,2.0,16.0,1.1320754716981132,33332.22877280155
