rownumber,activity_year,loan_type,action_taken_type,state,county,msa,respondentID,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest
6892,2017,4,1,24.0,510.0,12580.0,31286,3,,17,7264000,9,3770000
6893,2017,4,1,24.0,510.0,12580.0,23880,1,,1,250000,0,0
6894,2017,4,1,24.0,510.0,12580.0,27471,3,,3,20000,0,0
6895,2017,4,1,24.0,510.0,12580.0,715648,1,,2053,28351000,1060,11423000
6896,2017,4,1,24.0,510.0,12580.0,20504,3,,44,583000,0,0
6897,2017,4,1,24.0,510.0,12580.0,24425,1,,1,150000,0,0
6898,2017,4,1,24.0,510.0,12580.0,13044,1,,1121,31939000,611,8741000
6899,2017,4,1,24.0,510.0,12580.0,3514,3,,8,788000,0,0
6900,2017,4,1,24.0,510.0,12580.0,25028,1,,1,800000,0,0
6901,2017,4,1,24.0,510.0,12580.0,17514,3,,1,139000,1,139000
6902,2017,4,1,24.0,510.0,12580.0,23216,1,,294,6501000,0,0
6903,2017,4,1,24.0,510.0,12580.0,90160,3,,3,2025000,0,0
6904,2017,4,1,24.0,510.0,12580.0,14583,1,,19,1264000,0,0
6905,2017,4,1,24.0,510.0,12580.0,23504,2,,1,500000,1,500000
6906,2017,4,1,24.0,510.0,12580.0,716456,1,,14,1005000,9,230000
6907,2017,4,1,24.0,510.0,12580.0,13679,1,,1,175000,0,0
6908,2017,4,1,24.0,510.0,12580.0,9846,3,,139,13355000,97,4673000
6909,2017,4,1,24.0,510.0,12580.0,24828,1,,865,5520000,447,2940000
6910,2017,4,1,24.0,510.0,12580.0,13688,1,,9,1114000,6,113000
6911,2017,4,1,24.0,510.0,12580.0,23160,1,,931,10104000,540,6322000
6912,2017,4,1,24.0,510.0,12580.0,25079,1,,27,1208000,0,0
6913,2017,4,1,24.0,510.0,12580.0,1461,1,,593,3149000,465,2330000
6914,2017,4,1,24.0,510.0,12580.0,24571,1,,39,1980000,39,1980000
6915,2017,4,1,24.0,510.0,12580.0,60143,2,,1,100000,0,0
6916,2017,4,1,24.0,510.0,12580.0,601050,2,,1,5000,0,0
6917,2017,4,1,24.0,510.0,12580.0,2652092,2,,8,3730000,2,950000
6918,2017,4,1,24.0,510.0,12580.0,11063,3,,3,244000,1,75000
6919,2017,4,1,24.0,510.0,12580.0,209,1,,5,98000,0,0
6920,2017,4,1,24.0,510.0,12580.0,249,1,,37,7417000,18,2782000
6921,2017,4,1,24.0,510.0,12580.0,24891,1,,3,550000,2,450000
6922,2017,4,1,24.0,510.0,12580.0,57776,3,,31,9761000,18,5726000
6923,2017,4,1,24.0,510.0,12580.0,24522,1,,11,325000,0,0
6924,2017,4,1,24.0,510.0,12580.0,715685,1,,4,36000,0,0
6925,2017,4,1,24.0,510.0,12580.0,8,1,,17,717000,0,0
6926,2017,4,1,24.0,510.0,12580.0,14761,1,,1,13000,0,0
6927,2017,4,1,24.0,510.0,12580.0,25149,1,,70,2725000,0,0
6928,2017,4,1,24.0,510.0,12580.0,501105,2,,148,29979000,75,7528000
6929,2017,4,1,24.0,510.0,12580.0,705902,1,,50,1132000,0,0
6930,2017,4,1,24.0,510.0,12580.0,24981,1,,1,250000,0,0
6931,2017,4,1,24.0,510.0,12580.0,27599,3,,2,511000,0,0
6932,2017,4,1,24.0,510.0,12580.0,8846,1,,1,800000,0,0
6933,2017,4,1,24.0,510.0,12580.0,57408,3,,2,322000,0,0
6934,2017,4,1,24.0,510.0,12580.0,13879,3,,26,5421000,13,3328000
6935,2017,4,1,24.0,510.0,12580.0,1316,1,,602,36994000,330,8454000
6936,2017,4,1,24.0,510.0,12580.0,24914,1,,1,995000,0,0
6937,2017,4,1,24.0,510.0,12580.0,23627,3,,14,1397000,0,0
6938,2017,4,1,24.0,510.0,12580.0,506922,2,,42,8662000,4,371000
6939,2017,4,1,24.0,510.0,12580.0,25022,1,,2,90000,1,40000
