rownumber,activity_year,loan_type,action_taken_type,state,county,msa,census_tract,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest
4935,2017,4,1,24,510,12580.0,808.0,N,L,2,21,320000,0,0,0,0,7,112000
4936,2017,4,1,24,510,12580.0,1801.0,N,L,2,4,129000,0,0,0,0,2,2000
4937,2017,4,1,24,510,12580.0,2502.04,N,L,2,3,16000,1,245000,0,0,1,7000
4938,2017,4,1,24,510,12580.0,2805.0,N,L,2,34,293000,0,0,0,0,13,137000
4940,2017,4,1,24,510,12580.0,301.0,N,L,3,60,588000,1,250000,0,0,38,703000
4941,2017,4,1,24,510,12580.0,702.0,N,L,3,25,181000,0,0,0,0,16,161000
4942,2017,4,1,24,510,12580.0,703.0,N,L,3,27,194000,0,0,0,0,19,140000
4943,2017,4,1,24,510,12580.0,804.0,N,L,3,2,2000,0,0,0,0,2,2000
4944,2017,4,1,24,510,12580.0,807.0,N,L,3,11,77000,0,0,0,0,8,56000
4945,2017,4,1,24,510,12580.0,1501.0,N,L,3,14,88000,1,200000,0,0,10,272000
4946,2017,4,1,24,510,12580.0,1702.0,N,L,3,6,17000,0,0,0,0,3,13000
4947,2017,4,1,24,510,12580.0,2003.0,N,L,3,11,88000,0,0,0,0,0,0
4948,2017,4,1,24,510,12580.0,2005.0,N,L,3,28,348000,1,110000,3,1603000,14,233000
4949,2017,4,1,24,510,12580.0,2603.03,N,L,3,21,277000,0,0,3,1400000,8,79000
4950,2017,4,1,24,510,12580.0,2606.04,N,L,3,3,62000,0,0,0,0,0,0
4952,2017,4,1,24,510,12580.0,601.0,N,L,4,17,232000,0,0,0,0,7,89000
4953,2017,4,1,24,510,12580.0,704.0,N,L,4,28,277000,0,0,0,0,18,208000
4954,2017,4,1,24,510,12580.0,805.0,N,L,4,5,39000,0,0,0,0,1,5000
4955,2017,4,1,24,510,12580.0,806.0,N,L,4,9,114000,1,250000,0,0,4,100000
4956,2017,4,1,24,510,12580.0,904.0,N,L,4,24,563000,0,0,1,500000,4,28000
4957,2017,4,1,24,510,12580.0,908.0,N,L,4,58,881000,3,539000,0,0,27,653000
