rownumber,respondentID,agency_code,activity_year,loan_type,action_taken_type,state,county,msa,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,nLoans,amtLoans
8511,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,1,0,0,0,0,0,0,0,0,0,0,0,0
8512,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,2,2,70000,0,0,0,0,2,70000,0,0,2,70000
8513,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,3,14,277000,0,0,0,0,13,252000,0,0,14,277000
8514,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,4,44,1513000,2,247000,1,578000,31,1481000,0,0,47,2338000
8515,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,5,51,1511000,2,261000,1,750000,37,969000,0,0,54,2522000
8516,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,6,93,2728000,2,255000,2,1500000,67,1780000,0,0,97,4483000
8517,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,7,42,817000,2,304000,1,300000,36,874000,0,0,45,1421000
8518,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,8,27,898000,0,0,0,0,23,715000,0,0,27,898000
8519,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,9,70,2188000,0,0,3,1450000,46,1346000,0,0,73,3638000
8520,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,10,25,762000,1,200000,0,0,22,609000,0,0,26,962000
8521,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,11,34,1054000,1,129000,0,0,24,812000,0,0,35,1183000
8522,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,12,10,267000,0,0,0,0,7,164000,0,0,10,267000
8523,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,13,89,3461000,0,0,1,797000,63,2414000,0,0,90,4258000
8524,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,14,3,96000,0,0,1,500000,1,15000,0,0,4,596000
8525,1,1,2017,4,1,24,510,12580.0,171.0,N,N,L,15,5,246000,0,0,0,0,3,179000,0,0,5,246000
27249,8,1,2017,4,1,24,510,12580.0,,N,N,L,1,0,0,0,0,0,0,0,0,0,0,0,0
27250,8,1,2017,4,1,24,510,12580.0,,N,N,L,2,0,0,0,0,0,0,0,0,0,0,0,0
27251,8,1,2017,4,1,24,510,12580.0,,N,N,L,3,0,0,0,0,0,0,0,0,0,0,0,0
27252,8,1,2017,4,1,24,510,12580.0,,N,N,L,4,1,27000,1,148000,0,0,0,0,0,0,2,175000
27253,8,1,2017,4,1,24,510,12580.0,,N,N,L,5,3,116000,0,0,0,0,0,0,0,0,3,116000
27254,8,1,2017,4,1,24,510,12580.0,,N,N,L,6,4,117000,0,0,0,0,0,0,0,0,4,117000
