rownumber,respondentID,agency_code,activity_year,state,county,msa,census_tract,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group,loan_indicator
21254,1,1,2017,24,510,12580.0,808.0,171.0,N,N,L,2,Y
21255,1,1,2017,24,510,12580.0,1801.0,171.0,N,N,L,2,N
21256,1,1,2017,24,510,12580.0,2502.04,171.0,N,N,L,2,N
21257,1,1,2017,24,510,12580.0,2805.0,171.0,N,N,L,2,N
21258,1,1,2017,24,510,12580.0,301.0,171.0,N,N,L,3,Y
21259,1,1,2017,24,510,12580.0,702.0,171.0,N,N,L,3,Y
21260,1,1,2017,24,510,12580.0,703.0,171.0,N,N,L,3,N
21261,1,1,2017,24,510,12580.0,804.0,171.0,N,N,L,3,N
21262,1,1,2017,24,510,12580.0,807.0,171.0,N,N,L,3,N
21263,1,1,2017,24,510,12580.0,1501.0,171.0,N,N,L,3,Y
21264,1,1,2017,24,510,12580.0,1702.0,171.0,N,N,L,3,N
21265,1,1,2017,24,510,12580.0,2003.0,171.0,N,N,L,3,N
21266,1,1,2017,24,510,12580.0,2005.0,171.0,N,N,L,3,Y
21267,1,1,2017,24,510,12580.0,2603.03,171.0,N,N,L,3,N
21268,1,1,2017,24,510,12580.0,2606.04,171.0,N,N,L,3,N
21269,1,1,2017,24,510,12580.0,601.0,171.0,N,N,L,4,N
21270,1,1,2017,24,510,12580.0,704.0,171.0,N,N,L,4,N
21271,1,1,2017,24,510,12580.0,805.0,171.0,N,N,L,4,N
21272,1,1,2017,24,510,12580.0,806.0,171.0,N,N,L,4,N
21273,1,1,2017,24,510,12580.0,904.0,171.0,N,N,L,4,N
21274,1,1,2017,24,510,12580.0,908.0,171.0,N,N,L,4,Y
21275,1,1,2017,24,510,12580.0,909.0,171.0,N,N,L,4,Y
21276,1,1,2017,24,510,12580.0,1001.0,171.0,N,N,L,4,N
21277,1,1,2017,24,510,12580.0,1002.0,171.0,N,N,L,4,N
21278,1,1,2017,24,510,12580.0,1204.0,171.0,N,N,L,4,Y
21279,1,1,2017,24,510,12580.0,1403.0,171.0,N,N,L,4,Y
21280,1,1,2017,24,510,12580.0,1506.0,171.0,N,N,L,4,Y
21281,1,1,2017,24,510,12580.0,1512.0,171.0,N,N,L,4,N
