respondentID,activity_year,assessment_area_number,income_group_code,agency_code,loan_type,action_taken_type,state,county,msa,partial_county_indicator,split_county_indicator,population_classification,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,nLoans,amtLoans,institution_name,agency,income_group,cra_level,avgSmallLoan,nWorkingLoans,amtWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj
8,2017,,4,1,4,1,24,510,12580.0,N,N,L,1,27000,1,148000,0,0,0,0,0,0,2,175000,JPMorgan Chase Bank NA (OH),OCC,30% to 40% of MFI,low,27000.0,2.0,175000.0,27000.0,148000.0,0.0,0.0,175000.0,175000.0
8,2017,,5,1,4,1,24,510,12580.0,N,N,L,3,116000,0,0,0,0,0,0,0,0,3,116000,JPMorgan Chase Bank NA (OH),OCC,40% to 50% of MFI,low,38666.666666666664,3.0,116000.0,116000.0,0.0,0.0,0.0,116000.0,116000.0
8,2017,,6,1,4,1,24,510,12580.0,N,N,L,4,117000,0,0,0,0,0,0,0,0,4,117000,JPMorgan Chase Bank NA (OH),OCC,50% to 60% of MFI,moderate,29250.0,4.0,117000.0,117000.0,0.0,0.0,0.0,117000.0,117000.0
8,2017,,7,1,4,1,24,510,12580.0,N,N,L,1,24000,0,0,0,0,0,0,0,0,1,24000,JPMorgan Chase Bank NA (OH),OCC,60% to 70% of MFI,moderate,24000.0,1.0,24000.0,24000.0,0.0,0.0,0.0,24000.0,24000.0
8,2017,,8,1,4,1,24,510,12580.0,N,N,L,1,29000,1,133000,0,0,0,0,0,0,2,162000,JPMorgan Chase Bank NA (OH),OCC,70% to 80% of MFI,moderate,29000.0,2.0,162000.0,29000.0,133000.0,0.0,0.0,162000.0,162000.0
8,2017,,9,1,4,1,24,510,12580.0,N,N,L,2,28000,0,0,0,0,0,0,0,0,2,28000,JPMorgan Chase Bank NA (OH),OCC,80% to 90% of MFI,middle,14000.0,2.0,28000.0,28000.0,0.0,0.0,0.0,28000.0,28000.0
8,2017,,11,1,4,1,24,510,12580.0,N,N,L,1,46000,0,0,0,0,0,0,0,0,1,46000,JPMorgan Chase Bank NA (OH),OCC,100% to 110% of MFI,middle,46000.0,1.0,46000.0,46000.0,0.0,0.0,0.0,46000.0,46000.0
8,2017,,12,1,4,1,24,510,12580.0,N,N,L,1,25000,0,0,0,0,0,0,0,0,1,25000,JPMorgan Chase Bank NA (OH),OCC,110% to 120% of MFI,middle,25000.0,1.0,25000.0,25000.0,0.0,0.0,0.0,25000.0,25000.0
8,2017,,13,1,4,1,24,510,12580.0,N,N,L,1,24000,0,0,0,0,0,0,0,0,1,24000,JPMorgan Chase Bank NA (OH),OCC,> 120% of MFI,upper,24000.0,1.0,24000.0,24000.0,0.0,0.0,0.0,24000.0,24000.0
24,2017,,2,1,4,1,24,510,12580.0,N,N,L,1,5000,0,0,0,0,0,0,0,0,1,5000,US BANK NA (WI),OCC,10% to 20% of MFI,low,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0
24,2017,,3,1,4,1,24,510,12580.0,N,N,L,7,62000,0,0,0,0,6,50000,0,0,7,62000,US BANK NA (WI),OCC,20% to 30% of MFI,low,8857.142857142857,0.0,0.0,62000.0,0.0,0.0,50000.0,62000.0,0.0
24,2017,,4,1,4,1,24,510,12580.0,N,N,L,28,326000,0,0,0,0,23,234000,0,0,28,326000,US BANK NA (WI),OCC,30% to 40% of MFI,low,11642.857142857143,28.0,326000.0,326000.0,0.0,0.0,234000.0,326000.0,326000.0
24,2017,,5,1,4,1,24,510,12580.0,N,N,L,20,134000,0,0,0,0,12,74000,0,0,20,134000,US BANK NA (WI),OCC,40% to 50% of MFI,low,6700.0,0.0,0.0,134000.0,0.0,0.0,74000.0,134000.0,0.0
24,2017,,6,1,4,1,24,510,12580.0,N,N,L,52,408000,0,0,0,0,37,263000,0,0,52,408000,US BANK NA (WI),OCC,50% to 60% of MFI,moderate,7846.153846153846,0.0,0.0,408000.0,0.0,0.0,263000.0,408000.0,0.0
24,2017,,7,1,4,1,24,510,12580.0,N,N,L,27,230000,0,0,0,0,20,126000,0,0,27,230000,US BANK NA (WI),OCC,60% to 70% of MFI,moderate,8518.518518518518,0.0,0.0,230000.0,0.0,0.0,126000.0,230000.0,0.0
24,2017,,8,1,4,1,24,510,12580.0,N,N,L,20,170000,0,0,0,0,18,163000,0,0,20,170000,US BANK NA (WI),OCC,70% to 80% of MFI,moderate,8500.0,0.0,0.0,170000.0,0.0,0.0,163000.0,170000.0,0.0
24,2017,,9,1,4,1,24,510,12580.0,N,N,L,53,374000,0,0,0,0,43,289000,0,0,53,374000,US BANK NA (WI),OCC,80% to 90% of MFI,middle,7056.603773584906,0.0,0.0,374000.0,0.0,0.0,289000.0,374000.0,0.0
24,2017,,10,1,4,1,24,510,12580.0,N,N,L,24,258000,1,250000,0,0,20,159000,0,0,25,508000,US BANK NA (WI),OCC,90% to 100% of MFI,middle,10750.0,25.0,508000.0,258000.0,250000.0,0.0,159000.0,508000.0,508000.0
24,2017,,11,1,4,1,24,510,12580.0,N,N,L,19,208000,0,0,0,0,14,114000,0,0,19,208000,US BANK NA (WI),OCC,100% to 110% of MFI,middle,10947.368421052632,19.0,208000.0,208000.0,0.0,0.0,114000.0,208000.0,208000.0
24,2017,,12,1,4,1,24,510,12580.0,N,N,L,7,54000,0,0,0,0,6,44000,0,0,7,54000,US BANK NA (WI),OCC,110% to 120% of MFI,middle,7714.285714285715,0.0,0.0,54000.0,0.0,0.0,44000.0,54000.0,0.0
