respondentID,activity_year,loan_type,action_taken_type,state,county,msa,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest,institution_name,agency,amtLoans_adj,amtLoansToSmallest_adj
1,2004,4,1,11.0,1.0,47894.0,1,,553,78945000,110,11554000,"WELLS FARGO BANK, N.A. (CA)",OCC,78945000,11554000
1,2005,4,1,11.0,1.0,47894.0,1,,360,80899000,139,14079000,"WELLS FARGO BANK, N.A. (CA)",OCC,80899000,14079000
1,2006,4,1,11.0,1.0,47894.0,1,,439,87939000,202,19102000,"WELLS FARGO BANK, N.A. (CA)",OCC,87939000,19102000
1,2007,4,1,11.0,1.0,47894.0,1,,518,90433000,260,17455000,"WELLS FARGO BANK, N.A. (CA)",OCC,90433000,17455000
1,2008,4,1,11.0,1.0,47894.0,1,,389,69873000,181,13838000,"WELLS FARGO BANK, N.A. (CA)",OCC,69873000,13838000
1,2009,4,1,11.0,1.0,47894.0,1,,222,55930000,81,9622000,"WELLS FARGO BANK, N.A. (CA)",OCC,55930000,9622000
1,2010,4,1,11.0,1.0,47894.0,1,,583,16682000,375,9943000,"WELLS FARGO BANK, N.A. (CA)",OCC,16682000,9943000
1,2011,4,1,11.0,1.0,47894.0,1,,1037,51488000,554,16539000,"WELLS FARGO BANK, N.A. (CA)",OCC,51488000,16539000
1,2012,4,1,11.0,1.0,47894.0,1,,860,50111000,467,18316000,"WELLS FARGO BANK, N.A. (CA)",OCC,50111000,18316000
1,2013,4,1,11.0,1.0,47894.0,1,,996,45999000,603,16328000,"WELLS FARGO BANK, N.A. (CA)",OCC,45999000,16328000
1,2014,4,1,11.0,1.0,47894.0,1,,1052,52196000,664,18127000,"WELLS FARGO BANK, N.A. (CA)",OCC,52196000,18127000
1,2015,4,1,11.0,1.0,47894.0,1,,1120,51274000,772,21548000,"WELLS FARGO BANK, N.A. (CA)",OCC,51274000,21548000
1,2016,4,1,11.0,1.0,47894.0,1,,970,45476000,631,18066000,"WELLS FARGO BANK, N.A. (CA)",OCC,45476000,18066000
1,2017,4,1,11.0,1.0,47894.0,1,,894,49587000,560,19279000,"WELLS FARGO BANK, N.A. (CA)",OCC,49587000,19279000
8,2004,4,1,11.0,1.0,47894.0,1,,10,488000,1,25000,JPMorgan Chase Bank NA (OH),OCC,488000,25000
8,2005,4,1,11.0,1.0,47894.0,1,,13,470000,1,25000,JPMorgan Chase Bank NA (OH),OCC,470000,25000
8,2006,4,1,11.0,1.0,47894.0,1,,28,1207000,0,0,JPMorgan Chase Bank NA (OH),OCC,1207000,0
8,2007,4,1,11.0,1.0,47894.0,1,,33,1404000,0,0,JPMorgan Chase Bank NA (OH),OCC,1404000,0
8,2008,4,1,11.0,1.0,47894.0,1,,23,1977000,0,0,JPMorgan Chase Bank NA (OH),OCC,1977000,0
8,2009,4,1,11.0,1.0,47894.0,1,,23,2981000,1,450000,JPMorgan Chase Bank NA (OH),OCC,2981000,450000
8,2010,4,1,11.0,1.0,47894.0,1,,24,3324000,0,0,JPMorgan Chase Bank NA (OH),OCC,3324000,0
8,2011,4,1,11.0,1.0,47894.0,1,,25,1739000,0,0,JPMorgan Chase Bank NA (OH),OCC,1739000,0
8,2012,4,1,11.0,1.0,47894.0,1,,25,2153000,0,0,JPMorgan Chase Bank NA (OH),OCC,2153000,0
8,2013,4,1,11.0,1.0,47894.0,1,,21,2400000,0,0,JPMorgan Chase Bank NA (OH),OCC,2400000,0
8,2014,4,1,11.0,1.0,47894.0,1,,20,1027000,0,0,JPMorgan Chase Bank NA (OH),OCC,1027000,0
8,2015,4,1,11.0,1.0,47894.0,1,,37,8096000,1,70000,JPMorgan Chase Bank NA (OH),OCC,8096000,70000
8,2016,4,1,11.0,1.0,47894.0,1,,18,1725000,0,0,JPMorgan Chase Bank NA (OH),OCC,1725000,0
8,2017,4,1,11.0,1.0,47894.0,1,,31,6001000,0,0,JPMorgan Chase Bank NA (OH),OCC,6001000,0
24,2004,4,1,11.0,1.0,47894.0,1,,3,1250000,2,500000,US BANK NA (WI),OCC,1250000,500000
24,2005,4,1,11.0,1.0,47894.0,1,,1,250000,1,250000,US BANK NA (WI),OCC,250000,250000
24,2006,4,1,11.0,1.0,47894.0,1,,3,100000,3,100000,US BANK NA (WI),OCC,100000,100000
24,2007,4,1,11.0,1.0,47894.0,1,,2,251000,1,250000,US BANK NA (WI),OCC,251000,250000
24,2008,4,1,11.0,1.0,47894.0,1,,1,37000,1,37000,US BANK NA (WI),OCC,37000,37000
24,2009,4,1,11.0,1.0,47894.0,1,,2,730000,2,730000,US BANK NA (WI),OCC,730000,730000
24,2010,4,1,11.0,1.0,47894.0,1,,2,53000,0,0,US BANK NA (WI),OCC,53000,0
24,2011,4,1,11.0,1.0,47894.0,1,,1,41000,0,0,US BANK NA (WI),OCC,41000,0
24,2012,4,1,11.0,1.0,47894.0,1,,5,302000,0,0,US BANK NA (WI),OCC,302000,0
24,2013,4,1,11.0,1.0,47894.0,1,,207,2457000,112,1037000,US BANK NA (WI),OCC,2457000,1037000
24,2014,4,1,11.0,1.0,47894.0,1,,231,2041000,137,1203000,US BANK NA (WI),OCC,2041000,1203000
24,2015,4,1,11.0,1.0,47894.0,1,,268,2203000,156,1269000,US BANK NA (WI),OCC,2203000,1269000
24,2016,4,1,11.0,1.0,47894.0,1,,263,3109000,156,1543000,US BANK NA (WI),OCC,3109000,1543000
24,2017,4,1,11.0,1.0,47894.0,1,,253,2351000,183,1443000,US BANK NA (WI),OCC,2351000,1443000
56,2011,4,1,11.0,1.0,47894.0,1,,1,64000,0,0,,OCC,64000,0
110,2017,4,1,11.0,1.0,47894.0,3,,1,50000,1,50000,,FDIC,50000,50000
200,2004,4,1,11.0,1.0,47894.0,1,,119,3254000,24,726000,,OCC,3254000,726000
209,2004,4,1,11.0,1.0,47894.0,1,,11,415000,5,378000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,415000,378000
209,2005,4,1,11.0,1.0,47894.0,1,,7,40000,4,13000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,40000,13000
209,2006,4,1,11.0,1.0,47894.0,1,,6,36000,2,12000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,36000,12000
209,2007,4,1,11.0,1.0,47894.0,1,,46,320000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,320000,0
209,2008,4,1,11.0,1.0,47894.0,1,,18,115000,10,34000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,115000,34000
209,2009,4,1,11.0,1.0,47894.0,1,,19,303000,1,16000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,303000,16000
209,2010,4,1,11.0,1.0,47894.0,1,,19,162000,3,16000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,162000,16000
209,2011,4,1,11.0,1.0,47894.0,1,,10,146000,1,5000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,146000,5000
209,2012,4,1,11.0,1.0,47894.0,1,,18,229000,2,16000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,229000,16000
209,2013,4,1,11.0,1.0,47894.0,1,,18,215000,4,23000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,215000,23000
209,2014,4,1,11.0,1.0,47894.0,1,,10,222000,1,15000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,222000,15000
209,2015,4,1,11.0,1.0,47894.0,1,,8,126000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,126000,0
209,2016,4,1,11.0,1.0,47894.0,1,,4,102000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,102000,0
209,2017,4,1,11.0,1.0,47894.0,1,,12,668000,2,32000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,668000,32000
249,2014,4,1,11.0,1.0,47894.0,1,,3,1040000,0,0,FIRST NATIONAL BANK OF PA (PA),OCC,1040000,0
249,2015,4,1,11.0,1.0,47894.0,1,,9,2518000,6,1318000,FIRST NATIONAL BANK OF PA (PA),OCC,2518000,1318000
249,2016,4,1,11.0,1.0,47894.0,1,,17,3325000,8,2243000,FIRST NATIONAL BANK OF PA (PA),OCC,3325000,2243000
249,2017,4,1,11.0,1.0,47894.0,1,,18,3807000,8,1497000,FIRST NATIONAL BANK OF PA (PA),OCC,3807000,1497000
258,2007,4,1,11.0,1.0,47894.0,3,,1,800000,0,0,,FDIC,800000,0
336,2004,4,1,11.0,1.0,47894.0,1,,4,850000,2,80000,,OCC,850000,80000
336,2005,4,1,11.0,1.0,47894.0,1,,3,60000,3,60000,,OCC,60000,60000
336,2006,4,1,11.0,1.0,47894.0,1,,3,710000,1,10000,,OCC,710000,10000
446,2005,4,1,11.0,1.0,47894.0,1,,1,463000,1,463000,,OCC,463000,463000
609,2004,4,1,11.0,1.0,47894.0,3,,1,200000,1,200000,,FDIC,200000,200000
622,2015,4,1,11.0,1.0,47894.0,3,,1,100000,0,0,,FDIC,100000,0
622,2016,4,1,11.0,1.0,47894.0,3,,5,1440000,0,0,,FDIC,1440000,0
679,2005,4,1,11.0,1.0,47894.0,3,,3,95000,2,20000,,FDIC,95000,20000
680,2004,4,1,11.0,1.0,47894.0,3,,4,2350000,3,1650000,,FDIC,2350000,1650000
