respondentID,activity_year,loan_type,action_taken_type,state,county,msa,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest,institution_name,agency,amtLoans_adj,amtLoansToSmallest_adj
1,2004,4,1,36.0,61.0,35644.0,1,,221,47411000,39,7325000,"WELLS FARGO BANK, N.A. (CA)",OCC,47411000,7325000
1,2005,4,1,36.0,61.0,35644.0,1,,274,66398000,87,14944000,"WELLS FARGO BANK, N.A. (CA)",OCC,66398000,14944000
1,2006,4,1,36.0,61.0,35644.0,1,,459,93072000,179,18369000,"WELLS FARGO BANK, N.A. (CA)",OCC,93072000,18369000
1,2007,4,1,36.0,61.0,35644.0,1,,688,100324000,327,22035000,"WELLS FARGO BANK, N.A. (CA)",OCC,100324000,22035000
1,2008,4,1,36.0,61.0,35644.0,1,,497,96018000,212,16648000,"WELLS FARGO BANK, N.A. (CA)",OCC,96018000,16648000
1,2009,4,1,36.0,61.0,35644.0,1,,267,72620000,78,9961000,"WELLS FARGO BANK, N.A. (CA)",OCC,72620000,9961000
1,2010,4,1,36.0,61.0,35644.0,1,,1764,66088000,1153,38211000,"WELLS FARGO BANK, N.A. (CA)",OCC,66088000,38211000
1,2011,4,1,36.0,61.0,35644.0,1,,2002,86926000,1252,39913000,"WELLS FARGO BANK, N.A. (CA)",OCC,86926000,39913000
1,2012,4,1,36.0,61.0,35644.0,1,,1370,74334000,818,33593000,"WELLS FARGO BANK, N.A. (CA)",OCC,74334000,33593000
1,2013,4,1,36.0,61.0,35644.0,1,,1643,77011000,1053,36812000,"WELLS FARGO BANK, N.A. (CA)",OCC,77011000,36812000
1,2014,4,1,36.0,61.0,35614.0,1,,1656,74180000,1089,34273000,"WELLS FARGO BANK, N.A. (CA)",OCC,74180000,34273000
1,2015,4,1,36.0,61.0,35614.0,1,,1706,84381000,1102,38182000,"WELLS FARGO BANK, N.A. (CA)",OCC,84381000,38182000
1,2016,4,1,36.0,61.0,35614.0,1,,1660,86192000,959,34302000,"WELLS FARGO BANK, N.A. (CA)",OCC,86192000,34302000
1,2017,4,1,36.0,61.0,35614.0,1,,1424,73709000,899,36078000,"WELLS FARGO BANK, N.A. (CA)",OCC,73709000,36078000
8,2004,4,1,36.0,61.0,35644.0,1,,14587,893438000,9394,394047000,JPMorgan Chase Bank NA (OH),OCC,893438000,394047000
8,2005,4,1,36.0,61.0,35644.0,1,,10052,731142000,6590,309905000,JPMorgan Chase Bank NA (OH),OCC,731142000,309905000
8,2006,4,1,36.0,61.0,35644.0,1,,3675,310199000,2277,128539000,JPMorgan Chase Bank NA (OH),OCC,310199000,128539000
8,2007,4,1,36.0,61.0,35644.0,1,,5358,525687000,3391,231360000,JPMorgan Chase Bank NA (OH),OCC,525687000,231360000
8,2008,4,1,36.0,61.0,35644.0,1,,3382,400962000,1983,135439000,JPMorgan Chase Bank NA (OH),OCC,400962000,135439000
8,2009,4,1,36.0,61.0,35644.0,1,,881,215060000,212,15177000,JPMorgan Chase Bank NA (OH),OCC,215060000,15177000
8,2010,4,1,36.0,61.0,35644.0,1,,1559,279470000,709,43453000,JPMorgan Chase Bank NA (OH),OCC,279470000,43453000
8,2011,4,1,36.0,61.0,35644.0,1,,1953,350645000,917,53828000,JPMorgan Chase Bank NA (OH),OCC,350645000,53828000
8,2012,4,1,36.0,61.0,35644.0,1,,1917,390388000,906,52290000,JPMorgan Chase Bank NA (OH),OCC,390388000,52290000
8,2013,4,1,36.0,61.0,35644.0,1,,1035,325051000,216,21594000,JPMorgan Chase Bank NA (OH),OCC,325051000,21594000
8,2014,4,1,36.0,61.0,35614.0,1,,1274,405121000,252,25519000,JPMorgan Chase Bank NA (OH),OCC,405121000,25519000
8,2015,4,1,36.0,61.0,35614.0,1,,1248,386402000,276,27019000,JPMorgan Chase Bank NA (OH),OCC,386402000,27019000
8,2016,4,1,36.0,61.0,35614.0,1,,1709,464458000,504,41633000,JPMorgan Chase Bank NA (OH),OCC,464458000,41633000
8,2017,4,1,36.0,61.0,35614.0,1,,1689,458850000,440,38954000,JPMorgan Chase Bank NA (OH),OCC,458850000,38954000
24,2004,4,1,36.0,61.0,35644.0,1,,5,2280000,2,120000,US BANK NA (WI),OCC,2280000,120000
24,2005,4,1,36.0,61.0,35644.0,1,,9,1510000,5,254000,US BANK NA (WI),OCC,1510000,254000
24,2006,4,1,36.0,61.0,35644.0,1,,6,1524000,2,167000,US BANK NA (WI),OCC,1524000,167000
