respondentID,activity_year,assessment_area_number,income_group_code,agency_code,loan_type,action_taken_type,state,county,msa,partial_county_indicator,split_county_indicator,population_classification,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,nLoans,amtLoans,institution_name,agency,income_group,cra_level,avgSmallLoan,nWorkingLoans,amtWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj
24,2017,,4,1,4,1,36,61,35614.0,N,N,L,10,120000,0,0,0,0,5,25000,0,0,10,120000,US BANK NA (WI),OCC,30% to 40% of MFI,low,12000.0,10.0,120000.0,120000.0,0.0,0.0,25000.0,120000.0,120000.0
24,2017,,5,1,4,1,36,61,35614.0,N,N,L,24,214000,0,0,0,0,17,103000,0,0,24,214000,US BANK NA (WI),OCC,40% to 50% of MFI,low,8916.666666666666,0.0,0.0,214000.0,0.0,0.0,103000.0,214000.0,0.0
24,2017,,6,1,4,1,36,61,35614.0,N,N,L,23,183000,0,0,0,0,15,124000,0,0,23,183000,US BANK NA (WI),OCC,50% to 60% of MFI,moderate,7956.521739130435,0.0,0.0,183000.0,0.0,0.0,124000.0,183000.0,0.0
24,2017,,7,1,4,1,36,61,35614.0,N,N,L,9,81000,0,0,0,0,8,76000,0,0,9,81000,US BANK NA (WI),OCC,60% to 70% of MFI,moderate,9000.0,0.0,0.0,81000.0,0.0,0.0,76000.0,81000.0,0.0
24,2017,,8,1,4,1,36,61,35614.0,N,N,L,6,32000,0,0,0,0,6,32000,0,0,6,32000,US BANK NA (WI),OCC,70% to 80% of MFI,moderate,5333.333333333333,0.0,0.0,32000.0,0.0,0.0,32000.0,32000.0,0.0
24,2017,,9,1,4,1,36,61,35614.0,N,N,L,2,15000,0,0,0,0,2,15000,0,0,2,15000,US BANK NA (WI),OCC,80% to 90% of MFI,middle,7500.0,0.0,0.0,15000.0,0.0,0.0,15000.0,15000.0,0.0
24,2017,,10,1,4,1,36,61,35614.0,N,N,L,3,27000,0,0,0,0,2,22000,0,0,3,27000,US BANK NA (WI),OCC,90% to 100% of MFI,middle,9000.0,0.0,0.0,27000.0,0.0,0.0,22000.0,27000.0,0.0
24,2017,,11,1,4,1,36,61,35614.0,N,N,L,7,46000,0,0,0,0,5,22000,0,0,7,46000,US BANK NA (WI),OCC,100% to 110% of MFI,middle,6571.428571428572,0.0,0.0,46000.0,0.0,0.0,22000.0,46000.0,0.0
24,2017,,12,1,4,1,36,61,35614.0,N,N,L,7,47000,0,0,0,0,6,42000,0,0,7,47000,US BANK NA (WI),OCC,110% to 120% of MFI,middle,6714.285714285715,0.0,0.0,47000.0,0.0,0.0,42000.0,47000.0,0.0
24,2017,,13,1,4,1,36,61,35614.0,N,N,L,583,5684000,7,890000,4,1791000,361,3831000,0,0,594,8365000,US BANK NA (WI),OCC,> 120% of MFI,upper,9749.571183533448,11.0,2681000.0,5684000.0,890000.0,1791000.0,3831000.0,8365000.0,2681000.0
