respondentID,activity_year,loan_type,action_taken_type,state,county,msa,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest,institution_name,agency,amtLoans_adj,amtLoansToSmallest_adj
1,2004,4,1,51.0,760.0,40060.0,1,,332,57477000,108,14818000,"WELLS FARGO BANK, N.A. (CA)",OCC,57477000,14818000
1,2005,4,1,51.0,760.0,40060.0,1,,240,52551000,69,11857000,"WELLS FARGO BANK, N.A. (CA)",OCC,52551000,11857000
1,2006,4,1,51.0,760.0,40060.0,1,,310,69732000,138,22802000,"WELLS FARGO BANK, N.A. (CA)",OCC,69732000,22802000
1,2007,4,1,51.0,760.0,40060.0,1,,452,66202000,277,20808000,"WELLS FARGO BANK, N.A. (CA)",OCC,66202000,20808000
1,2008,4,1,51.0,760.0,40060.0,1,,335,64037000,185,23253000,"WELLS FARGO BANK, N.A. (CA)",OCC,64037000,23253000
1,2009,4,1,51.0,760.0,40060.0,1,,171,47230000,68,9971000,"WELLS FARGO BANK, N.A. (CA)",OCC,47230000,9971000
1,2010,4,1,51.0,760.0,40060.0,1,,317,6557000,179,3027000,"WELLS FARGO BANK, N.A. (CA)",OCC,6557000,3027000
1,2011,4,1,51.0,760.0,40060.0,1,,667,39393000,353,9256000,"WELLS FARGO BANK, N.A. (CA)",OCC,39393000,9256000
1,2012,4,1,51.0,760.0,40060.0,1,,534,39938000,292,11571000,"WELLS FARGO BANK, N.A. (CA)",OCC,39938000,11571000
1,2013,4,1,51.0,760.0,40060.0,1,,618,39327000,367,11084000,"WELLS FARGO BANK, N.A. (CA)",OCC,39327000,11084000
1,2014,4,1,51.0,760.0,40060.0,1,,608,33356000,385,10137000,"WELLS FARGO BANK, N.A. (CA)",OCC,33356000,10137000
1,2015,4,1,51.0,760.0,40060.0,1,,620,33775000,418,11024000,"WELLS FARGO BANK, N.A. (CA)",OCC,33775000,11024000
1,2016,4,1,51.0,760.0,40060.0,1,,512,30808000,340,10773000,"WELLS FARGO BANK, N.A. (CA)",OCC,30808000,10773000
1,2017,4,1,51.0,760.0,40060.0,1,,432,23257000,271,9277000,"WELLS FARGO BANK, N.A. (CA)",OCC,23257000,9277000
8,2006,4,1,51.0,760.0,40060.0,1,,5,146000,0,0,JPMorgan Chase Bank NA (OH),OCC,146000,0
8,2007,4,1,51.0,760.0,40060.0,1,,8,246000,0,0,JPMorgan Chase Bank NA (OH),OCC,246000,0
8,2008,4,1,51.0,760.0,40060.0,1,,8,259000,0,0,JPMorgan Chase Bank NA (OH),OCC,259000,0
8,2009,4,1,51.0,760.0,40060.0,1,,4,120000,0,0,JPMorgan Chase Bank NA (OH),OCC,120000,0
8,2010,4,1,51.0,760.0,40060.0,1,,12,1475000,0,0,JPMorgan Chase Bank NA (OH),OCC,1475000,0
8,2011,4,1,51.0,760.0,40060.0,1,,5,258000,0,0,JPMorgan Chase Bank NA (OH),OCC,258000,0
8,2012,4,1,51.0,760.0,40060.0,1,,12,2215000,0,0,JPMorgan Chase Bank NA (OH),OCC,2215000,0
8,2013,4,1,51.0,760.0,40060.0,1,,4,145000,0,0,JPMorgan Chase Bank NA (OH),OCC,145000,0
8,2014,4,1,51.0,760.0,40060.0,1,,8,305000,0,0,JPMorgan Chase Bank NA (OH),OCC,305000,0
8,2015,4,1,51.0,760.0,40060.0,1,,8,335000,0,0,JPMorgan Chase Bank NA (OH),OCC,335000,0
8,2016,4,1,51.0,760.0,40060.0,1,,16,578000,0,0,JPMorgan Chase Bank NA (OH),OCC,578000,0
8,2017,4,1,51.0,760.0,40060.0,1,,11,337000,0,0,JPMorgan Chase Bank NA (OH),OCC,337000,0
24,2005,4,1,51.0,760.0,40060.0,1,,1,250000,0,0,US BANK NA (WI),OCC,250000,0
24,2007,4,1,51.0,760.0,40060.0,1,,1,250000,0,0,US BANK NA (WI),OCC,250000,0
24,2008,4,1,51.0,760.0,40060.0,1,,1,40000,1,40000,US BANK NA (WI),OCC,40000,40000
24,2010,4,1,51.0,760.0,40060.0,1,,1,37000,0,0,US BANK NA (WI),OCC,37000,0
24,2011,4,1,51.0,760.0,40060.0,1,,2,59000,0,0,US BANK NA (WI),OCC,59000,0
24,2012,4,1,51.0,760.0,40060.0,1,,3,95000,0,0,US BANK NA (WI),OCC,95000,0
24,2013,4,1,51.0,760.0,40060.0,1,,100,1131000,42,548000,US BANK NA (WI),OCC,1131000,548000
24,2014,4,1,51.0,760.0,40060.0,1,,108,1256000,61,549000,US BANK NA (WI),OCC,1256000,549000
24,2015,4,1,51.0,760.0,40060.0,1,,117,1339000,60,466000,US BANK NA (WI),OCC,1339000,466000
24,2016,4,1,51.0,760.0,40060.0,1,,158,2018000,104,890000,US BANK NA (WI),OCC,2018000,890000
24,2017,4,1,51.0,760.0,40060.0,1,,170,1863000,118,1004000,US BANK NA (WI),OCC,1863000,1004000
200,2004,4,1,51.0,760.0,40060.0,1,,25,521000,5,266000,,OCC,521000,266000
209,2004,4,1,51.0,760.0,40060.0,1,,3,19000,2,18000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,19000,18000
209,2005,4,1,51.0,760.0,40060.0,1,,1,20000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,20000,0
209,2007,4,1,51.0,760.0,40060.0,1,,12,51000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,51000,0
209,2008,4,1,51.0,760.0,40060.0,1,,4,12000,3,9000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,12000,9000
209,2009,4,1,51.0,760.0,40060.0,1,,2,27000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,27000,0
209,2010,4,1,51.0,760.0,40060.0,1,,3,29000,1,8000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,29000,8000
209,2011,4,1,51.0,760.0,40060.0,1,,7,269000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,269000,0
209,2012,4,1,51.0,760.0,40060.0,1,,2,12000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,12000,0
209,2013,4,1,51.0,760.0,40060.0,1,,6,59000,1,7000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,59000,7000
209,2014,4,1,51.0,760.0,40060.0,1,,8,80000,1,6000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,80000,6000
209,2015,4,1,51.0,760.0,40060.0,1,,1,29000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,29000,0
209,2016,4,1,51.0,760.0,40060.0,1,,4,52000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,52000,0
209,2017,4,1,51.0,760.0,40060.0,1,,5,67000,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,67000,0
336,2005,4,1,51.0,760.0,40060.0,1,,1,50000,1,50000,,OCC,50000,50000
336,2006,4,1,51.0,760.0,40060.0,1,,1,400000,0,0,,OCC,400000,0
336,2010,4,1,51.0,760.0,40060.0,1,,2,1050000,0,0,,OCC,1050000,0
336,2011,4,1,51.0,760.0,40060.0,1,,7,3093000,1,520000,,OCC,3093000,520000
336,2012,4,1,51.0,760.0,40060.0,1,,8,2480000,1,600000,,OCC,2480000,600000
336,2013,4,1,51.0,760.0,40060.0,1,,4,1050000,1,510000,,OCC,1050000,510000
336,2014,4,1,51.0,760.0,40060.0,1,,9,2232000,3,625000,,OCC,2232000,625000
336,2015,4,1,51.0,760.0,40060.0,1,,5,2100000,0,0,,OCC,2100000,0
336,2016,4,1,51.0,760.0,40060.0,1,,8,3317000,3,1978000,,OCC,3317000,1978000
336,2017,4,1,51.0,760.0,40060.0,1,,3,778000,0,0,,OCC,778000,0
786,2004,4,1,51.0,760.0,40060.0,1,,1,10000,0,0,,OCC,10000,0
786,2005,4,1,51.0,760.0,40060.0,1,,1,75000,0,0,,OCC,75000,0
1316,2006,4,1,51.0,760.0,40060.0,1,,1,310000,1,310000,PNC BANK N.A. (PA),OCC,310000,310000
1316,2008,4,1,51.0,760.0,40060.0,1,,1,1000000,0,0,PNC BANK N.A. (PA),OCC,1000000,0
1316,2011,4,1,51.0,760.0,40060.0,1,,2,350000,0,0,PNC BANK N.A. (PA),OCC,350000,0
1316,2012,4,1,51.0,760.0,40060.0,1,,6,1220000,2,220000,PNC BANK N.A. (PA),OCC,1220000,220000
1316,2013,4,1,51.0,760.0,40060.0,1,,8,1632000,2,35000,PNC BANK N.A. (PA),OCC,1632000,35000
1316,2014,4,1,51.0,760.0,40060.0,1,,4,1300000,1,100000,PNC BANK N.A. (PA),OCC,1300000,100000
1316,2015,4,1,51.0,760.0,40060.0,1,,10,2156000,5,306000,PNC BANK N.A. (PA),OCC,2156000,306000
1316,2016,4,1,51.0,760.0,40060.0,1,,7,391000,4,130000,PNC BANK N.A. (PA),OCC,391000,130000
1316,2017,4,1,51.0,760.0,40060.0,1,,20,2600000,11,778000,PNC BANK N.A. (PA),OCC,2600000,778000
1461,2009,4,1,51.0,760.0,40060.0,1,,1,175000,1,175000,"CITIBANK, N.A. (NY)",OCC,175000,175000
1461,2012,4,1,51.0,760.0,40060.0,1,,125,774000,78,509000,"CITIBANK, N.A. (NY)",OCC,774000,509000
1461,2013,4,1,51.0,760.0,40060.0,1,,127,574000,76,368000,"CITIBANK, N.A. (NY)",OCC,574000,368000
1461,2014,4,1,51.0,760.0,40060.0,1,,90,1044000,53,191000,"CITIBANK, N.A. (NY)",OCC,1044000,191000
1461,2015,4,1,51.0,760.0,40060.0,1,,153,911000,109,617000,"CITIBANK, N.A. (NY)",OCC,911000,617000
1461,2016,4,1,51.0,760.0,40060.0,1,,260,1971000,187,1266000,"CITIBANK, N.A. (NY)",OCC,1971000,1266000
1461,2017,4,1,51.0,760.0,40060.0,1,,278,1785000,228,1388000,"CITIBANK, N.A. (NY)",OCC,1785000,1388000
1741,2004,4,1,51.0,760.0,40060.0,1,,97,4020000,68,2270000,,OCC,4020000,2270000
1741,2005,4,1,51.0,760.0,40060.0,1,,132,4754000,91,2994000,,OCC,4754000,2994000
1741,2006,4,1,51.0,760.0,40060.0,1,,129,5117000,85,3037000,,OCC,5117000,3037000
1741,2007,4,1,51.0,760.0,40060.0,1,,133,4802000,93,2997000,,OCC,4802000,2997000
1741,2008,4,1,51.0,760.0,40060.0,1,,119,4638000,82,2879000,,OCC,4638000,2879000
1741,2009,4,1,51.0,760.0,40060.0,1,,102,4525000,74,2710000,,OCC,4525000,2710000
2597,2010,4,1,51.0,760.0,40060.0,1,,1,25000,1,25000,,OCC,25000,25000
2630,2007,4,1,51.0,760.0,40060.0,4,,1,55000,1,55000,,OTS,55000,55000
