respondentID,activity_year,assessment_area_number,income_group_code,agency_code,loan_type,action_taken_type,state,county,msa,partial_county_indicator,split_county_indicator,population_classification,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,nLoans,amtLoans,institution_name,agency,income_group,cra_level,avgSmallLoan,nWorkingLoans,amtWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj
8,2017,,101,1,4,1,51,760,40060.0,N,N,S,4,139000,0,0,0,0,0,0,0,0,4,139000,JPMorgan Chase Bank NA (OH),OCC,,,34750.0,4.0,139000.0,139000.0,0.0,0.0,0.0,139000.0,139000.0
8,2017,,102,1,4,1,51,760,40060.0,N,N,S,5,168000,0,0,0,0,0,0,0,0,5,168000,JPMorgan Chase Bank NA (OH),OCC,,,33600.0,5.0,168000.0,168000.0,0.0,0.0,0.0,168000.0,168000.0
8,2017,,104,1,4,1,51,760,40060.0,N,N,S,2,30000,0,0,0,0,0,0,0,0,2,30000,JPMorgan Chase Bank NA (OH),OCC,,,15000.0,2.0,30000.0,30000.0,0.0,0.0,0.0,30000.0,30000.0
24,2017,,101,1,4,1,51,760,40060.0,N,N,S,26,191000,0,0,0,0,17,125000,0,0,26,191000,US BANK NA (WI),OCC,,,7346.153846153846,0.0,0.0,191000.0,0.0,0.0,125000.0,191000.0,0.0
24,2017,,102,1,4,1,51,760,40060.0,N,N,S,68,774000,1,180000,0,0,39,285000,0,0,69,954000,US BANK NA (WI),OCC,,,11382.35294117647,69.0,954000.0,774000.0,180000.0,0.0,285000.0,954000.0,954000.0
24,2017,,103,1,4,1,51,760,40060.0,N,N,S,22,156000,0,0,0,0,19,137000,0,0,22,156000,US BANK NA (WI),OCC,,,7090.909090909091,0.0,0.0,156000.0,0.0,0.0,137000.0,156000.0,0.0
24,2017,,104,1,4,1,51,760,40060.0,N,N,S,52,550000,0,0,0,0,42,445000,0,0,52,550000,US BANK NA (WI),OCC,,,10576.923076923076,52.0,550000.0,550000.0,0.0,0.0,445000.0,550000.0,550000.0
24,2017,,106,1,4,1,51,760,40060.0,N,N,S,1,12000,0,0,0,0,1,12000,0,0,1,12000,US BANK NA (WI),OCC,,,12000.0,1.0,12000.0,12000.0,0.0,0.0,12000.0,12000.0,12000.0
209,2017,,102,1,4,1,51,760,40060.0,N,N,S,3,26000,0,0,0,0,0,0,0,0,3,26000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,,,8666.666666666666,0.0,0.0,26000.0,0.0,0.0,0.0,26000.0,0.0
209,2017,,104,1,4,1,51,760,40060.0,N,N,S,2,41000,0,0,0,0,0,0,0,0,2,41000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,,,20500.0,2.0,41000.0,41000.0,0.0,0.0,0.0,41000.0,41000.0
336,2017,,102,1,4,1,51,760,40060.0,N,N,S,0,0,1,200000,1,300000,0,0,0,0,2,500000,,OCC,,,,,0.0,0.0,200000.0,300000.0,0.0,500000.0,0.0
336,2017,,104,1,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,278000,0,0,0,0,1,278000,,OCC,,,,,0.0,0.0,0.0,278000.0,0.0,278000.0,0.0
1316,2017,,101,1,4,1,51,760,40060.0,N,N,S,1,7000,1,250000,0,0,0,0,0,0,2,257000,PNC BANK N.A. (PA),OCC,,,7000.0,1.0,250000.0,7000.0,250000.0,0.0,0.0,257000.0,250000.0
1316,2017,,102,1,4,1,51,760,40060.0,N,N,S,4,42000,0,0,0,0,2,16000,0,0,4,42000,PNC BANK N.A. (PA),OCC,,,10500.0,4.0,42000.0,42000.0,0.0,0.0,16000.0,42000.0,42000.0
1316,2017,,103,1,4,1,51,760,40060.0,N,N,S,1,15000,2,437000,0,0,1,189000,0,0,3,452000,PNC BANK N.A. (PA),OCC,,,15000.0,3.0,452000.0,15000.0,437000.0,0.0,189000.0,452000.0,452000.0
1316,2017,,104,1,4,1,51,760,40060.0,N,N,S,7,223000,2,400000,2,1226000,8,573000,0,0,11,1849000,PNC BANK N.A. (PA),OCC,,,31857.14285714286,11.0,1849000.0,223000.0,400000.0,1226000.0,573000.0,1849000.0,1849000.0
1461,2017,,101,1,4,1,51,760,40060.0,N,N,S,45,239000,0,0,0,0,35,161000,0,0,45,239000,"CITIBANK, N.A. (NY)",OCC,,,5311.111111111111,0.0,0.0,239000.0,0.0,0.0,161000.0,239000.0,0.0
1461,2017,,102,1,4,1,51,760,40060.0,N,N,S,101,544000,0,0,0,0,84,413000,0,0,101,544000,"CITIBANK, N.A. (NY)",OCC,,,5386.138613861386,0.0,0.0,544000.0,0.0,0.0,413000.0,544000.0,0.0
1461,2017,,103,1,4,1,51,760,40060.0,N,N,S,39,295000,0,0,0,0,30,219000,0,0,39,295000,"CITIBANK, N.A. (NY)",OCC,,,7564.102564102564,0.0,0.0,295000.0,0.0,0.0,219000.0,295000.0,0.0
1461,2017,,104,1,4,1,51,760,40060.0,N,N,S,89,670000,0,0,0,0,75,558000,0,0,89,670000,"CITIBANK, N.A. (NY)",OCC,,,7528.08988764045,0.0,0.0,670000.0,0.0,0.0,558000.0,670000.0,0.0
1461,2017,,105,1,4,1,51,760,40060.0,N,N,S,1,15000,0,0,0,0,1,15000,0,0,1,15000,"CITIBANK, N.A. (NY)",OCC,,,15000.0,1.0,15000.0,15000.0,0.0,0.0,15000.0,15000.0,15000.0
1461,2017,,106,1,4,1,51,760,40060.0,N,N,S,3,22000,0,0,0,0,3,22000,0,0,3,22000,"CITIBANK, N.A. (NY)",OCC,,,7333.333333333333,0.0,0.0,22000.0,0.0,0.0,22000.0,22000.0,0.0
14583,2017,,101,1,4,1,51,760,40060.0,N,N,S,2,97000,0,0,2,539000,0,0,0,0,4,636000,"BMO Harris Bank, N.A. (IL)",OCC,,,48500.0,4.0,636000.0,97000.0,0.0,539000.0,0.0,636000.0,636000.0
14583,2017,,102,1,4,1,51,760,40060.0,N,N,S,1,46000,1,151000,0,0,0,0,0,0,2,197000,"BMO Harris Bank, N.A. (IL)",OCC,,,46000.0,2.0,197000.0,46000.0,151000.0,0.0,0.0,197000.0,197000.0
15576,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,76000,0,0,0,0,1,76000,0,0,1,76000,STEARNS BANK N A (MN),OCC,,,76000.0,1.0,76000.0,76000.0,0.0,0.0,76000.0,76000.0,76000.0
15790,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,9000,0,0,0,0,0,0,1,9000,1,9000,,OCC,,,9000.0,0.0,0.0,9000.0,0.0,0.0,0.0,9000.0,0.0
23160,2017,,101,1,4,1,51,760,40060.0,N,N,S,32,276000,0,0,0,0,14,103000,0,0,32,276000,"Chase Bank USA, NA (DE)",OCC,,,8625.0,0.0,0.0,276000.0,0.0,0.0,103000.0,276000.0,0.0
23160,2017,,102,1,4,1,51,760,40060.0,N,N,S,96,1115000,0,0,0,0,44,487000,0,0,96,1115000,"Chase Bank USA, NA (DE)",OCC,,,11614.583333333334,96.0,1115000.0,1115000.0,0.0,0.0,487000.0,1115000.0,1115000.0
23160,2017,,103,1,4,1,51,760,40060.0,N,N,S,46,471000,0,0,0,0,29,285000,0,0,46,471000,"Chase Bank USA, NA (DE)",OCC,,,10239.130434782608,46.0,471000.0,471000.0,0.0,0.0,285000.0,471000.0,471000.0
23160,2017,,104,1,4,1,51,760,40060.0,N,N,S,108,1076000,0,0,0,0,70,730000,0,0,108,1076000,"Chase Bank USA, NA (DE)",OCC,,,9962.962962962964,0.0,0.0,1076000.0,0.0,0.0,730000.0,1076000.0,0.0
23160,2017,,105,1,4,1,51,760,40060.0,N,N,S,1,30000,0,0,0,0,1,30000,0,0,1,30000,"Chase Bank USA, NA (DE)",OCC,,,30000.0,1.0,30000.0,30000.0,0.0,0.0,30000.0,30000.0,30000.0
23160,2017,,106,1,4,1,51,760,40060.0,N,N,S,7,69000,0,0,0,0,1,3000,0,0,7,69000,"Chase Bank USA, NA (DE)",OCC,,,9857.142857142857,0.0,0.0,69000.0,0.0,0.0,3000.0,69000.0,0.0
23248,2017,,101,1,4,1,51,760,40060.0,N,N,S,2,9000,0,0,0,0,1,7000,0,0,2,9000,TEXAS CAPITAL BANK (TX),OCC,,,4500.0,0.0,0.0,9000.0,0.0,0.0,7000.0,9000.0,0.0
23248,2017,,102,1,4,1,51,760,40060.0,N,N,S,10,42000,2,321000,1,549000,3,113000,0,0,13,912000,TEXAS CAPITAL BANK (TX),OCC,,,4200.0,3.0,870000.0,42000.0,321000.0,549000.0,113000.0,912000.0,870000.0
23248,2017,,104,1,4,1,51,760,40060.0,N,N,S,7,76000,0,0,0,0,1,32000,0,0,7,76000,TEXAS CAPITAL BANK (TX),OCC,,,10857.142857142857,7.0,76000.0,76000.0,0.0,0.0,32000.0,76000.0,76000.0
23253,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,35000,0,0,0,0,0,0,0,0,1,35000,TCF National Bank (SD),OCC,,,35000.0,1.0,35000.0,35000.0,0.0,0.0,0.0,35000.0,35000.0
24096,2017,,104,1,4,1,51,760,40060.0,N,N,S,1,5000,0,0,0,0,0,0,0,0,1,5000,TD Bank N.A. (DE),OCC,,,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,5000.0,0.0
24522,2017,,102,1,4,1,51,760,40060.0,N,N,S,2,75000,0,0,0,0,0,0,0,0,2,75000,"HSBC BANK, NA (VA)",OCC,,,37500.0,2.0,75000.0,75000.0,0.0,0.0,0.0,75000.0,75000.0
24522,2017,,104,1,4,1,51,760,40060.0,N,N,S,0,0,0,0,1,800000,0,0,0,0,1,800000,"HSBC BANK, NA (VA)",OCC,,,,,0.0,0.0,0.0,800000.0,0.0,800000.0,0.0
24571,2017,,101,1,4,1,51,760,40060.0,N,N,S,1,37000,0,0,0,0,1,37000,0,0,1,37000,"Citizens Bank, NA (RI)",OCC,,,37000.0,1.0,37000.0,37000.0,0.0,0.0,37000.0,37000.0,37000.0
24571,2017,,102,1,4,1,51,760,40060.0,N,N,S,6,189000,0,0,0,0,6,189000,0,0,6,189000,"Citizens Bank, NA (RI)",OCC,,,31500.0,6.0,189000.0,189000.0,0.0,0.0,189000.0,189000.0,189000.0
24571,2017,,103,1,4,1,51,760,40060.0,N,N,S,3,85000,0,0,0,0,3,85000,0,0,3,85000,"Citizens Bank, NA (RI)",OCC,,,28333.333333333332,3.0,85000.0,85000.0,0.0,0.0,85000.0,85000.0,85000.0
24571,2017,,104,1,4,1,51,760,40060.0,N,N,S,2,62000,0,0,0,0,2,62000,0,0,2,62000,"Citizens Bank, NA (RI)",OCC,,,31000.0,2.0,62000.0,62000.0,0.0,0.0,62000.0,62000.0,62000.0
