census_tract,activity_year,loan_type,action_taken_type,state,county,msa,split_county_indicator,population_classification,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,income_group,cra_level,nLoans,amtLoans,avgSmallLoan,nWorkingLoans,amtWorkingLoans,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,nLoans1_per_totaljob,amtLoans1_per_totaljob,nLoans100k_per_totaljob,amtLoans100k_per_totaljob,nLoans250k_per_totaljob,amtLoans250k_per_totaljob,nLoansToSmallest_per_totaljob,amtLoansToSmallest_per_totaljob,nLoans_per_totaljob,amtLoans_per_totaljob,nWorkingLoans_per_totaljob,amtWorkingLoans_per_totaljob,nLoans1_per_sbjob,amtLoans1_per_sbjob,nLoans100k_per_sbjob,amtLoans100k_per_sbjob,nLoans250k_per_sbjob,amtLoans250k_per_sbjob,nLoansToSmallest_per_sbjob,amtLoansToSmallest_per_sbjob,nLoans_per_sbjob,amtLoans_per_sbjob,nWorkingLoans_per_sbjob,amtWorkingLoans_per_sbjob,GEOID,STUSAB,LOGRECNO,pop_total,B11001_001,pop_white,pop_black,white_householder,black_householder,owner_occ_housing_units,mfi,female_householder,unemployed_16plus,poverty_past_12_months,median_home_value,median_year_built,labor_force_16plus,poverty_status_known,pop_total_err,B11001_001_err,pop_white_err,pop_black_err,black_householder_err,white_householder_err,owner_occ_housing_units_err,mfi_err,female_householder_err,unemployed_16plus_err,poverty_past_12_months_err,median_home_value_err,median_year_built_err,labor_force_16plus_err,poverty_status_known_err,Geography Name,hs_grad_25plus,total_householders,pop_25plus,hs_grad_25plus_serr,pop_25plus_serr,total_householders_serr,pct_white,pct_black,pct_white_householders,pct_black_householders,pct_female_householders,pct_hs_grad,pct_unemployed,pct_white_serr,pct_black_serr,pct_white_householders_serr,pct_black_householders_serr,pct_female_householders_serr,pct_hs_grad_serr,pct_unemployed_serr,pct_poverty_serr,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj,mfi_adj,median_home_value_adj,amtLoans1_per_totaljob_adj,amtLoans100k_per_totaljob_adj,amtLoans250k_per_totaljob_adj,amtLoansToSmallest_per_totaljob_adj,amtLoans_per_totaljob_adj,amtWorkingLoans_per_totaljob_adj,amtLoans1_per_sbjob_adj,amtLoans100k_per_sbjob_adj,amtLoans250k_per_sbjob_adj,amtLoansToSmallest_per_sbjob_adj,amtLoans_per_sbjob_adj,amtWorkingLoans_per_sbjob_adj
101.0,2011,4,1,6,75,41884.0,N,L,7,234,4069000,8,1493000,13,7654000,116,2599000,60% to 70% of MFI,moderate,255,13216000,17388.88888888889,255.0,13216000.0,118960.0,26464.0,72056.0,20440.0,18368.0,36672.0,63920.0,48.0,0.0,760.0,384.0,760.0,4000.0,29496.0,3584.0,6736.0,1512.0,2440.0,15360.0,0.0,6600.0,5504.0,1416.0,1232.0,33152.0,5672.0,304.0,76648.0,5880.0,664.0,32056.0,424.0,3288.0,99840.0,19120.0,11824.0,15040.0,26600.0,39032.0,58264.0,60696.0,168.0,1417.0,230.0,600.0,5391.0,920.0,550.0,1166.0,113.0,5057.0,0.0019670477471418965,34.20477471418965,6.724949562878279e-05,12.550437121721586,0.00010928043039677203,64.34095494283793,0.0009751176866173504,21.84767989240081,0.0021435776731674513,111.09616677874916,0.0021435776731674513,111.09616677874916,0.2543478260869565,4422.826086956522,0.008695652173913044,1622.8260869565217,0.014130434782608696,8319.565217391304,0.12608695652173912,2825.0,0.27717391304347827,14365.217391304348,0.27717391304347827,14365.217391304348,14000US06075010100,ca,21867.0,3851.0,2204.0,1686.0,346.0,1067.0,131.0,326.0,74483.0,52.0,112.0,549.0,718800.0,1971.0,2282.0,3851.0,272.0,149.0,259.0,255.0,165.0,101.0,116.0,24933.0,35.0,76.0,291.0,102980.0,4.0,283.0,272.0,"Census Tract 101, San Francisco County, California",2402.0,2204.0,2894.0,228.75728071132866,231.24047947563446,142.2609300784661,0.43780836146455465,0.08984679304076863,0.4841197822141561,0.059437386569872956,0.023593466424682397,0.8299930891499654,0.14256037392884965,0.036306847568052684,0.040067949951925634,0.020376468728652043,0.020376468728652043,0.020376468728652043,0.02614633663326251,0.06082629521605843,0.045526390699727075,4486869.6321455985,1646324.9842205404,8440034.446901552,2865906.6537101036,14573229.063267691,14573229.063267691,82132.09899510953,792617.8155778463,37.71746496423671,13.839315603736889,70.94850745546024,24.09134712264714,122.50528802343386,122.50528802343386,4877.032208853912,1789.4836785005875,9173.950485762556,3115.1159279457647,15840.466373117055,15840.466373117055
101.0,2012,4,1,6,75,41884.0,N,L,7,232,3848000,6,1167000,18,11079000,115,2456000,60% to 70% of MFI,moderate,256,16094000,16586.206896551725,256.0,16094000.0,107892.0,25432.0,61452.0,21008.0,19992.0,34156.0,53744.0,80.0,0.0,448.0,112.0,512.0,3536.0,21496.0,4688.0,4488.0,1160.0,2728.0,13792.0,32.0,7464.0,5460.0,1952.0,1224.0,32040.0,6512.0,168.0,70804.0,5656.0,760.0,27560.0,416.0,2696.0,89460.0,18432.0,11520.0,14672.0,22592.0,33676.0,53760.0,54132.0,298.0,239.0,215.0,664.0,5674.0,1220.0,704.0,1794.0,314.0,3058.0,0.002150298446594743,35.66529492455418,5.5611166722277836e-05,10.816371927483038,0.0001668335001668335,102.68601935268602,0.001065880695510325,22.763504244985725,0.0023727431134838543,149.16768620472325,0.0023727431134838543,149.16768620472325,0.1901639344262295,3154.098360655738,0.004918032786885246,956.5573770491803,0.014754098360655738,9081.147540983606,0.0942622950819672,2013.1147540983607,0.2098360655737705,13191.803278688525,0.2098360655737705,13191.803278688525,14000US06075010100,ca,21827.0,3598.0,2210.0,1704.0,107.0,1113.0,73.0,325.0,75167.0,39.0,132.0,550.0,746000.0,1973.0,2106.0,3598.0,237.0,138.0,268.0,91.0,181.0,77.0,101.0,38212.0,46.0,88.0,245.0,117524.0,4.0,237.0,237.0,"Census Tract 101, San Francisco County, California",2490.0,2210.0,2933.0,222.0335095262782,233.28262526855113,139.59675960219494,0.4735964424680378,0.029738743746525846,0.5036199095022624,0.0330316742081448,0.01764705882352941,0.8489601091033072,0.1528627015008338,0.04111761055383774,0.015328787410317374,0.00863904771566262,0.00863904771566262,0.00863904771566262,0.0208049338585695,0.06394699193296284,0.04093909334629608,4122579.454260694,1250272.9270068165,11869557.633512013,2631251.3356715865,17242410.014779523,17242410.014779523,80530.64704740478,799231.879646174,38.21024222612143,11.588189365354395,110.01332474615369,24.387826119374804,159.81175633762953,159.81175633762953,3379.1634870989296,1024.8138745957513,9729.145601239354,2156.763389894743,14133.122962934036,14133.122962934036
101.0,2013,4,1,6,75,41884.0,N,L,7,239,4541000,11,1785000,9,5200000,127,2784000,60% to 70% of MFI,moderate,259,11526000,19000.0,259.0,11526000.0,116872.0,25848.0,66920.0,24104.0,20080.0,35128.0,61664.0,32.0,0.0,608.0,416.0,624.0,4608.0,21280.0,4544.0,6392.0,1296.0,3192.0,11896.0,16.0,7744.0,5664.0,9232.0,1264.0,34992.0,2896.0,176.0,74952.0,6576.0,832.0,30984.0,416.0,3112.0,97928.0,18944.0,12616.0,16320.0,26928.0,35160.0,56160.0,60712.0,429.0,274.0,158.0,699.0,6109.0,1344.0,584.0,2125.0,371.0,3245.0,0.002044972277363269,38.854473269902115,9.41200629748785e-05,15.273119310014375,7.700732425217332e-05,44.493120679033474,0.001086658908891779,23.820932302005613,0.002216099664590321,98.62071325894996,0.002216099664590321,98.62071325894996,0.17782738095238096,3378.720238095238,0.00818452380952381,1328.125,0.006696428571428571,3869.0476190476193,0.09449404761904762,2071.4285714285716,0.19270833333333334,8575.892857142857,0.19270833333333334,8575.892857142857,14000US06075010100,ca,8983.0,3741.0,2177.0,1974.0,58.0,1162.0,42.0,290.0,77292.0,57.0,158.0,503.0,759900.0,1973.0,2265.0,3728.0,358.0,126.0,269.0,55.0,172.0,38.0,112.0,26969.0,72.0,88.0,218.0,141077.0,5.0,268.0,349.0,"Census Tract 101, San Francisco County, California",2616.0,2177.0,2985.0,258.9587167211112,249.14446974708122,142.39594440616716,0.5276663993584603,0.015503875968992248,0.5337620578778135,0.01929260450160772,0.026182820395039046,0.8763819095477386,0.13492489270386265,0.03111986791049783,0.008891730664324615,0.023728465269535273,0.023728465269535273,0.023728465269535273,0.028354375318382863,0.06932050884565912,0.034708764200433236,4788656.848184819,1882350.2475247525,5483597.359735974,2935833.663366337,12154604.455445545,12154604.455445545,81507.34752475248,801343.391089109,40.97351673783985,16.10608398525526,46.91968443883885,25.12007720725526,103.99928516193395,103.99928516193395,3562.98872632799,1400.5582198844886,4080.057559327362,2184.4000471475724,9043.60450553984,9043.60450553984
101.0,2014,4,1,6,75,41884.0,N,L,7,256,5039000,9,1776000,15,9111000,101,2804000,60% to 70% of MFI,moderate,280,15926000,19683.59375,280.0,15926000.0,115632.0,26264.0,64656.0,24712.0,20280.0,33216.0,62136.0,48.0,0.0,544.0,480.0,528.0,3088.0,21936.0,4456.0,6584.0,1040.0,3320.0,12984.0,48.0,7544.0,4952.0,9640.0,976.0,34136.0,3232.0,96.0,74584.0,6448.0,1056.0,30096.0,384.0,3064.0,96016.0,19616.0,12288.0,16520.0,26528.0,34032.0,55392.0,60240.0,223.0,257.0,1044.0,484.0,5607.0,1330.0,713.0,2132.0,239.0,3201.0,0.0022139200221392,43.577902310779024,7.783312577833126e-05,15.359070153590702,0.00012972187629721878,78.79306766293068,0.0008734606337346063,24.24934274249343,0.00242147502421475,137.7300401273004,0.00242147502421475,137.7300401273004,0.1924812030075188,3788.721804511278,0.006766917293233083,1335.3383458646617,0.011278195488721804,6850.375939849624,0.07593984962406015,2108.2706766917295,0.21052631578947367,11974.436090225563,0.21052631578947367,11974.436090225563,14000US06075010100,ca,8983.0,3827.0,2160.0,2018.0,67.0,1160.0,50.0,333.0,82155.0,95.0,169.0,547.0,799800.0,1973.0,2374.0,3807.0,365.0,129.0,278.0,56.0,157.0,40.0,101.0,15002.0,79.0,95.0,208.0,98217.0,5.0,238.0,351.0,"Census Tract 101, San Francisco County, California",2762.0,2160.0,3089.0,218.69802563152967,234.46375866509504,136.33430191544065,0.5273059837993206,0.017507185785210346,0.5370370370370371,0.023148148148148147,0.04398148148148148,0.8941404985432179,0.14368268978198057,0.03186454541588862,0.008837259983706991,0.023480413776907825,0.023480413776907825,0.023480413776907825,0.01225584169833696,0.055833012431316074,0.03222241159154013,5231218.561363909,1843747.6017031758,9458549.774277948,2910961.866652987,16533515.937345034,16533515.937345034,85288.89877135384,830309.3084697073,45.24023247339758,15.944959887428876,81.79872158466469,25.174362344791987,142.98391394549117,142.98391394549117,3933.247038619481,1386.276392258027,7111.69155960748,2188.6931328217947,12431.214990484987,12431.214990484987
101.0,2015,4,1,6,75,41884.0,N,L,7,290,5409000,18,3522000,12,6889000,138,3713000,60% to 70% of MFI,moderate,320,15820000,18651.724137931036,320.0,15820000.0,125088.0,28824.0,71704.0,24560.0,20568.0,34728.0,69792.0,96.0,0.0,0.0,464.0,984.0,2784.0,23384.0,1248.0,5976.0,1104.0,3920.0,19024.0,80.0,8984.0,4904.0,10560.0,2472.0,35880.0,3224.0,0.0,81112.0,7608.0,960.0,31488.0,536.0,3384.0,103456.0,21632.0,13448.0,19112.0,26848.0,36856.0,59584.0,65504.0,351.0,385.0,296.0,1255.0,5963.0,1488.0,723.0,1985.0,294.0,3760.0,0.00231836786902021,43.24155794320798,0.00014389869531849578,28.15617805065234,9.593246354566385e-05,55.07322844717319,0.0011032233307751342,29.683103095420822,0.0025581990278843694,126.47096444103352,0.0025581990278843694,126.47096444103352,0.19489247311827956,3635.0806451612902,0.012096774193548387,2366.935483870968,0.008064516129032258,4629.704301075269,0.09274193548387097,2495.2956989247314,0.21505376344086022,10631.720430107527,0.21505376344086022,10631.720430107527,14000US06075010100,ca,8989.0,3798.0,2049.0,2124.0,53.0,1205.0,38.0,346.0,81729.0,157.0,116.0,589.0,789700.0,1975.0,2257.0,3779.0,357.0,114.0,283.0,44.0,162.0,35.0,97.0,19443.0,91.0,70.0,215.0,101288.0,3.0,260.0,345.0,"Census Tract 101, San Francisco County, California",2718.0,2049.0,3068.0,217.69793958838105,240.96807432813537,132.54510283251813,0.5592417061611374,0.013954713006845709,0.5880917520741825,0.018545632015617375,0.07662274280136652,0.8859191655801826,0.15586133897856574,0.032103296279987446,0.006997293425632505,0.02535030704572156,0.02535030704572156,0.02535030704572156,0.008451759427299076,0.05852442276457701,0.03348646960527014,5620354.336840575,3659620.6275379,7158184.697077965,3858083.869973942,16438159.66145644,16438159.66145644,84922.52534583902,820557.1861347756,44.931203127722675,29.256368536853255,57.22519104213007,30.842957517699073,131.412762706706,131.412762706706,3777.1198500272676,2459.4224647432125,4810.607995348095,2592.798299713671,11047.150310118575,11047.150310118575
101.0,2016,4,1,6,75,41884.0,N,L,7,268,5168000,14,2887000,15,8992000,129,3500000,60% to 70% of MFI,moderate,297,17047000,19283.582089552237,297.0,17047000.0,125088.0,28824.0,71704.0,24560.0,20568.0,34728.0,69792.0,96.0,0.0,0.0,464.0,984.0,2784.0,23384.0,1248.0,5976.0,1104.0,3920.0,19024.0,80.0,8984.0,4904.0,10560.0,2472.0,35880.0,3224.0,0.0,81112.0,7608.0,960.0,31488.0,536.0,3384.0,103456.0,21632.0,13448.0,19112.0,26848.0,36856.0,59584.0,65504.0,351.0,385.0,296.0,1255.0,5963.0,1488.0,723.0,1985.0,294.0,3760.0,0.0021424916858531593,41.31491430033257,0.00011192120746994116,23.079751854694294,0.00011991557943207981,71.88539268355078,0.0010312739831158863,27.98030186748529,0.0023743284727551803,136.28005883857765,0.0023743284727551803,136.28005883857765,0.18010752688172044,3473.1182795698924,0.009408602150537635,1940.1881720430108,0.010080645161290322,6043.010752688172,0.08669354838709678,2352.1505376344085,0.19959677419354838,11456.317204301075,0.19959677419354838,11456.317204301075,14000US06075010100,ca,8985.0,4000.0,2059.0,2064.0,151.0,1213.0,81.0,214.0,74250.0,253.0,121.0,711.0,818800.0,1975.0,2296.0,3972.0,305.0,135.0,334.0,153.0,187.0,70.0,79.0,39737.0,100.0,89.0,275.0,85428.0,3.0,250.0,291.0,"Census Tract 101, San Francisco County, California",2813.0,2059.0,3284.0,212.9951002312866,247.4096919992459,133.87669024647565,0.516,0.03775,0.5891209324915008,0.03933948518698397,0.12287518212724624,0.8565773447015834,0.17900302114803626,0.04477161748153674,0.02318634669571253,0.031134228167034705,0.031134228167034705,0.031134228167034705,0.003946281743481617,0.05628587015089647,0.04132599365907807,5297202.18136386,2959176.2185753607,9216803.795438047,3587501.477316856,17473182.195377268,17473182.195377268,76106.28134022187,839270.3456077261,42.347804596474965,23.65675539280635,73.68255784278305,28.679821224392875,139.6871178320644,139.6871178320644,3559.947702529476,1988.6936952791402,6194.088572202989,2410.9552938957363,11742.729970011604,11742.729970011604
101.0,2017,4,1,6,75,41884.0,N,L,8,250,4522000,11,2156000,12,8200000,138,3141000,70% to 80% of MFI,moderate,273,14878000,18088.0,273.0,14878000.0,125088.0,28824.0,71704.0,24560.0,20568.0,34728.0,69792.0,96.0,0.0,0.0,464.0,984.0,2784.0,23384.0,1248.0,5976.0,1104.0,3920.0,19024.0,80.0,8984.0,4904.0,10560.0,2472.0,35880.0,3224.0,0.0,81112.0,7608.0,960.0,31488.0,536.0,3384.0,103456.0,21632.0,13448.0,19112.0,26848.0,36856.0,59584.0,65504.0,351.0,385.0,296.0,1255.0,5963.0,1488.0,723.0,1985.0,294.0,3760.0,0.0019985929905346634,36.150550012790994,8.79380915835252e-05,17.23586595037094,9.593246354566385e-05,65.55385008953697,0.0011032233307751342,25.110322333077512,0.0021824635456638526,118.9402660526989,0.0021824635456638526,118.9402660526989,0.16801075268817203,3038.978494623656,0.00739247311827957,1448.9247311827958,0.008064516129032258,5510.752688172043,0.09274193548387097,2110.8870967741937,0.18346774193548387,9998.655913978495,0.18346774193548387,9998.655913978495,14000US06075010100,ca,8984.0,3967.0,2035.0,1955.0,135.0,1157.0,58.0,202.0,83495.0,227.0,112.0,532.0,870600.0,1976.0,2377.0,3938.0,251.0,122.0,291.0,126.0,173.0,58.0,65.0,21228.0,106.0,76.0,169.0,109655.0,3.0,236.0,237.0,"Census Tract 101, San Francisco County, California",2813.0,2035.0,3328.0,213.70699407705175,235.74480625644264,140.50971831399661,0.4928157297706075,0.03403075371817494,0.5685503685503686,0.0285012285012285,0.11154791154791155,0.8452524038461539,0.1350939563230066,0.0403635544248433,0.01926381077694879,0.029490413586193365,0.029490413586193365,0.029490413586193365,0.014107210340441496,0.05458017627865865,0.025615803376758617,4522000.0,2156000.0,8200000.0,3141000.0,14878000.0,14878000.0,83495.0,870600.0,36.150550012790994,17.23586595037094,65.55385008953697,25.110322333077512,118.9402660526989,118.9402660526989,3038.978494623656,1448.9247311827958,5510.752688172043,2110.8870967741937,9998.655913978495,9998.655913978495
102.0,2011,4,1,6,75,41884.0,N,L,13,204,2939000,6,1125000,0,0,107,1614000,> 120% of MFI,upper,210,4064000,14406.862745098038,210.0,4064000.0,35304.0,8992.0,20216.0,6096.0,4816.0,12464.0,18024.0,0.0,0.0,80.0,192.0,32.0,504.0,6896.0,256.0,392.0,2784.0,2568.0,3960.0,672.0,3080.0,608.0,552.0,16.0,8640.0,4000.0,72.0,25064.0,1600.0,272.0,7288.0,64.0,1016.0,28936.0,6368.0,3832.0,4408.0,7240.0,10832.0,17216.0,18088.0,90.0,118.0,69.0,295.0,1728.0,524.0,338.0,634.0,53.0,751.0,0.005778382053025153,83.2483571266712,0.0001699524133242692,31.866077498300477,0.0,0.0,0.003030818037616134,45.71719918422841,0.005948334466349422,115.11443462497168,0.005948334466349422,115.11443462497168,0.3893129770992366,5608.778625954198,0.011450381679389313,2146.946564885496,0.0,0.0,0.20419847328244276,3080.1526717557254,0.40076335877862596,7755.725190839695,0.40076335877862596,7755.725190839695,14000US06075010200,ca,21868.0,4128.0,2653.0,3436.0,44.0,2184.0,44.0,819.0,166094.0,31.0,184.0,218.0,1000001.0,1939.0,2883.0,4128.0,317.0,197.0,322.0,51.0,222.0,51.0,164.0,29201.0,30.0,111.0,131.0,,,301.0,317.0,"Census Tract 102, San Francisco County, California",3569.0,2653.0,3619.0,246.85192844330228,241.1091231389143,172.14384396898154,0.8323643410852714,0.01065891472868217,0.8232189973614775,0.016584998115341122,0.011684885035808518,0.9861840287372202,0.05281007751937984,0.027178816507634474,0.007493925017208918,0.03451040877681726,0.03451040877681726,0.03451040877681726,0.011139074111778037,0.05189277262386233,0.019133315112240135,3240823.260967293,1240532.891659818,0.0,1779751.188567952,4481356.1526271105,4481356.1526271105,183151.1734287518,1102697.0063935195,91.79762239313655,35.13859312428671,0.0,50.41216826897666,126.93621551742326,126.93621551742326,6184.777215586437,2367.4291825569044,0.0,3396.4717339083054,8552.206398143342,8552.206398143342
102.0,2012,4,1,6,75,41884.0,N,L,13,164,2319000,6,1107000,0,0,88,1286000,> 120% of MFI,upper,170,3426000,14140.243902439024,170.0,3426000.0,49976.0,12128.0,29504.0,8344.0,6472.0,16600.0,26904.0,0.0,0.0,128.0,88.0,0.0,928.0,12696.0,208.0,48.0,3288.0,2992.0,7648.0,816.0,2672.0,792.0,2040.0,72.0,11776.0,3736.0,48.0,35000.0,2392.0,336.0,10712.0,48.0,1488.0,41664.0,8312.0,4592.0,6520.0,10800.0,15936.0,23392.0,26584.0,137.0,183.0,55.0,329.0,2531.0,529.0,383.0,830.0,47.0,1446.0,0.003281575156074916,46.40227309108372,0.00012005762766127741,22.150632303505684,0.0,0.0,0.0017608452056987354,25.73235152873379,0.0034016327837361935,68.5529053945894,0.0034016327837361935,68.5529053945894,0.31001890359168244,4383.742911153119,0.011342155009451797,2092.6275992438564,0.0,0.0,0.166351606805293,2431.001890359168,0.32136105860113423,6476.370510396975,0.32136105860113423,6476.370510396975,14000US06075010200,ca,21828.0,4040.0,2675.0,3330.0,45.0,2133.0,45.0,831.0,171289.0,28.0,158.0,234.0,1000001.0,1939.0,2847.0,4040.0,276.0,155.0,265.0,53.0,183.0,53.0,160.0,17570.0,29.0,95.0,122.0,,,218.0,276.0,"Census Tract 102, San Francisco County, California",3553.0,2675.0,3608.0,245.41433228709525,234.47400329659297,152.85460134565542,0.8242574257425742,0.011138613861386138,0.7973831775700935,0.016822429906542057,0.010467289719626169,0.9847560975609756,0.057920792079207924,0.020450219111689892,0.007961534193828784,0.030203872266444307,0.030203872266444307,0.030203872266444307,0.014009325017366323,0.05233812818734866,0.018199178726198403,2484475.507908147,1185991.542584872,0.0,1377764.3394436727,3670467.050493019,3670467.050493019,183511.5676041736,1071357.478388812,49.7133725769999,23.73122183817977,0.0,27.568519678319046,73.44459441517967,73.44459441517967,4696.55105464678,2241.949985982745,0.0,2604.4694507441827,6938.501040629525,6938.501040629525
102.0,2013,4,1,6,75,41884.0,N,L,13,169,2610000,6,1175000,4,2194000,89,2218000,> 120% of MFI,upper,179,5979000,15443.78698224852,179.0,5979000.0,51616.0,12004.0,31160.0,8452.0,5408.0,16520.0,29688.0,0.0,0.0,176.0,0.0,448.0,760.0,12808.0,256.0,112.0,3560.0,3352.0,8688.0,1000.0,3392.0,1560.0,608.0,48.0,11080.0,3656.0,112.0,36356.0,2568.0,328.0,10596.0,128.0,1640.0,42512.0,9104.0,4864.0,6740.0,11432.0,16576.0,24920.0,26696.0,216.0,185.0,114.0,198.0,2556.0,527.0,383.0,852.0,49.0,1458.0,0.003274178549287043,50.565716057036575,0.00011624302541847489,22.764259144451334,7.749535027898326e-05,42.506199628022316,0.0017242715437073776,42.971171729696216,0.003467916924984501,115.83617482951023,0.003467916924984501,115.83617482951023,0.3206831119544592,4952.561669829222,0.011385199240986717,2229.6015180265654,0.007590132827324478,4163.187855787476,0.16888045540796964,4208.728652751423,0.3396584440227704,11345.351043643264,0.3396584440227704,11345.351043643264,14000US06075010200,ca,8984.0,4028.0,2547.0,3416.0,19.0,2163.0,19.0,739.0,161553.0,36.0,159.0,196.0,1000001.0,1939.0,2889.0,4028.0,325.0,186.0,331.0,30.0,194.0,30.0,126.0,32338.0,37.0,91.0,102.0,,,299.0,325.0,"Census Tract 102, San Francisco County, California",3581.0,2547.0,3637.0,241.86967094347497,245.44294088420054,168.2221858683667,0.8480635551142006,0.0047169811320754715,0.8492343934040048,0.00745975657636435,0.014134275618374558,0.9846026945284575,0.04865938430983118,0.027661589915322648,0.004521662236997236,0.034840683924973054,0.034840683924973054,0.034840683924973054,0.0016677144110081943,0.050776233336195964,0.01520761979309085,2752344.0594059406,1239082.0957095711,2313656.270627063,2338965.181518152,6305082.425742575,6305082.425742575,170363.77004950496,1054539.0083333335,53.323466742985524,24.00577525785747,44.82440077935258,45.31473150802371,122.15364278019557,122.15364278019557,5222.664249347136,2351.1994225988064,4390.239602707899,4438.2641015524705,11964.103274653842,11964.103274653842
