respondentID,activity_year,assessment_area_number,income_group_code,agency_code,loan_type,action_taken_type,state,county,msa,partial_county_indicator,split_county_indicator,population_classification,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,nLoans,amtLoans,institution_name,agency,income_group,cra_level,avgSmallLoan,nWorkingLoans,amtWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj
209,2017,,3,1,4,1,6,75,41884.0,N,N,L,3,69000,0,0,0,0,0,0,0,0,3,69000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,20% to 30% of MFI,low,23000.0,3.0,69000.0,69000.0,0.0,0.0,0.0,69000.0,69000.0
209,2017,,4,1,4,1,6,75,41884.0,N,N,L,3,69000,1,109000,0,0,0,0,0,0,4,178000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,30% to 40% of MFI,low,23000.0,4.0,178000.0,69000.0,109000.0,0.0,0.0,178000.0,178000.0
209,2017,,5,1,4,1,6,75,41884.0,N,N,L,5,94000,0,0,0,0,2,25000,0,0,5,94000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,40% to 50% of MFI,low,18800.0,5.0,94000.0,94000.0,0.0,0.0,25000.0,94000.0,94000.0
209,2017,,6,1,4,1,6,75,41884.0,N,N,L,1,10000,0,0,0,0,0,0,0,0,1,10000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,50% to 60% of MFI,moderate,10000.0,1.0,10000.0,10000.0,0.0,0.0,0.0,10000.0,10000.0
209,2017,,7,1,4,1,6,75,41884.0,N,N,L,3,31000,0,0,0,0,0,0,0,0,3,31000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,60% to 70% of MFI,moderate,10333.333333333334,3.0,31000.0,31000.0,0.0,0.0,0.0,31000.0,31000.0
209,2017,,8,1,4,1,6,75,41884.0,N,N,L,3,19000,0,0,0,0,2,14000,0,0,3,19000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,70% to 80% of MFI,moderate,6333.333333333333,0.0,0.0,19000.0,0.0,0.0,14000.0,19000.0,0.0
209,2017,,9,1,4,1,6,75,41884.0,N,N,L,4,46000,0,0,0,0,0,0,0,0,4,46000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,80% to 90% of MFI,middle,11500.0,4.0,46000.0,46000.0,0.0,0.0,0.0,46000.0,46000.0
209,2017,,10,1,4,1,6,75,41884.0,N,N,L,4,41000,0,0,0,0,0,0,0,0,4,41000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,90% to 100% of MFI,middle,10250.0,4.0,41000.0,41000.0,0.0,0.0,0.0,41000.0,41000.0
209,2017,,11,1,4,1,6,75,41884.0,N,N,L,7,66000,0,0,0,0,1,16000,0,0,7,66000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,100% to 110% of MFI,middle,9428.57142857143,0.0,0.0,66000.0,0.0,0.0,16000.0,66000.0,0.0
209,2017,,12,1,4,1,6,75,41884.0,N,N,L,3,33000,0,0,0,0,0,0,0,0,3,33000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,110% to 120% of MFI,middle,11000.0,3.0,33000.0,33000.0,0.0,0.0,0.0,33000.0,33000.0
209,2017,,13,1,4,1,6,75,41884.0,N,N,L,14,199000,1,240000,1,400000,1,14000,0,0,16,839000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,> 120% of MFI,upper,14214.285714285714,16.0,839000.0,199000.0,240000.0,400000.0,14000.0,839000.0,839000.0
1316,2017,,3,1,4,1,6,75,41884.0,N,N,L,0,0,0,0,1,500000,0,0,0,0,1,500000,PNC BANK N.A. (PA),OCC,20% to 30% of MFI,low,,,0.0,0.0,0.0,500000.0,0.0,500000.0,0.0
1316,2017,,5,1,4,1,6,75,41884.0,N,N,L,1,20000,0,0,0,0,1,20000,0,0,1,20000,PNC BANK N.A. (PA),OCC,40% to 50% of MFI,low,20000.0,1.0,20000.0,20000.0,0.0,0.0,20000.0,20000.0,20000.0
1316,2017,,9,1,4,1,6,75,41884.0,N,N,L,1,2000,0,0,0,0,0,0,0,0,1,2000,PNC BANK N.A. (PA),OCC,80% to 90% of MFI,middle,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,2000.0,0.0
1316,2017,,13,1,4,1,6,75,41884.0,N,N,L,2,12000,1,200000,1,700000,4,912000,0,0,4,912000,PNC BANK N.A. (PA),OCC,> 120% of MFI,upper,6000.0,2.0,900000.0,12000.0,200000.0,700000.0,912000.0,912000.0,900000.0
14583,2017,,3,1,4,1,6,75,41884.0,N,N,L,1,24000,0,0,0,0,0,0,0,0,1,24000,"BMO Harris Bank, N.A. (IL)",OCC,20% to 30% of MFI,low,24000.0,1.0,24000.0,24000.0,0.0,0.0,0.0,24000.0,24000.0
14583,2017,,7,1,4,1,6,75,41884.0,N,N,L,1,96000,0,0,0,0,0,0,0,0,1,96000,"BMO Harris Bank, N.A. (IL)",OCC,60% to 70% of MFI,moderate,96000.0,1.0,96000.0,96000.0,0.0,0.0,0.0,96000.0,96000.0
14583,2017,,8,1,4,1,6,75,41884.0,N,N,L,1,49000,1,104000,0,0,0,0,0,0,2,153000,"BMO Harris Bank, N.A. (IL)",OCC,70% to 80% of MFI,moderate,49000.0,2.0,153000.0,49000.0,104000.0,0.0,0.0,153000.0,153000.0
14583,2017,,10,1,4,1,6,75,41884.0,N,N,L,1,66000,1,148000,0,0,0,0,0,0,2,214000,"BMO Harris Bank, N.A. (IL)",OCC,90% to 100% of MFI,middle,66000.0,2.0,214000.0,66000.0,148000.0,0.0,0.0,214000.0,214000.0
14583,2017,,11,1,4,1,6,75,41884.0,N,N,L,1,100000,1,104000,0,0,0,0,0,0,2,204000,"BMO Harris Bank, N.A. (IL)",OCC,100% to 110% of MFI,middle,100000.0,2.0,204000.0,100000.0,104000.0,0.0,0.0,204000.0,204000.0
14583,2017,,13,1,4,1,6,75,41884.0,N,N,L,2,123000,4,820000,2,609000,0,0,0,0,8,1552000,"BMO Harris Bank, N.A. (IL)",OCC,> 120% of MFI,upper,61500.0,8.0,1552000.0,123000.0,820000.0,609000.0,0.0,1552000.0,1552000.0
15576,2017,,5,1,4,1,6,75,41884.0,N,N,L,2,41000,1,150000,1,290000,1,290000,0,0,4,481000,STEARNS BANK N A (MN),OCC,40% to 50% of MFI,low,20500.0,4.0,481000.0,41000.0,150000.0,290000.0,290000.0,481000.0,481000.0
15576,2017,,6,1,4,1,6,75,41884.0,N,N,L,1,80000,0,0,0,0,0,0,0,0,1,80000,STEARNS BANK N A (MN),OCC,50% to 60% of MFI,moderate,80000.0,1.0,80000.0,80000.0,0.0,0.0,0.0,80000.0,80000.0
15576,2017,,9,1,4,1,6,75,41884.0,N,N,L,1,23000,1,249000,0,0,1,249000,0,0,2,272000,STEARNS BANK N A (MN),OCC,80% to 90% of MFI,middle,23000.0,2.0,272000.0,23000.0,249000.0,0.0,249000.0,272000.0,272000.0
15576,2017,,10,1,4,1,6,75,41884.0,N,N,L,1,25000,0,0,0,0,0,0,0,0,1,25000,STEARNS BANK N A (MN),OCC,90% to 100% of MFI,middle,25000.0,1.0,25000.0,25000.0,0.0,0.0,0.0,25000.0,25000.0
15576,2017,,13,1,4,1,6,75,41884.0,N,N,L,1,16000,0,0,0,0,0,0,0,0,1,16000,STEARNS BANK N A (MN),OCC,> 120% of MFI,upper,16000.0,1.0,16000.0,16000.0,0.0,0.0,0.0,16000.0,16000.0
18480,2017,,13,1,4,1,6,75,41884.0,N,N,L,0,0,1,250000,0,0,0,0,0,0,1,250000,,OCC,> 120% of MFI,upper,,,0.0,0.0,250000.0,0.0,0.0,250000.0,0.0
23160,2017,,3,1,4,1,6,75,41884.0,N,N,L,301,3745000,0,0,0,0,178,2605000,0,0,301,3745000,"Chase Bank USA, NA (DE)",OCC,20% to 30% of MFI,low,12441.860465116279,301.0,3745000.0,3745000.0,0.0,0.0,2605000.0,3745000.0,3745000.0
23160,2017,,4,1,4,1,6,75,41884.0,N,N,L,266,3106000,0,0,0,0,174,2128000,0,0,266,3106000,"Chase Bank USA, NA (DE)",OCC,30% to 40% of MFI,low,11676.69172932331,266.0,3106000.0,3106000.0,0.0,0.0,2128000.0,3106000.0,3106000.0
23160,2017,,5,1,4,1,6,75,41884.0,N,N,L,712,9116000,0,0,0,0,365,5316000,0,0,712,9116000,"Chase Bank USA, NA (DE)",OCC,40% to 50% of MFI,low,12803.370786516854,712.0,9116000.0,9116000.0,0.0,0.0,5316000.0,9116000.0,9116000.0
23160,2017,,6,1,4,1,6,75,41884.0,N,N,L,349,4267000,0,0,0,0,262,3570000,0,0,349,4267000,"Chase Bank USA, NA (DE)",OCC,50% to 60% of MFI,moderate,12226.361031518625,349.0,4267000.0,4267000.0,0.0,0.0,3570000.0,4267000.0,4267000.0
23160,2017,,7,1,4,1,6,75,41884.0,N,N,L,585,6746000,0,0,0,0,381,4665000,0,0,585,6746000,"Chase Bank USA, NA (DE)",OCC,60% to 70% of MFI,moderate,11531.623931623932,585.0,6746000.0,6746000.0,0.0,0.0,4665000.0,6746000.0,6746000.0
23160,2017,,8,1,4,1,6,75,41884.0,N,N,L,706,8280000,0,0,0,0,549,7153000,0,0,706,8280000,"Chase Bank USA, NA (DE)",OCC,70% to 80% of MFI,moderate,11728.045325779036,706.0,8280000.0,8280000.0,0.0,0.0,7153000.0,8280000.0,8280000.0
23160,2017,,9,1,4,1,6,75,41884.0,N,N,L,682,8096000,0,0,0,0,541,6926000,0,0,682,8096000,"Chase Bank USA, NA (DE)",OCC,80% to 90% of MFI,middle,11870.967741935483,682.0,8096000.0,8096000.0,0.0,0.0,6926000.0,8096000.0,8096000.0
23160,2017,,10,1,4,1,6,75,41884.0,N,N,L,881,10650000,0,0,0,0,694,9162000,0,0,881,10650000,"Chase Bank USA, NA (DE)",OCC,90% to 100% of MFI,middle,12088.535754824063,881.0,10650000.0,10650000.0,0.0,0.0,9162000.0,10650000.0,10650000.0
23160,2017,,11,1,4,1,6,75,41884.0,N,N,L,691,7699000,0,0,0,0,507,6173000,0,0,691,7699000,"Chase Bank USA, NA (DE)",OCC,100% to 110% of MFI,middle,11141.823444283647,691.0,7699000.0,7699000.0,0.0,0.0,6173000.0,7699000.0,7699000.0
23160,2017,,12,1,4,1,6,75,41884.0,N,N,L,440,4700000,0,0,0,0,281,3524000,0,0,440,4700000,"Chase Bank USA, NA (DE)",OCC,110% to 120% of MFI,middle,10681.818181818182,440.0,4700000.0,4700000.0,0.0,0.0,3524000.0,4700000.0,4700000.0
23160,2017,,13,1,4,1,6,75,41884.0,N,N,L,3056,34300000,1,180000,0,0,1802,22873000,0,0,3057,34480000,"Chase Bank USA, NA (DE)",OCC,> 120% of MFI,upper,11223.821989528797,3057.0,34480000.0,34300000.0,180000.0,0.0,22873000.0,34480000.0,34480000.0
23160,2017,,14,1,4,1,6,75,41884.0,N,N,L,181,1879000,0,0,0,0,117,1314000,0,0,181,1879000,"Chase Bank USA, NA (DE)",OCC,,unknown,10381.21546961326,181.0,1879000.0,1879000.0,0.0,0.0,1314000.0,1879000.0,1879000.0
23160,2017,,15,1,4,1,6,75,41884.0,N,N,L,88,543000,0,0,0,0,19,170000,0,0,88,543000,"Chase Bank USA, NA (DE)",OCC,,,6170.454545454545,0.0,0.0,543000.0,0.0,0.0,170000.0,543000.0,0.0
23216,2017,,4,1,4,1,6,75,41884.0,N,N,L,0,0,0,0,1,551000,0,0,0,0,1,551000,Barrington Bank and Trust (IL),OCC,30% to 40% of MFI,low,,,0.0,0.0,0.0,551000.0,0.0,551000.0,0.0
23216,2017,,6,1,4,1,6,75,41884.0,N,N,L,1,51000,0,0,0,0,0,0,0,0,1,51000,Barrington Bank and Trust (IL),OCC,50% to 60% of MFI,moderate,51000.0,1.0,51000.0,51000.0,0.0,0.0,0.0,51000.0,51000.0
23216,2017,,13,1,4,1,6,75,41884.0,N,N,L,5,167000,0,0,0,0,0,0,0,0,5,167000,Barrington Bank and Trust (IL),OCC,> 120% of MFI,upper,33400.0,5.0,167000.0,167000.0,0.0,0.0,0.0,167000.0,167000.0
23248,2017,,3,1,4,1,6,75,41884.0,N,N,L,6,165000,2,235000,1,410000,4,152000,0,0,9,810000,TEXAS CAPITAL BANK (TX),OCC,20% to 30% of MFI,low,27500.0,9.0,810000.0,165000.0,235000.0,410000.0,152000.0,810000.0,810000.0
23248,2017,,4,1,4,1,6,75,41884.0,N,N,L,8,48000,0,0,0,0,2,17000,0,0,8,48000,TEXAS CAPITAL BANK (TX),OCC,30% to 40% of MFI,low,6000.0,0.0,0.0,48000.0,0.0,0.0,17000.0,48000.0,0.0
23248,2017,,5,1,4,1,6,75,41884.0,N,N,L,16,299000,0,0,0,0,4,155000,0,0,16,299000,TEXAS CAPITAL BANK (TX),OCC,40% to 50% of MFI,low,18687.5,16.0,299000.0,299000.0,0.0,0.0,155000.0,299000.0,299000.0
23248,2017,,6,1,4,1,6,75,41884.0,N,N,L,2,12000,0,0,0,0,0,0,0,0,2,12000,TEXAS CAPITAL BANK (TX),OCC,50% to 60% of MFI,moderate,6000.0,0.0,0.0,12000.0,0.0,0.0,0.0,12000.0,0.0
23248,2017,,7,1,4,1,6,75,41884.0,N,N,L,13,229000,0,0,1,311000,4,46000,0,0,14,540000,TEXAS CAPITAL BANK (TX),OCC,60% to 70% of MFI,moderate,17615.384615384617,14.0,540000.0,229000.0,0.0,311000.0,46000.0,540000.0,540000.0
23248,2017,,8,1,4,1,6,75,41884.0,N,N,L,1,3000,0,0,0,0,1,3000,0,0,1,3000,TEXAS CAPITAL BANK (TX),OCC,70% to 80% of MFI,moderate,3000.0,0.0,0.0,3000.0,0.0,0.0,3000.0,3000.0,0.0
23248,2017,,9,1,4,1,6,75,41884.0,N,N,L,3,76000,0,0,0,0,0,0,0,0,3,76000,TEXAS CAPITAL BANK (TX),OCC,80% to 90% of MFI,middle,25333.333333333332,3.0,76000.0,76000.0,0.0,0.0,0.0,76000.0,76000.0
23248,2017,,10,1,4,1,6,75,41884.0,N,N,L,7,48000,0,0,0,0,0,0,0,0,7,48000,TEXAS CAPITAL BANK (TX),OCC,90% to 100% of MFI,middle,6857.142857142857,0.0,0.0,48000.0,0.0,0.0,0.0,48000.0,0.0
23248,2017,,11,1,4,1,6,75,41884.0,N,N,L,5,34000,0,0,0,0,1,3000,0,0,5,34000,TEXAS CAPITAL BANK (TX),OCC,100% to 110% of MFI,middle,6800.0,0.0,0.0,34000.0,0.0,0.0,3000.0,34000.0,0.0
23248,2017,,12,1,4,1,6,75,41884.0,N,N,L,6,56000,0,0,0,0,2,39000,0,0,6,56000,TEXAS CAPITAL BANK (TX),OCC,110% to 120% of MFI,middle,9333.333333333334,0.0,0.0,56000.0,0.0,0.0,39000.0,56000.0,0.0
23248,2017,,13,1,4,1,6,75,41884.0,N,N,L,32,468000,1,105000,3,1499000,6,127000,0,0,36,2072000,TEXAS CAPITAL BANK (TX),OCC,> 120% of MFI,upper,14625.0,36.0,2072000.0,468000.0,105000.0,1499000.0,127000.0,2072000.0,2072000.0
23248,2017,,14,1,4,1,6,75,41884.0,N,N,L,2,7000,0,0,0,0,0,0,0,0,2,7000,TEXAS CAPITAL BANK (TX),OCC,,unknown,3500.0,0.0,0.0,7000.0,0.0,0.0,0.0,7000.0,0.0
23253,2017,,13,1,4,1,6,75,41884.0,N,N,L,1,35000,2,282000,0,0,1,124000,0,0,3,317000,TCF National Bank (SD),OCC,> 120% of MFI,upper,35000.0,3.0,317000.0,35000.0,282000.0,0.0,124000.0,317000.0,317000.0
24571,2017,,5,1,4,1,6,75,41884.0,N,N,L,0,0,0,0,1,671000,0,0,0,0,1,671000,"Citizens Bank, NA (RI)",OCC,40% to 50% of MFI,low,,,0.0,0.0,0.0,671000.0,0.0,671000.0,0.0
24571,2017,,13,1,4,1,6,75,41884.0,N,N,L,4,163000,0,0,0,0,4,163000,0,0,4,163000,"Citizens Bank, NA (RI)",OCC,> 120% of MFI,upper,40750.0,4.0,163000.0,163000.0,0.0,0.0,163000.0,163000.0,163000.0
24646,2017,,13,1,4,1,6,75,41884.0,N,N,L,0,0,0,0,2,1100000,0,0,0,0,2,1100000,Old Plank Trail Community Bank (IL),OCC,> 120% of MFI,upper,,,0.0,0.0,0.0,1100000.0,0.0,1100000.0,0.0
24828,2017,,3,1,4,1,6,75,41884.0,N,N,L,122,828000,0,0,0,0,41,388000,0,0,122,828000,"Capital One Bank (USA), N.A. (VA)",OCC,20% to 30% of MFI,low,6786.88524590164,0.0,0.0,828000.0,0.0,0.0,388000.0,828000.0,0.0
24828,2017,,4,1,4,1,6,75,41884.0,N,N,L,106,659000,0,0,0,0,26,216000,0,0,106,659000,"Capital One Bank (USA), N.A. (VA)",OCC,30% to 40% of MFI,low,6216.981132075472,0.0,0.0,659000.0,0.0,0.0,216000.0,659000.0,0.0
24828,2017,,5,1,4,1,6,75,41884.0,N,N,L,249,1727000,0,0,0,0,62,505000,0,0,249,1727000,"Capital One Bank (USA), N.A. (VA)",OCC,40% to 50% of MFI,low,6935.74297188755,0.0,0.0,1727000.0,0.0,0.0,505000.0,1727000.0,0.0
24828,2017,,6,1,4,1,6,75,41884.0,N,N,L,52,627000,0,0,0,0,31,321000,0,0,52,627000,"Capital One Bank (USA), N.A. (VA)",OCC,50% to 60% of MFI,moderate,12057.692307692309,52.0,627000.0,627000.0,0.0,0.0,321000.0,627000.0,627000.0
24828,2017,,7,1,4,1,6,75,41884.0,N,N,L,107,1323000,0,0,0,0,51,679000,0,0,107,1323000,"Capital One Bank (USA), N.A. (VA)",OCC,60% to 70% of MFI,moderate,12364.485981308411,107.0,1323000.0,1323000.0,0.0,0.0,679000.0,1323000.0,1323000.0
24828,2017,,8,1,4,1,6,75,41884.0,N,N,L,104,845000,0,0,0,0,54,552000,0,0,104,845000,"Capital One Bank (USA), N.A. (VA)",OCC,70% to 80% of MFI,moderate,8125.0,0.0,0.0,845000.0,0.0,0.0,552000.0,845000.0,0.0
24828,2017,,9,1,4,1,6,75,41884.0,N,N,L,102,1048000,0,0,0,0,62,733000,0,0,102,1048000,"Capital One Bank (USA), N.A. (VA)",OCC,80% to 90% of MFI,middle,10274.509803921568,102.0,1048000.0,1048000.0,0.0,0.0,733000.0,1048000.0,1048000.0
24828,2017,,10,1,4,1,6,75,41884.0,N,N,L,108,1043000,0,0,0,0,65,722000,0,0,108,1043000,"Capital One Bank (USA), N.A. (VA)",OCC,90% to 100% of MFI,middle,9657.407407407407,0.0,0.0,1043000.0,0.0,0.0,722000.0,1043000.0,0.0
24828,2017,,11,1,4,1,6,75,41884.0,N,N,L,108,1244000,0,0,0,0,64,782000,0,0,108,1244000,"Capital One Bank (USA), N.A. (VA)",OCC,100% to 110% of MFI,middle,11518.518518518518,108.0,1244000.0,1244000.0,0.0,0.0,782000.0,1244000.0,1244000.0
24828,2017,,12,1,4,1,6,75,41884.0,N,N,L,92,1001000,0,0,0,0,54,610000,0,0,92,1001000,"Capital One Bank (USA), N.A. (VA)",OCC,110% to 120% of MFI,middle,10880.434782608696,92.0,1001000.0,1001000.0,0.0,0.0,610000.0,1001000.0,1001000.0
24828,2017,,13,1,4,1,6,75,41884.0,N,N,L,698,7238000,0,0,0,0,349,3622000,0,0,698,7238000,"Capital One Bank (USA), N.A. (VA)",OCC,> 120% of MFI,upper,10369.627507163324,698.0,7238000.0,7238000.0,0.0,0.0,3622000.0,7238000.0,7238000.0
24828,2017,,14,1,4,1,6,75,41884.0,N,N,L,43,491000,0,0,0,0,22,230000,0,0,43,491000,"Capital One Bank (USA), N.A. (VA)",OCC,,unknown,11418.60465116279,43.0,491000.0,491000.0,0.0,0.0,230000.0,491000.0,491000.0
