respondentID,activity_year,assessment_area_number,income_group_code,agency_code,loan_type,action_taken_type,state,county,msa,partial_county_indicator,split_county_indicator,population_classification,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,nLoans,amtLoans,institution_name,agency,income_group,cra_level,avgSmallLoan,nWorkingLoans,amtWorkingLoans,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj
1,2017,,101,1,4,1,29,510,41180.0,N,N,S,14,575000,0,0,0,0,9,278000,0,0,14,575000,"WELLS FARGO BANK, N.A. (CA)",OCC,,,41071.42857142857,14.0,575000.0,575000.0,0.0,0.0,278000.0,575000.0,575000.0
1,2017,,102,1,4,1,29,510,41180.0,N,N,S,10,497000,0,0,0,0,7,383000,0,0,10,497000,"WELLS FARGO BANK, N.A. (CA)",OCC,,,49700.0,10.0,497000.0,497000.0,0.0,0.0,383000.0,497000.0,497000.0
1,2017,,103,1,4,1,29,510,41180.0,N,N,S,17,828000,0,0,0,0,14,658000,0,0,17,828000,"WELLS FARGO BANK, N.A. (CA)",OCC,,,48705.882352941175,17.0,828000.0,828000.0,0.0,0.0,658000.0,828000.0,828000.0
1,2017,,104,1,4,1,29,510,41180.0,N,N,S,7,355000,1,126000,1,500000,6,379000,0,0,9,981000,"WELLS FARGO BANK, N.A. (CA)",OCC,,,50714.28571428572,9.0,981000.0,355000.0,126000.0,500000.0,379000.0,981000.0,981000.0
1,2017,,105,1,4,1,29,510,41180.0,N,N,S,2,36000,0,0,0,0,2,36000,0,0,2,36000,"WELLS FARGO BANK, N.A. (CA)",OCC,,,18000.0,2.0,36000.0,36000.0,0.0,0.0,36000.0,36000.0,36000.0
1,2017,,106,1,4,1,29,510,41180.0,N,N,S,1,19000,0,0,0,0,1,19000,0,0,1,19000,"WELLS FARGO BANK, N.A. (CA)",OCC,,,19000.0,1.0,19000.0,19000.0,0.0,0.0,19000.0,19000.0,19000.0
8,2017,,101,1,4,1,29,510,41180.0,N,N,S,4,177000,0,0,0,0,0,0,0,0,4,177000,JPMorgan Chase Bank NA (OH),OCC,,,44250.0,4.0,177000.0,177000.0,0.0,0.0,0.0,177000.0,177000.0
8,2017,,102,1,4,1,29,510,41180.0,N,N,S,2,92000,0,0,0,0,0,0,0,0,2,92000,JPMorgan Chase Bank NA (OH),OCC,,,46000.0,2.0,92000.0,92000.0,0.0,0.0,0.0,92000.0,92000.0
8,2017,,103,1,4,1,29,510,41180.0,N,N,S,4,136000,0,0,0,0,0,0,0,0,4,136000,JPMorgan Chase Bank NA (OH),OCC,,,34000.0,4.0,136000.0,136000.0,0.0,0.0,0.0,136000.0,136000.0
209,2017,,101,1,4,1,29,510,41180.0,N,N,S,3,89000,0,0,0,0,0,0,0,0,3,89000,FIRST NATIONAL BANK OF OMAHA (NE),OCC,,,29666.666666666668,3.0,89000.0,89000.0,0.0,0.0,0.0,89000.0,89000.0
