,STUSAB,LOGRECNO,B01001_001,B02001_002,B02001_003,B11001_006,B11001A_006,B11001B_006,B15002_011,B15002_028,C15002A_004,C15002A_009,C15002B_004,C15002B_009,B17001_002,B17001A_002,B17001B_002,B19113_001,B19113A_001,B19113B_001,B23025_005,B25003_002,B25003A_002,B25003B_002,B25035_001,B25077_001
0,md,1327,3520,3364,66,71,48,8,722,609,705.0,589.0,17.0,0.0,414.0,382.0,0.0,60354.0,60833.0,,150,1275,1260,8,1974.0,147100.0
1,md,1328,4076,2947,871,51,51,0,1090,350,665.0,343.0,301.0,0.0,346.0,314.0,2.0,60065.0,60065.0,,99,941,941,0,1964.0,150300.0
2,md,1329,2622,2537,36,145,141,4,435,317,422.0,300.0,9.0,9.0,418.0,406.0,5.0,51298.0,52115.0,,192,868,837,13,1948.0,99200.0
3,md,1330,2782,2438,229,192,156,36,369,382,304.0,326.0,43.0,47.0,477.0,310.0,97.0,67727.0,69091.0,2499.0,48,751,741,10,1951.0,125100.0
4,md,1331,2324,1743,410,90,63,18,399,333,320.0,282.0,33.0,32.0,682.0,547.0,52.0,44412.0,55417.0,40139.0,144,462,425,18,1950.0,78900.0
5,md,1332,2789,2648,96,185,185,0,335,410,320.0,405.0,15.0,0.0,424.0,377.0,40.0,53833.0,54000.0,,119,714,704,10,1953.0,108200.0
6,md,1333,3655,3225,283,317,272,45,497,552,489.0,538.0,3.0,14.0,1161.0,860.0,217.0,37260.0,40720.0,23029.0,265,739,733,0,1951.0,78200.0
7,md,1334,2232,1988,75,216,205,11,345,272,341.0,267.0,4.0,5.0,908.0,809.0,31.0,25929.0,26442.0,,144,461,444,12,1939.0,64000.0
8,md,1335,2480,2262,169,153,149,4,318,426,298.0,404.0,20.0,22.0,531.0,439.0,92.0,39669.0,39522.0,,150,392,392,0,1939.0,70900.0
9,md,1336,1266,1174,71,44,39,5,169,178,169.0,163.0,0.0,15.0,240.0,178.0,43.0,66544.0,66912.0,,28,238,235,3,1939.0,146400.0
10,md,1337,3095,2956,36,83,71,8,324,290,324.0,286.0,0.0,0.0,231.0,209.0,1.0,78519.0,77917.0,,54,891,856,0,1956.0,200700.0
11,md,1338,5196,2654,2257,85,85,0,1612,262,567.0,245.0,925.0,0.0,205.0,199.0,0.0,62311.0,62197.0,,59,713,703,0,1959.0,104000.0
12,md,1339,3802,3645,6,182,173,0,450,330,427.0,328.0,0.0,2.0,313.0,312.0,1.0,88500.0,89000.0,,83,1476,1438,0,1966.0,173600.0
13,md,1340,1517,1433,44,66,66,0,223,166,197.0,166.0,15.0,0.0,171.0,171.0,0.0,61591.0,62885.0,,44,545,544,1,1951.0,126300.0
14,md,1341,1902,1848,35,78,78,0,339,341,336.0,312.0,0.0,29.0,233.0,227.0,6.0,50905.0,50905.0,,67,637,637,0,1959.0,118500.0
15,md,1342,1882,1849,8,53,53,0,342,300,342.0,300.0,0.0,0.0,91.0,81.0,0.0,56875.0,56563.0,,126,662,662,0,1939.0,104700.0
16,md,1343,1706,1671,7,52,52,0,235,245,235.0,241.0,0.0,0.0,214.0,210.0,0.0,76875.0,76875.0,,41,534,524,2,1960.0,152500.0
17,md,1344,5364,5059,68,286,270,0,697,732,656.0,732.0,0.0,0.0,1023.0,987.0,0.0,70583.0,71028.0,,188,1232,1232,0,1972.0,147300.0
18,md,1345,4650,3250,1099,104,104,0,233,265,226.0,265.0,0.0,0.0,731.0,534.0,111.0,61750.0,61500.0,,222,577,564,3,1957.0,116700.0
19,md,1346,2884,2825,7,94,91,0,532,509,529.0,509.0,0.0,0.0,379.0,361.0,0.0,67708.0,68333.0,,118,928,925,0,1967.0,98200.0
20,md,1347,5792,5689,23,352,336,0,820,887,793.0,880.0,9.0,7.0,832.0,832.0,0.0,52170.0,52413.0,,190,1883,1867,16,1968.0,147800.0
21,md,1348,3183,3127,0,73,73,0,663,482,662.0,482.0,0.0,0.0,469.0,461.0,0.0,60270.0,60270.0,,170,956,956,0,1941.0,81900.0
22,md,1349,3872,3832,3,143,143,0,670,613,663.0,613.0,0.0,0.0,423.0,420.0,0.0,56000.0,56000.0,,152,1235,1232,0,1950.0,83500.0
23,md,1350,4059,3926,73,108,85,0,299,170,299.0,170.0,0.0,0.0,174.0,174.0,0.0,155612.0,142260.0,185972.0,105,1289,1246,25,1981.0,501400.0
24,md,1351,8296,7245,455,302,280,22,994,776,994.0,754.0,0.0,10.0,546.0,528.0,18.0,99211.0,94360.0,,368,2561,2258,178,1986.0,335600.0
25,md,1352,8656,8400,121,201,189,0,863,788,863.0,762.0,0.0,26.0,119.0,104.0,0.0,145298.0,147083.0,,156,2918,2888,0,1970.0,445800.0
26,md,1353,7790,6424,902,249,152,59,622,695,575.0,547.0,20.0,139.0,485.0,249.0,73.0,136674.0,137857.0,,204,2418,2170,191,1984.0,509300.0
27,md,1354,3515,3091,367,142,83,59,255,344,231.0,302.0,24.0,42.0,320.0,195.0,116.0,117337.0,123911.0,,162,1020,936,84,1978.0,709800.0
28,md,1355,7148,6247,453,211,180,31,488,501,391.0,463.0,41.0,38.0,530.0,356.0,174.0,135742.0,134406.0,24583.0,331,2286,2175,43,1976.0,399700.0
29,md,1356,4236,3669,171,75,63,12,160,171,103.0,150.0,18.0,10.0,55.0,45.0,0.0,151250.0,155750.0,149444.0,143,1332,1163,65,1977.0,466700.0
30,md,1357,5746,4448,956,340,164,176,308,278,265.0,278.0,43.0,0.0,155.0,84.0,71.0,116287.0,119375.0,95347.0,113,1545,1421,110,1974.0,404400.0
31,md,1358,6694,4532,1093,309,176,133,250,479,179.0,360.0,24.0,119.0,52.0,52.0,0.0,121554.0,123077.0,111216.0,140,1986,1546,248,1979.0,287000.0
32,md,1359,7139,4714,1307,232,145,12,342,333,250.0,257.0,51.0,52.0,136.0,57.0,0.0,121767.0,130523.0,131429.0,100,2000,1483,348,1993.0,315200.0
33,md,1360,4467,3870,322,126,117,0,168,76,159.0,65.0,9.0,11.0,83.0,61.0,0.0,165909.0,158816.0,250001.0,61,1252,1181,13,1994.0,483700.0
34,md,1361,5626,5092,124,142,124,0,344,318,323.0,284.0,0.0,0.0,100.0,81.0,19.0,138594.0,137969.0,96735.0,104,1821,1700,19,1978.0,592200.0
35,md,1362,6341,5788,174,236,199,22,296,374,246.0,318.0,30.0,0.0,237.0,213.0,24.0,134241.0,142981.0,,133,1976,1843,38,1989.0,512100.0
36,md,1363,5949,3075,1942,539,79,343,594,657,165.0,191.0,279.0,369.0,784.0,133.0,399.0,87279.0,166563.0,54900.0,232,1067,699,311,1987.0,509400.0
37,md,1364,5470,4466,729,268,125,128,92,244,92.0,173.0,0.0,71.0,253.0,167.0,86.0,121976.0,129057.0,31615.0,141,1568,1438,80,1979.0,384800.0
38,md,1365,5784,4693,571,70,68,2,181,205,167.0,173.0,14.0,32.0,154.0,140.0,14.0,146944.0,159531.0,141083.0,134,2065,1776,267,1984.0,618100.0
39,md,1366,4617,3572,640,143,114,29,354,181,277.0,129.0,70.0,34.0,87.0,68.0,0.0,126654.0,138226.0,103000.0,102,1089,916,56,1994.0,296900.0
40,md,1367,3715,3360,321,67,67,0,143,229,59.0,132.0,84.0,86.0,90.0,90.0,0.0,187321.0,198125.0,107800.0,41,1321,1271,41,1978.0,683100.0
41,md,1368,3686,2817,825,172,55,117,184,218,87.0,54.0,97.0,164.0,348.0,130.0,216.0,115833.0,134931.0,,127,747,657,90,1939.0,706800.0
42,md,1369,4233,2902,1204,262,138,124,286,190,252.0,146.0,34.0,44.0,207.0,71.0,136.0,84567.0,117750.0,70579.0,83,1057,960,78,1986.0,311800.0
43,md,1370,3145,2660,132,55,25,30,34,104,32.0,84.0,2.0,20.0,199.0,98.0,4.0,128657.0,137938.0,68333.0,82,869,821,36,1965.0,710100.0
44,md,1371,7855,4203,1060,314,97,164,942,539,570.0,221.0,192.0,296.0,776.0,471.0,43.0,68816.0,104237.0,60391.0,192,1111,810,249,1973.0,254200.0
45,md,1372,3099,1762,999,239,48,163,258,238,153.0,71.0,54.0,141.0,536.0,55.0,397.0,79625.0,116458.0,,68,789,608,146,1970.0,363300.0
46,md,1373,5295,3608,1222,181,121,60,636,397,175.0,225.0,428.0,120.0,276.0,172.0,58.0,112193.0,144766.0,83750.0,143,1124,756,322,1972.0,422300.0
47,md,1374,5398,4130,775,334,113,151,133,210,99.0,85.0,26.0,53.0,474.0,138.0,218.0,118839.0,131250.0,,42,1329,1242,62,1961.0,466900.0
48,md,1375,5873,4265,513,31,13,4,4,19,0.0,19.0,4.0,0.0,10.0,4.0,0.0,94375.0,96389.0,94688.0,2,0,0,0,1939.0,
49,md,1376,6242,5481,604,324,219,82,635,800,565.0,613.0,70.0,133.0,281.0,280.0,1.0,103245.0,108906.0,82609.0,213,1957,1780,154,1983.0,308400.0
50,md,1377,4900,4398,248,142,125,17,541,432,511.0,404.0,30.0,17.0,365.0,343.0,9.0,101536.0,102026.0,101645.0,88,1610,1503,76,1975.0,341200.0
51,md,1378,3787,3538,73,93,72,10,392,534,377.0,495.0,15.0,24.0,263.0,152.0,23.0,124583.0,124762.0,,135,1348,1311,10,1973.0,452100.0
52,md,1379,5996,4467,957,328,286,0,737,712,441.0,566.0,296.0,131.0,926.0,440.0,332.0,72132.0,74976.0,,111,1959,1666,166,1992.0,
53,md,1380,10861,8400,1478,220,160,29,985,1327,901.0,1181.0,24.0,97.0,115.0,85.0,1.0,119286.0,103158.0,153864.0,165,3558,2861,462,1999.0,300700.0
54,md,1381,5538,3513,1508,403,234,151,602,851,356.0,519.0,196.0,231.0,706.0,404.0,274.0,60443.0,65469.0,38701.0,308,873,767,38,1981.0,257000.0
