rownumber,respondentID,agency_code,activity_year,loan_type,action_taken_type,state,county,msa,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,institution_name,agency,loan_to,action_taken,income_group,inflation_factor,amtLoans1_adjusted,amtLoans100k_adjusted,amtLoans250k_adjusted,amtLoansToSmallest_adjusted,amtLoansAff_adjusted
11184,1,1,2016,4,1,29,510,41180,-1.0,N,N,S,101,22,945000,1,104000,0,0,12,493000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,Low Income (< 50% of MFI) - excluding 0),1.0,945000.0,104000.0,0.0,493000.0,0.0
11185,1,1,2016,4,1,29,510,41180,-1.0,N,N,S,102,16,665000,1,127000,0,0,9,472000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,Moderate Income (50% to 80% of MFI),1.0,665000.0,127000.0,0.0,472000.0,0.0
11186,1,1,2016,4,1,29,510,41180,-1.0,N,N,S,103,13,385000,4,833000,0,0,12,320000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,Middle Income (80% to 120% of MFI),1.0,385000.0,833000.0,0.0,320000.0,0.0
11187,1,1,2016,4,1,29,510,41180,-1.0,N,N,S,104,9,370000,1,126000,0,0,8,381000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,Upper Income (> 120% of MFI),1.0,370000.0,126000.0,0.0,381000.0,0.0
11188,1,1,2016,4,1,29,510,41180,-1.0,N,N,S,105,0,0,0,0,0,0,0,0,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,Income Not Known (0),1.0,0.0,0.0,0.0,0.0,0.0
11189,1,1,2016,4,1,29,510,41180,-1.0,N,N,S,106,2,53000,0,0,0,0,2,53000,0,0,"WELLS FARGO BANK, N.A. (CA)",OCC,Business,Origination,Tract not Known (NA),1.0,53000.0,0.0,0.0,53000.0,0.0
29782,8,1,2016,4,1,29,510,41180,-1.0,N,N,S,101,9,252000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,Low Income (< 50% of MFI) - excluding 0),1.0,252000.0,0.0,0.0,0.0,0.0
29783,8,1,2016,4,1,29,510,41180,-1.0,N,N,S,102,5,138000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,Moderate Income (50% to 80% of MFI),1.0,138000.0,0.0,0.0,0.0,0.0
29784,8,1,2016,4,1,29,510,41180,-1.0,N,N,S,103,5,107000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,Middle Income (80% to 120% of MFI),1.0,107000.0,0.0,0.0,0.0,0.0
29785,8,1,2016,4,1,29,510,41180,-1.0,N,N,S,104,2,54000,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,Upper Income (> 120% of MFI),1.0,54000.0,0.0,0.0,0.0,0.0
29786,8,1,2016,4,1,29,510,41180,-1.0,N,N,S,105,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,Income Not Known (0),1.0,0.0,0.0,0.0,0.0,0.0
29787,8,1,2016,4,1,29,510,41180,-1.0,N,N,S,106,0,0,0,0,0,0,0,0,0,0,JPMorgan Chase Bank NA (OH),OCC,Business,Origination,Tract not Known (NA),1.0,0.0,0.0,0.0,0.0,0.0
48454,24,1,2016,4,1,29,510,41180,174.0,N,N,S,101,198,2382000,6,1011000,4,2825000,120,2918000,0,0,US BANK NA (WI),OCC,Business,Origination,Low Income (< 50% of MFI) - excluding 0),1.0,2382000.0,1011000.0,2825000.0,2918000.0,0.0
48455,24,1,2016,4,1,29,510,41180,174.0,N,N,S,102,302,3643000,4,855000,4,1981000,199,3216000,0,0,US BANK NA (WI),OCC,Business,Origination,Moderate Income (50% to 80% of MFI),1.0,3643000.0,855000.0,1981000.0,3216000.0,0.0
48456,24,1,2016,4,1,29,510,41180,174.0,N,N,S,103,237,2698000,5,731000,1,500000,158,1567000,0,0,US BANK NA (WI),OCC,Business,Origination,Middle Income (80% to 120% of MFI),1.0,2698000.0,731000.0,500000.0,1567000.0,0.0
48457,24,1,2016,4,1,29,510,41180,174.0,N,N,S,104,113,1131000,0,0,0,0,78,770000,0,0,US BANK NA (WI),OCC,Business,Origination,Upper Income (> 120% of MFI),1.0,1131000.0,0.0,0.0,770000.0,0.0
48458,24,1,2016,4,1,29,510,41180,174.0,N,N,S,105,7,86000,0,0,0,0,4,64000,0,0,US BANK NA (WI),OCC,Business,Origination,Income Not Known (0),1.0,86000.0,0.0,0.0,64000.0,0.0
48459,24,1,2016,4,1,29,510,41180,174.0,N,N,S,106,1,25000,0,0,0,0,1,25000,0,0,US BANK NA (WI),OCC,Business,Origination,Tract not Known (NA),1.0,25000.0,0.0,0.0,25000.0,0.0
69259,209,1,2016,4,1,29,510,41180,-1.0,N,N,S,101,4,37000,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,Low Income (< 50% of MFI) - excluding 0),1.0,37000.0,0.0,0.0,0.0,0.0
69260,209,1,2016,4,1,29,510,41180,-1.0,N,N,S,102,4,24000,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,Moderate Income (50% to 80% of MFI),1.0,24000.0,0.0,0.0,0.0,0.0
69261,209,1,2016,4,1,29,510,41180,-1.0,N,N,S,103,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,Middle Income (80% to 120% of MFI),1.0,0.0,0.0,0.0,0.0,0.0
69262,209,1,2016,4,1,29,510,41180,-1.0,N,N,S,104,3,30000,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,Upper Income (> 120% of MFI),1.0,30000.0,0.0,0.0,0.0,0.0
69263,209,1,2016,4,1,29,510,41180,-1.0,N,N,S,105,1,50000,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,Income Not Known (0),1.0,50000.0,0.0,0.0,0.0,0.0
69264,209,1,2016,4,1,29,510,41180,-1.0,N,N,S,106,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,Tract not Known (NA),1.0,0.0,0.0,0.0,0.0,0.0
